Gene = MBLAC1
index = 819
Annotated 5SS: [371]
Annotated 3SS: [673]
SMsplice 5SS: [371]
SMsplice 3SS: [673]
top_k =  1000
Partition function (log Z): -9.725247537280117

Sorted 5' Splice Sites (High to Low Probability):
Position 371: 0.43838462338894135
Position 62: 0.1901273772193246
Position 440: 0.18762837974199104
Position 343: 0.13483573701874102
Position 281: 0.02762364251337582
Position 224: 0.02080833627036576
Position 500: 0.005647920030108749
Position 57: 0.0036815923310174366
Position 45: 0.0013766037026264888
Position 799: 0.0006872216070056823
Position 545: 0.0005878477534703615
Position 1150: 0.00048514631664207524
Position 765: 0.0004336484944876757
Position 502: 0.0004111238961830334
Position 425: 0.00034479474224807295
Position 741: 0.00029184982065661857
Position 719: 0.00028853907399650086
Position 444: 0.00016496986997409512
Position 538: 0.00013820514999364104
Position 616: 0.00010203846332178782
Position 840: 8.556880434472311e-05
Position 1224: 7.73411163974558e-05
Position 511: 6.323121368746042e-05
Position 813: 6.232213006888477e-05
Position 945: 5.0254311545129853e-05
Position 768: 4.5999352600607143e-05
Position 1188: 2.526444831766145e-05
Position 162: 2.2119075215204002e-05
Position 570: 1.5499794773436478e-05
Position 762: 1.1214237724266026e-05
Position 1032: 8.829257533139563e-06
Position 831: 7.158117355115922e-06
Position 801: 6.430598164639116e-06
Position 1098: 4.728233654739898e-06
Position 153: 3.7007298886823384e-06
Position 1020: 2.600483154177178e-06
Position 642: 1.1349512838279162e-06
Position 881: 1.2499052096949128e-08
Position 895: 8.302311958359957e-09
Position 143: 5.537714297526431e-09
Position 597: 1.6634071339273363e-10
Position 317: 4.168539476049049e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 673: 0.7317477473574534
Position 691: 0.08766139841948159
Position 779: 0.08466319857968907
Position 851: 0.056423559004200374
Position 143: 0.009776444147628103
Position 871: 0.007970317403557612
Position 1083: 0.0073535997397170955
Position 697: 0.005988687071132493
Position 1217: 0.0029909364287349118
Position 184: 0.0028333488286054224
Position 1335: 0.0027400271186483233
Position 1417: 0.0027040830113816555
Position 694: 0.0014668060854820242
Position 1533: 0.0013642666814251893
Position 1187: 0.0013340651025241356
Position 1001: 0.0009975578039370854
Position 229: 0.0008246064635884247
Position 1313: 0.0007990309014246062
Position 244: 0.0007746685746797955
Position 343: 0.0004227307552337112
Position 1125: 0.00041990357364454577
Position 1740: 0.0004026964534562854
Position 1506: 0.0002604449673730643
Position 1340: 0.00025951000833829285
Position 1567: 0.0002548488334739197
Position 297: 0.00022008654221751333
Position 713: 0.00020817503273073393
Position 1610: 0.00016585591192701897
Position 1607: 0.00014405200386531975
Position 1538: 0.0001273074504270372
Position 1160: 0.00011325742237504675
Position 1410: 8.959161535984227e-05
Position 1694: 8.856866553760671e-05
Position 1029: 7.654668894074336e-05
Position 1663: 6.690055185903929e-05
Position 1442: 5.680698876930097e-05
Position 170: 5.647704200628045e-05
Position 153: 5.079983565162556e-05
Position 535: 3.845558696968787e-05
Position 175: 3.700044301986919e-05
Position 795: 3.4692425875964484e-05
Position 150: 3.2459862936729223e-05
Position 347: 3.186124901499145e-05
Position 906: 3.1821804470286074e-05
Position 576: 2.849590626299378e-05
Position 1017: 2.590500730097554e-05
Position 118: 2.3846892989336094e-05
Position 1228: 2.3148303756622834e-05
Position 194: 2.313214072424391e-05
Position 1422: 2.2608041777528632e-05
Position 1547: 1.954204497721118e-05
Position 1615: 1.9026850480201642e-05
Position 1598: 1.8511241702036254e-05
Position 920: 1.8305196675187785e-05
Position 409: 1.7686308914224302e-05
Position 436: 1.7684375827346412e-05
Position 637: 1.6166273539307488e-05
Position 1357: 1.5290286570483107e-05
Position 187: 1.4599046890327013e-05
Position 1326: 1.3156013061276277e-05
Position 199: 9.925765138439602e-06
Position 565: 9.489660565807037e-06
Position 797: 9.037477477499176e-06
Position 1456: 8.931380506129455e-06
Position 203: 8.282167428612491e-06
Position 597: 7.651911401414186e-06
Position 299: 7.346234258882843e-06
Position 1754: 6.867313712396397e-06
Position 1436: 5.546290258575898e-06
Position 1430: 5.492034945819051e-06
Position 1628: 4.379184993487359e-06
Position 1632: 4.224583125826549e-06
Position 631: 3.5514907371281544e-06
Position 1343: 3.050769251649041e-06
Position 1290: 2.748535103703201e-06
Position 974: 2.60168469562477e-06
Position 483: 2.1956285348786567e-06
Position 207: 2.1595844573807823e-06
Position 1275: 2.129478947094871e-06
Position 923: 2.1141581275450728e-06
Position 1623: 1.8409808237235428e-06
Position 1569: 1.8155272877599813e-06
Position 361: 1.7485946374780457e-06
Position 397: 1.5444037199801628e-06
Position 374: 1.3445943439146513e-06
Position 591: 1.2374503631376442e-06
Position 352: 1.1161908930140166e-06
Position 376: 7.128482911171527e-07
Position 370: 5.623331075381705e-07
Position 358: 4.026932868199298e-07
Position 414: 2.8463609677296157e-07
Position 385: 2.2001359431438479e-07
Position 423: 8.862461060463565e-08
Position 363: 5.6669906925331045e-08
Position 474: 7.94245910969834e-09
Position 487: 2.860037304896193e-09
Position 500: 1.6677352605737362e-09
Position 881: 1.2037403950686728e-09
Position 507: 7.424529727906964e-10
Position 610: 5.488965475029852e-10
Position 511: 2.742385987622426e-10
Position 543: 2.650617125057789e-10
Position 578: 1.9297935650925166e-13
Position 585: 1.0959658470258156e-13
