Gene = RGS7BP
index = 1136
Annotated 5SS: [  491  1579 69606 88559 92137]
Annotated 3SS: [  1411  69474  88410  92065 102861]
SMsplice 5SS: [  224   491  9370 29564 36763 41507 56471 69606 84141 88559 92137]
SMsplice 3SS: [   391   9250  29426  36643  41389  56359  69474  84005  88410  92065
 104199]
top_k =  1000
Partition function (log Z): -46.59489258160228

Sorted 5' Splice Sites (High to Low Probability):
Position 491: 0.9900064736743027
Position 9370: 0.9741720597867092
Position 1579: 0.49759317839336953
Position 10385: 0.4748202252693769
Position 224: 0.40002359126759
Position 11473: 0.3550809419745532
Position 20557: 0.28606361524868845
Position 206: 0.24481622017279683
Position 12915: 0.16883963277718259
Position 6325: 0.13972317190814812
Position 12322: 0.13177994568727147
Position 6318: 0.11386478616461333
Position 10024: 0.09378840016806339
Position 5045: 0.09217235253619603
Position 6298: 0.09024887337372291
Position 4748: 0.0767745674978709
Position 817: 0.07464860619685022
Position 7996: 0.05384951656586615
Position 5748: 0.05358090153908457
Position 968: 0.05272945292178972
Position 729: 0.05003338868514536
Position 8814: 0.04728479101640986
Position 175: 0.03745105880672018
Position 67: 0.03372418139455306
Position 320: 0.03237535877604449
Position 2935: 0.028347519795093243
Position 18920: 0.027455093048159435
Position 12000: 0.024804101315325892
Position 4646: 0.02388618876172093
Position 12413: 0.021218122839226784
Position 14493: 0.02018655954972825
Position 3210: 0.018083244942080377
Position 6273: 0.01806535639988754
Position 7409: 0.016072964554744818
Position 19490: 0.015871179554234463
Position 1481: 0.01481158138818029
Position 1601: 0.014168537091091388
Position 1320: 0.012728918104888777
Position 14509: 0.012691181137853433
Position 13311: 0.011862828747837742
Position 20528: 0.011132362612098327
Position 13511: 0.008533038178145838
Position 495: 0.006498917608071477
Position 2097: 0.005903076411159575
Position 4723: 0.004947409507822241
Position 5056: 0.0044669712690300145
Position 675: 0.0041228994078801335
Position 6262: 0.00401501722825591
Position 312: 0.0032120196445686693
Position 3761: 0.003030260026673085
Position 12350: 0.0025143434333634645
Position 4506: 0.002263917421365376
Position 4739: 0.0018873431882557392
Position 1164: 0.0018750947340051918
Position 2449: 0.0018296287377012196
Position 742: 0.0016576322820912159
Position 4316: 0.001506805995825037
Position 733: 0.001479531505528352
Position 21956: 0.0012385867384356161
Position 21900: 0.0012267556068591208
Position 948: 0.0011148939105585902
Position 1381: 0.0011035569211180322
Position 1174: 0.000997270525311942
Position 760: 0.0009797057062323957
Position 12005: 0.0009620840557105209
Position 3194: 0.0007846657139948272
Position 552: 0.0005135968021175887
Position 975: 0.00051295928159275
Position 661: 0.0003969538487408224
Position 318: 0.00025304025979897053
Position 778: 0.0002343526490780696
Position 895: 0.00022501560896755668
Position 1114: 0.00020646531825230672
Position 5260: 0.00017540696536093837
Position 672: 0.0001484960722214475
Position 538: 0.00010148054375358451
Position 30: 8.708505803761266e-05
Position 696: 5.5405749575447084e-05
Position 1257: 4.6613187796422255e-05
Position 2238: 4.343388076615832e-05
Position 1284: 3.773330630395943e-05
Position 1178: 2.8850316930219102e-05
Position 330: 2.3936323306185324e-05
Position 1048: 2.3063936765873228e-05
Position 710: 1.1200858716677799e-05
Position 1644: 1.10324918636341e-05
Position 2525: 1.0561158396595171e-05
Position 912: 9.181449195474783e-06
Position 927: 7.911925166892953e-06
Position 919: 7.699093032839696e-06
Position 2347: 7.663276691068428e-06
Position 2305: 7.397438999837017e-06
Position 935: 7.0353713731966385e-06
Position 2518: 4.673430598944704e-06
Position 117: 4.532361311948326e-06
