Gene = DOLPP1
index = 461
Annotated 5SS: [ 108 3669 4008 4207 4517 5168 5699]
Annotated 3SS: [3567 3922 4106 4417 5038 5608 7870]
SMsplice 5SS: [ 108 3669 4008 4207 4517 5699]
SMsplice 3SS: [3567 3922 4106 4417 5608 7870]
top_k =  1000
Partition function (log Z): 11.228431435453341

Sorted 5' Splice Sites (High to Low Probability):
Position 3669: 0.9922160621535943
Position 5699: 0.9533082355728982
Position 4008: 0.932317080791377
Position 4517: 0.9267924796985116
Position 4207: 0.7888544076869772
Position 108: 0.5082593165401282
Position 5168: 0.4632487798066473
Position 27: 0.40572940667502255
Position 1570: 0.29395448932949486
Position 1870: 0.24362484282260388
Position 7044: 0.20406248304815322
Position 4325: 0.16934708345227908
Position 5901: 0.12917660351828858
Position 7211: 0.09230101052003947
Position 5905: 0.08579131151446463
Position 1915: 0.062235192266412755
Position 1020: 0.05166956176417357
Position 2647: 0.04931558561057574
Position 5133: 0.04871230921587158
Position 7034: 0.04559537186650928
Position 8062: 0.041080327537247406
Position 3785: 0.03712666052757566
Position 370: 0.03604454793651103
Position 5443: 0.03388660925619569
Position 5679: 0.033847238806737054
Position 7671: 0.030185666957573538
Position 6174: 0.030123835344489324
Position 4132: 0.021737276217289388
Position 7911: 0.020064567672153758
Position 5434: 0.01976109656950868
Position 8021: 0.01936995158918287
Position 5997: 0.01925370992260075
Position 2006: 0.017611380293357758
Position 3423: 0.017291046851236277
Position 2930: 0.017202508983501157
Position 7724: 0.016937813886552265
Position 77: 0.01507408019478784
Position 961: 0.015003210211660643
Position 5921: 0.014707436913125442
Position 833: 0.014099425278285066
Position 8365: 0.013009550174163482
Position 4223: 0.012288787647070006
Position 3216: 0.010513294478059645
Position 530: 0.009807266053490572
Position 8661: 0.009221981133555277
Position 1193: 0.009136885048272652
Position 6060: 0.009064663143566163
Position 4045: 0.008319358943325845
Position 5070: 0.008031114566958809
Position 4035: 0.007921564798861608
Position 2719: 0.007559945811341278
Position 759: 0.007414852979509287
Position 8498: 0.007407466799084542
Position 7747: 0.006887503710548838
Position 7021: 0.006528374097951993
Position 7258: 0.005749836893178609
Position 7071: 0.005329130103260609
Position 7915: 0.004895373173255377
Position 4787: 0.004870809260074624
Position 1404: 0.004522506621377359
Position 2246: 0.004330377695654477
Position 2791: 0.003975572744837187
Position 2678: 0.003691296468386168
Position 1575: 0.0036723134282193354
Position 4949: 0.003106274230733235
