Gene = GGCT
index = 588
Annotated 5SS: [ 276 4309 6042]
Annotated 3SS: [4162 5905 7608]
SMsplice 5SS: [ 276 6042]
SMsplice 3SS: [5905 6947]
top_k =  1000
Partition function (log Z): -4.431690977258759

Sorted 5' Splice Sites (High to Low Probability):
Position 276: 0.9887864412920034
Position 6042: 0.9657529151930397
Position 4086: 0.44179668318691967
Position 4309: 0.24758569382062662
Position 2979: 0.24730154918681588
Position 2732: 0.13350780994970537
Position 7104: 0.1209282405283452
Position 1511: 0.073876823335004
Position 994: 0.06910039041772192
Position 4458: 0.06599807431938018
Position 3509: 0.04170549073696879
Position 2811: 0.03549274524424647
Position 2647: 0.02278149750761986
Position 7546: 0.02211020988335788
Position 7296: 0.020543435251191847
Position 795: 0.017198863369293296
Position 7085: 0.014953851064649713
Position 4696: 0.012213460540623737
Position 4313: 0.009770312557393968
Position 7699: 0.008402670384980276
Position 4268: 0.007701987209745204
Position 7234: 0.00739588337925062
Position 1506: 0.00725235546301377
Position 7315: 0.006584496457658284
Position 2890: 0.005607796936919924
Position 5071: 0.0055575935326763835
Position 7459: 0.004081323126405057
Position 7166: 0.003973664620011286
Position 1832: 0.0030976291349024015
Position 7776: 0.0023936954025101354
Position 6349: 0.0021241236230035774
Position 4361: 0.0019437703126606385
Position 386: 0.001768522571690456
Position 575: 0.0017292512493872916
Position 3824: 0.0016791867108346165
Position 2195: 0.0016620584607801216
Position 1229: 0.001482611340197464
Position 710: 0.0014565405697685068
Position 6431: 0.001429432185082198
Position 7017: 0.0013634306928279618
Position 7444: 0.0012679371873086198
Position 1603: 0.0011521079029505595
Position 3820: 0.001135360886067508
Position 6436: 0.0010579965366002554
Position 6390: 0.0009883245360109258
Position 7541: 0.0009854602895346435
Position 3731: 0.0009196951911373248
Position 1812: 0.0008643214074366141
Position 2185: 0.0008319202812595423
Position 762: 0.0007511240016855862
Position 7249: 0.0007116921116356383
Position 7097: 0.0006884256587246935
Position 7042: 0.0006777280247702183
Position 757: 0.0006380548695171235
Position 3600: 0.0006151073351311623
Position 7140: 0.0005746526570974051
Position 522: 0.0005172957115754113
Position 3391: 0.0005160281064910386
Position 6713: 0.0003919973411865989
Position 3649: 0.00035429138659917364
Position 1660: 0.0003257758676121094
Position 3231: 0.0003091488829409988
Position 3840: 0.0002863677737506454
Position 6337: 0.0002487294157148014
Position 3942: 0.0002393143030705566
Position 1740: 0.00023023416699124454
Position 6594: 0.00021370467964616451
Position 6195: 0.00020993718519434575
Position 866: 0.00020795499091509113
Position 2294: 0.00018287196373941407
Position 6384: 0.00013069672397448084
Position 739: 0.00012967144943049823
Position 571: 0.00011709687118257688
Position 791: 9.602530067895237e-05
Position 7981: 9.21162792524688e-05
Position 57: 8.099169983059645e-05
Position 925: 7.244621195686837e-05
Position 6224: 7.196197455608249e-05
Position 2862: 6.190583651678513e-05
Position 166: 4.9034386483831184e-05
Position 3282: 4.5014992229741946e-05
Position 4474: 3.4609329868200524e-05
Position 752: 3.284744094724081e-05
Position 2896: 2.9936037577084435e-05
Position 6227: 2.8358394428135188e-05
Position 2903: 2.7309518040293953e-05
Position 6064: 2.683119207384648e-05
Position 465: 2.5313484394977644e-05
Position 125: 2.146455561820539e-05
Position 2327: 1.6384601994157754e-05
Position 2171: 1.5781716771455696e-05
Position 1529: 1.4314534471261987e-05
Position 6032: 1.2145961009285255e-05
Position 1162: 8.783214021763501e-06
Position 1235: 8.328463563934013e-06
Position 4256: 8.255394346801458e-06
Position 418: 7.836624848621555e-06
Position 4258: 7.562779069583131e-06
Position 4265: 7.111684819291836e-06
Position 5401: 6.153167491969604e-06
Position 6343: 5.315418806293208e-06
Position 1285: 4.170317579848531e-06
Position 43: 4.124862867283022e-06
Position 4365: 3.5913465901711884e-06
Position 4338: 3.5863619339339495e-06
