Gene = PGBD5
index = 1019
Annotated 5SS: [  148 20752 26688 40538 44802 52336]
Annotated 3SS: [20323 26552 40356 44603 52229 54024]
SMsplice 5SS: [  148 20476 26688 40538 44802 52336]
SMsplice 3SS: [20323 26552 40356 44603 52229 54024]
top_k =  1000
Partition function (log Z): -11.583392865950344

Sorted 5' Splice Sites (High to Low Probability):
Position 30901: 0.9990115053429185
Position 40538: 0.998719899683445
Position 26688: 0.9925958583959001
Position 44802: 0.9264613463143765
Position 148: 0.8951472447977626
Position 20476: 0.5410632338139596
Position 27276: 0.4125111507861414
Position 54145: 0.38439374128921966
Position 8138: 0.29745042661129156
Position 20752: 0.265670618333334
Position 624: 0.19732060944756552
Position 20424: 0.1932661257765364
Position 29042: 0.17636344005259869
Position 4398: 0.13526653838133226
Position 10796: 0.124759665632567
Position 5630: 0.12331145168632454
Position 7440: 0.12166799219313143
Position 419: 0.11301559279073174
Position 17377: 0.08903174733889756
Position 1354: 0.0766942129983587
Position 1370: 0.06101216640977584
Position 8113: 0.04506794809080637
Position 6550: 0.03006929135814208
Position 12885: 0.02322785303555842
Position 28765: 0.017538736523730045
Position 13: 0.014196020816989062
Position 461: 0.008512917217987359
Position 27349: 0.0051685775828346076
Position 27935: 0.004413548775354194
Position 26652: 0.004182360782960027
Position 26950: 0.002835738316762466
Position 26715: 0.002593288018304605
Position 27258: 0.0024822206136789417
Position 5317: 0.0024811742425865395
Position 2918: 0.0024132338310612254
Position 162: 0.0022946662769707843
Position 4917: 0.001724945603350441
Position 5195: 0.0016824068139648977
Position 27712: 0.0014178225629899292
Position 1685: 0.0013842308476407115
Position 1310: 0.0012672644994818627
Position 27119: 0.001222953291263384
Position 2623: 0.000931798977595552
Position 27009: 0.0009035591739589471
Position 28084: 0.0007051824722018718
Position 2522: 0.0006846018682272108
Position 27183: 0.0006422646546042546
Position 27326: 0.0005599947931716815
Position 27929: 0.0005053490777162765
Position 17: 0.00043576783994171264
Position 26719: 0.0003801736458379866
Position 5408: 0.00034442940621549315
Position 4417: 0.00030478314698398264
Position 28884: 0.0002999404473473997
Position 2669: 0.0002837237544518076
Position 28927: 0.0002796370030874271
Position 272: 0.00014495857632898637
Position 376: 0.00011929147148141602
Position 61: 7.685044081982992e-05
Position 29012: 4.300009521038269e-05
