Gene = HSPB7
index = 668
Annotated 5SS: [1026 1717]
Annotated 3SS: [1582 3030]
SMsplice 5SS: [ 361 1026 1717]
SMsplice 3SS: [ 937 1567 3030]
top_k =  1000
Partition function (log Z): -7.026953626800065

Sorted 5' Splice Sites (High to Low Probability):
Position 1717: 0.8270437610612037
Position 361: 0.7956977145198509
Position 1204: 0.5094965386965509
Position 1702: 0.08291296505926136
Position 526: 0.08049581087118478
Position 2101: 0.07814398755352056
Position 3106: 0.06288117065596227
Position 1313: 0.056102911720892976
Position 2945: 0.04296540532822445
Position 182: 0.03194437484777005
Position 1128: 0.02823802218856266
Position 2367: 0.021555362750727367
Position 2934: 0.019618143547628464
Position 3102: 0.016031482994730388
Position 4147: 0.014604987934117929
Position 573: 0.010063553649688506
Position 2929: 0.008410283301360927
Position 1427: 0.007961594945793696
Position 3307: 0.006465094190836086
Position 1057: 0.006096388050219953
Position 1477: 0.005988170670976381
Position 1030: 0.005876110594229565
Position 2038: 0.005528271556705406
Position 3337: 0.005475312468181313
Position 2291: 0.0045664357473268824
Position 267: 0.003574478774752345
Position 3867: 0.003414579309487365
Position 1399: 0.003019371069522679
Position 4060: 0.002874671725213596
Position 1320: 0.0027024465753816393
Position 486: 0.0019573716856191707
Position 2105: 0.0015735169117234615
Position 1113: 0.001552388666091753
Position 3175: 0.0014861624857590296
Position 1150: 0.0014112486594626333
Position 2059: 0.0013671241395457046
Position 1988: 0.001324094510831897
Position 2077: 0.000969908764614572
Position 867: 0.0009307282992142352
Position 2011: 0.000742823880901759
Position 144: 0.0007048401413882418
Position 153: 0.00042268305757293067
Position 2048: 0.0004173050133300434
Position 1592: 0.00034561045004601374
Position 1645: 0.0003404465941926203
Position 2024: 0.0003343049615705011
Position 4308: 0.00031062333928027705
Position 3932: 0.00030959847005571225
Position 1915: 0.0003015413467404957
Position 466: 0.0002868202452811517
Position 819: 0.0002492354899574296
Position 1170: 0.00024426921613536007
Position 1269: 0.0002422578391562474
Position 565: 0.00021883405194405187
Position 312: 0.0001139098493580286
Position 1222: 9.026007021024035e-05
Position 2244: 8.08238099756274e-05
Position 385: 6.884925775226817e-05
Position 2299: 6.316552687222145e-05
Position 599: 6.138141495332002e-05
Position 607: 5.772910799864913e-05
Position 678: 3.833745322296015e-05
Position 309: 3.296408955946643e-05
Position 163: 2.8919416553409284e-05
Position 72: 2.6321522206459645e-05
Position 823: 2.085201809296401e-05
Position 2307: 1.7983297468229367e-05
Position 1188: 1.0171792547600242e-05
Position 1352: 9.868979798598247e-06
Position 2040: 7.923441615660878e-06
Position 123: 7.800829709437301e-06
Position 261: 5.3166007272881105e-06
Position 549: 4.696872625773814e-06
Position 403: 3.009276977621705e-06
Position 270: 2.922469550594277e-06
Position 518: 2.780026153012976e-06
Position 1237: 2.778141281969932e-06
Position 1152: 1.177060037232253e-06
Position 523: 5.684334493958597e-07
Position 597: 1.993726070211628e-07
Position 711: 2.068816676521631e-08
Position 329: 1.7126858590608476e-08
Position 298: 4.77312991435579e-09
Position 492: 2.3140192274633757e-09
Position 369: 8.058824019977872e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 3030: 0.5593379616186522
Position 937: 0.3824664974082618
Position 1567: 0.3389661554756757
