Gene = SVBP
index = 1361
Annotated 5SS: [ 51 374]
Annotated 3SS: [ 223 9303]
SMsplice 5SS: [374]
SMsplice 3SS: [9303]
top_k =  1000
Partition function (log Z): -10.33195555242023

Sorted 5' Splice Sites (High to Low Probability):
Position 374: 0.5343421511133162
Position 747: 0.2255224544983532
Position 6188: 0.2113263252176736
Position 6133: 0.16248839462947373
Position 602: 0.16060665471447363
Position 4615: 0.07190288365861788
Position 4568: 0.06636995817489534
Position 171: 0.06147270619353213
Position 6078: 0.05868012198056428
Position 9214: 0.03972405451937903
Position 159: 0.03517568961980199
Position 3403: 0.03508072332463123
Position 5491: 0.03350443134490468
Position 3867: 0.03122682759311868
Position 8998: 0.02926383512395754
Position 5522: 0.015242712290823144
Position 5096: 0.009637985781567873
Position 2170: 0.008880877975878712
Position 3073: 0.008534486002880428
Position 4300: 0.008380952878525322
Position 51: 0.0077272314870879865
Position 533: 0.007445909956405404
Position 586: 0.006783650396309151
Position 5154: 0.006024531833530322
Position 1838: 0.005778670888283786
Position 1545: 0.005486552609047787
Position 1478: 0.004276000527700514
Position 9203: 0.0032543583625483626
Position 6233: 0.0030775036586563375
Position 5927: 0.0029131797161778073
Position 276: 0.0023888375318835923
Position 3329: 0.0022402852249209294
Position 501: 0.002125083527518444
Position 16: 0.002083960512989037
Position 396: 0.0019781936468409827
Position 9399: 0.0018881200396592035
Position 1326: 0.0016338191965673012
Position 644: 0.0015940700908534295
Position 5743: 0.0013644582942180243
Position 721: 0.0013394940279339888
Position 1658: 0.0012966476176831969
Position 4540: 0.0012052867689990605
Position 7031: 0.0007961686212924304
Position 4070: 0.0007133895021343828
Position 293: 0.0006555132663423832
Position 563: 0.0006484301040868195
Position 70: 0.0006316574462391239
Position 1599: 0.00014274745951395746
Position 314: 0.00013096049320278938
Position 1355: 8.857138547945627e-05
Position 1786: 6.50860596288699e-05
Position 2357: 6.489835720568308e-05
Position 774: 5.681135667516601e-05
Position 2133: 3.9129119857405316e-05
Position 523: 3.760848649570257e-05
Position 2528: 3.666476771088768e-05
Position 1330: 3.1197516580234616e-05
Position 3245: 2.6659898168978204e-05
Position 2359: 2.129189105500564e-05
Position 4270: 1.8949177926508465e-05
Position 1776: 1.8905456901655886e-05
Position 3127: 8.512808585974433e-06
Position 54: 5.828046535213022e-06
Position 868: 3.808053733699512e-06
Position 661: 2.3842650156666467e-06
Position 538: 2.0115001830153403e-06
Position 305: 1.772258746337272e-06
Position 1051: 6.608835178659425e-07
Position 1457: 3.500847010358809e-07
Position 569: 1.9918089537270956e-07
Position 213: 1.8531682639438844e-07
Position 252: 1.759700713905217e-07
Position 404: 1.4021403761910593e-07
