Gene = DEC1
index = 439
Annotated 5SS: [    51  91519 150119 164179 234898 258615 259493]
Annotated 3SS: [ 91357 149963 164087 234823 258540 259374 260299]
SMsplice 5SS: [    51   8570  15898  25740  36151  91519  97271 110939 120045 126493
 142552 149120 149837 150119 164179 170501 199029 234898 241543]
SMsplice 3SS: [  8469  15776  25640  36034  91357  97155 110799 119886 126372 142453
 149004 149625 149963 164087 170393 198896 234823 241413 260302]
top_k =  1000
Partition function (log Z): -121.92388120434336

Sorted 5' Splice Sites (High to Low Probability):
Position 15898: 0.9932721878453027
Position 8570: 0.960659510890779
Position 51: 0.7999629379078872
Position 25740: 0.5629775099858526
Position 8368: 0.485972929047165
Position 11726: 0.3090097248240115
Position 5018: 0.26477676453972154
Position 13800: 0.1574027308633509
Position 1821: 0.15278181784157163
Position 195: 0.1420008544547706
Position 23669: 0.12347399511076002
Position 13446: 0.08653677650996748
Position 8356: 0.08161142560619673
Position 2787: 0.06698634314823697
Position 1873: 0.06497038300598346
Position 4946: 0.06447217032759185
Position 25756: 0.05250231101382394
Position 179: 0.0413924763261314
Position 583: 0.04030068774825084
Position 6837: 0.03930262480933061
Position 26888: 0.0369792313814349
Position 20323: 0.03567101873715911
Position 28540: 0.032045902555068895
Position 5802: 0.030909630537791413
Position 11678: 0.030559572387132455
Position 23078: 0.026065349945602535
Position 4878: 0.016700985637879827
Position 10839: 0.01634459222963401
Position 11416: 0.0161342000831213
Position 8639: 0.015906697675884145
Position 11436: 0.0147071104915944
Position 1491: 0.013335196778002734
Position 17638: 0.013269304145930869
Position 576: 0.012303654321824344
Position 8603: 0.010499680587219265
Position 9855: 0.009163926352089062
Position 20094: 0.008404468801678762
Position 19066: 0.007785426971343419
Position 618: 0.007421257415061144
Position 8372: 0.006903176773101323
Position 3146: 0.006229509639882306
Position 7974: 0.005348561909110806
Position 22514: 0.005275723232175686
Position 9770: 0.004471911081983272
Position 21955: 0.003394283953167054
Position 69: 0.00338637312164479
Position 11689: 0.00149383514134372
Position 5085: 0.0013661755192686438
Position 1592: 0.0011007049527175564
Position 1255: 0.0010390307033419789
Position 1830: 0.000969735005770711
Position 4106: 0.0007456536597038
Position 1557: 0.0006047201749872408
Position 219: 0.0005730902476311272
Position 435: 0.0003919051299303373
Position 476: 0.0003251924282667767
Position 973: 0.00027379782574952474
Position 548: 0.0002417883533421475
Position 645: 0.00022478372108902003
Position 17272: 0.00022196226316136182
Position 403: 0.0002090011665599925
Position 1670: 0.0001979308996327441
Position 1677: 0.00016539032933140003
Position 91: 0.0001610632169467636
Position 19294: 0.0001314638689638927
Position 244: 8.95494378746825e-05
Position 363: 6.835352710730167e-05
Position 4950: 6.0541849138191776e-05
Position 5029: 5.86293817420076e-05
Position 1196: 3.933635265896865e-05
Position 1881: 3.175784675182399e-05
Position 2019: 2.948906744359591e-05
Position 3365: 2.789753542483149e-05
Position 4035: 2.74995868794931e-05
Position 1157: 2.728344969942255e-05
Position 368: 2.69196351438597e-05
Position 487: 2.4401924142792072e-05
Position 497: 2.0754130446047855e-05
Position 1112: 2.071182323630308e-05
Position 9085: 1.833797772538096e-05
Position 2994: 1.6974915551506554e-05
Position 1936: 1.3630553073990358e-05
Position 1891: 1.0928878591952193e-05
Position 9744: 1.0282361094039541e-05
Position 2856: 8.910716399031592e-06
Position 483: 8.316059754755122e-06
Position 421: 6.013263224106127e-06
Position 1767: 2.7329597905929984e-06
Position 232: 2.102045257600108e-06
Position 255: 1.4073850799426084e-06
Position 155: 1.2048518769363594e-06
