Gene = SURF1
index = 1355
Annotated 5SS: [  86  238 1683 1848 2758 3813 4061 4446]
Annotated 3SS: [ 185 1548 1764 2565 3739 3897 4363 4523]
SMsplice 5SS: [  86  238 1683 1848 4446]
SMsplice 3SS: [ 185 1548 1764 4363 4523]
top_k =  1000
Partition function (log Z): 7.268770129817115

Sorted 5' Splice Sites (High to Low Probability):
Position 1848: 0.9829379567074146
Position 238: 0.9827338537993083
Position 4446: 0.9778100616105243
Position 86: 0.9528873791140834
Position 1683: 0.6894170140507847
Position 2758: 0.5055567428779774
Position 4061: 0.4890014324231936
Position 3813: 0.4425464380290059
Position 2101: 0.135226607530871
Position 2606: 0.05666333672593639
Position 3201: 0.05174791408882272
Position 2485: 0.03480153885420586
Position 97: 0.03466838506944683
Position 455: 0.027257888043667314
Position 2244: 0.016078090850968205
Position 3524: 0.014443939998110014
Position 564: 0.009957606883533929
Position 3928: 0.008219313793485589
Position 829: 0.007545157073771818
Position 1631: 0.007445317861451233
Position 2282: 0.007416120241994549
Position 3516: 0.007254666824660646
Position 1966: 0.007082746141452076
Position 3563: 0.006141494487581242
Position 2157: 0.004939285452119229
Position 104: 0.0046031557693076075
Position 4092: 0.00344416597765299
Position 571: 0.0026340611110884297
Position 3417: 0.0023218416671655297
Position 2272: 0.002283726589696503
Position 2850: 0.0021929776778582383
Position 27: 0.0020042738895198037
Position 111: 0.001930801053859112
Position 4671: 0.0017432949487308977
Position 1188: 0.001480283751108843
Position 3470: 0.001446383207086924
Position 1498: 0.001092418717145046
Position 4586: 0.0008074433375778337
Position 1702: 0.0007568550380442767
Position 1006: 0.0007054208389353563
Position 2805: 0.0006298158129461232
Position 2169: 0.0006031792452347025
Position 3474: 0.00046712172987279504
Position 2762: 0.00042823888691366887
Position 2106: 0.00035427156023019776
Position 1700: 0.00034120211987046694
Position 118: 0.00031313521765318245
Position 4101: 0.0002804104079758347
Position 2381: 0.00026853289950556225
Position 1635: 0.0002611249828849777
Position 1401: 0.00025261924297410355
Position 630: 0.00024501939024718745
Position 1424: 0.00023754750507854643
Position 423: 0.00023094078462022115
Position 3369: 0.00019328376090359324
Position 1935: 0.0001654798162775236
Position 2715: 0.00016164331463465264
Position 4662: 0.00014126725596211542
Position 1212: 0.00013142480699325731
Position 815: 0.00013093957479648366
Position 2309: 0.00012414493959071024
Position 1653: 0.00011315662963370594
Position 1249: 0.00010696016207776899
Position 4524: 9.242448597276234e-05
Position 2161: 8.617211625390752e-05
Position 1038: 8.422906929823143e-05
Position 1317: 8.207049799395092e-05
Position 4631: 7.798948752324771e-05
Position 1526: 7.097751122388627e-05
Position 4431: 6.477397646020392e-05
Position 374: 6.227510107924396e-05
Position 765: 5.7960669117391e-05
Position 2968: 5.552739843114892e-05
Position 2729: 4.674770372305926e-05
Position 2660: 4.6091932097041765e-05
Position 312: 4.5895105329160724e-05
Position 4438: 4.5864300630201024e-05
Position 799: 4.150157370397901e-05
Position 528: 3.548257199349057e-05
Position 222: 3.1558270344625286e-05
Position 605: 3.1360891926062445e-05
Position 466: 3.058861692386199e-05
Position 694: 3.0102569948226124e-05
Position 2076: 2.357557907855608e-05
Position 1451: 2.2539009664922432e-05
Position 1852: 2.1986314863809144e-05
Position 4678: 2.092051921978375e-05
Position 41: 1.8007323296217565e-05
Position 2359: 1.7583793647350212e-05
Position 2083: 1.394446044207177e-05
Position 2474: 1.308628816079115e-05
Position 2386: 1.2699755967527965e-05
Position 634: 7.763148889567428e-06
Position 379: 7.533047177961026e-06
Position 259: 7.0604457288613385e-06
Position 796: 6.059178034237784e-06
Position 1171: 5.5463953300944846e-06
Position 607: 4.407246792926778e-06
Position 315: 3.938135260789816e-06
Position 407: 3.917811984320609e-06
Position 712: 3.2750876659435505e-06
Position 1116: 3.027185956522709e-06
Position 1761: 2.8513750390887247e-06
Position 1112: 2.8016895218278496e-06
Position 1376: 2.3978128843438317e-06
Position 1888: 2.280934859265269e-06
Position 639: 2.0321581205007967e-06
Position 900: 1.7637045853816855e-06
Position 412: 1.7035685999815884e-06
Position 1125: 1.6994590984161736e-06
Position 1287: 1.61167318972427e-06
Position 2771: 1.368438017541802e-06
Position 410: 1.2172046976381065e-06
Position 367: 1.1820508361935538e-06
Position 291: 1.1484434445407868e-06
Position 318: 9.567195426944093e-07
Position 1809: 8.060728363316413e-07
Position 125: 7.705885556940574e-07
Position 2064: 7.245436348239949e-07
Position 497: 6.659152373927343e-07
Position 1102: 5.891319976651049e-07
Position 906: 5.672213144886477e-07
Position 2431: 5.463800954041182e-07
Position 1091: 4.7654260314433396e-07
Position 2494: 3.4456496881959716e-07
Position 1803: 2.3336822709180763e-07
Position 2024: 2.0452683831916486e-07
Position 1816: 1.7209903905954233e-07
Position 132: 5.223166443424697e-08
Position 404: 3.075241583857786e-08
Position 593: 1.1679558339006278e-08
Position 1765: 1.1427653349819469e-08
Position 1706: 1.084457200697728e-08
Position 1947: 1.053490003440678e-08
Position 622: 9.382172875560937e-09
Position 632: 6.581449882537361e-09
Position 1992: 4.882198860127469e-09
Position 4450: 4.673886831513354e-09
Position 172: 3.970941235144291e-09
Position 1772: 3.947908038403334e-09
Position 396: 3.0557993772934202e-09
Position 644: 2.3843892537559125e-09
Position 510: 1.6062293254101994e-09
Position 595: 1.1057460667565383e-09
Position 178: 4.947191786477641e-10
Position 151: 6.559896749834184e-11
Position 176: 3.589985249788555e-11
Position 437: 2.8596152360652782e-12
Position 477: 1.636995245101888e-12
Position 49: 1.3584208880157682e-12
Position 936: 6.461784919363205e-13
Position 213: 6.934629849037964e-14
Position 2178: 4.9627309768748616e-14

Sorted 3' Splice Sites (High to Low Probability):
Position 1764: 0.9918674155318259
Position 4363: 0.9914586600782639
Position 185: 0.9878103886743882
Position 4523: 0.8769010407676459
Position 1548: 0.47108946962314974
Position 3897: 0.4504205668862099
Position 2565: 0.40119282546046736
Position 3739: 0.34157371212905374
Position 1530: 0.11142315410202386
Position 2632: 0.100366493190692
Position 1965: 0.08651162143928703
Position 2223: 0.07635760680027899
Position 4540: 0.05297530115513399
Position 4563: 0.039896634226110596
Position 3722: 0.03361754257058098
Position 3297: 0.03337695423019983
Position 1631: 0.03332113058048545
Position 1590: 0.031711776503135225
Position 1947: 0.025775090159635975
Position 3775: 0.024599363187199758
Position 3652: 0.02358521176064266
Position 1497: 0.018398282440966147
Position 3051: 0.018178770594720027
Position 3841: 0.018019399929272005
Position 1464: 0.017838713125202302
Position 2985: 0.017446931649691633
Position 310: 0.016091536892677012
Position 3760: 0.012854199722847787
Position 2511: 0.012417303009042278
Position 2595: 0.010940972046302167
Position 2527: 0.009446798967856456
Position 483: 0.008730487416271632
Position 2713: 0.008651804313516406
Position 1921: 0.008558089369713048
Position 1985: 0.008028133434161266
Position 2939: 0.007904879502824747
Position 722: 0.0073417009098860255
Position 3976: 0.00685910719967193
Position 3719: 0.00684262561403243
Position 2029: 0.006694586431759018
