Gene = TM4SF19-TCTEX1D2
index = 1404
Annotated 5SS: [  110 10984 11419 14103 14630]
Annotated 3SS: [10781 11340 13932 14375 22141]
SMsplice 5SS: [  110 10984 11487]
SMsplice 3SS: [10781 11340 18751]
top_k =  1000
Partition function (log Z): -10.186011965661757

Sorted 5' Splice Sites (High to Low Probability):
Position 110: 0.9222051519574932
Position 10984: 0.7879859460532286
Position 11487: 0.5875800212128186
Position 19032: 0.32941760016969285
Position 11419: 0.30496355843266515
Position 14103: 0.1823887208685918
Position 18852: 0.17322604476991135
Position 5692: 0.10016074072117039
Position 12015: 0.094260975900525
Position 14630: 0.08834282509538799
Position 20251: 0.07963342324185171
Position 10829: 0.07036576429806417
Position 11247: 0.0697848882476903
Position 11396: 0.06621774809741227
Position 18151: 0.06516415398494335
Position 5759: 0.06509051299828227
Position 911: 0.05190561321479109
Position 14699: 0.044529169004637215
Position 12606: 0.04085598557772794
Position 5277: 0.03707757628297912
Position 14099: 0.03690276314236072
Position 4945: 0.03364575894762433
Position 128: 0.03330077412741509
Position 4204: 0.03264627757960012
Position 11689: 0.026346283712478824
Position 11155: 0.024376927485392906
Position 8189: 0.02073285991121952
Position 7752: 0.020148567148364015
Position 1883: 0.01785484246205032
Position 523: 0.01696112880641341
Position 11208: 0.016006286616581662
Position 9199: 0.014420629372054052
Position 70: 0.013820846209335026
Position 12791: 0.011857487201879513
Position 133: 0.0117839647042327
Position 13955: 0.009511859246723271
Position 13933: 0.009482167825347472
Position 18514: 0.009182974947995352
Position 2633: 0.008423035468445975
Position 7362: 0.00755840611959758
Position 19303: 0.007210191548700163
Position 2463: 0.006974923483850105
Position 638: 0.0061417034145102144
Position 2801: 0.005924927735585568
Position 5673: 0.005900330410780025
Position 188: 0.0051292447072314685
Position 19320: 0.004776361370968122
Position 9231: 0.004467869045420105
Position 5217: 0.004017493890345872
Position 18970: 0.003640570954946458
Position 11524: 0.003264585830588346
Position 12941: 0.002776529070407315
Position 18214: 0.0024507227350838447
Position 11045: 0.0023892755530402965
Position 14285: 0.002247794329169529
Position 11341: 0.0021766948866929793
Position 13609: 0.0017268224376431893
Position 13651: 0.0015181427907754025
Position 11107: 0.0014585518527587256
Position 8271: 0.0011976981059320028
Position 4196: 0.0011329628476491433
Position 12598: 0.001130616457076387
Position 3721: 0.0010569565184523995
Position 1987: 0.0010478724646330578
Position 8197: 0.0009340111530059287
Position 433: 0.0008864233921870038
Position 2681: 0.0008331646621756549
Position 2496: 0.0006805655857493484
Position 5365: 0.0006752900928272379
Position 11663: 0.0005624847001774947
Position 9755: 0.0004679715989020856
Position 4718: 0.00045219702033282976
Position 11945: 0.00035069359064144803
Position 1647: 0.0003400678010791963
Position 11746: 0.00028880052895164266
Position 12168: 0.00027386719462033614
Position 11735: 0.00021142455768208184
Position 11543: 0.00016721694502397943
Position 11947: 0.00015119489645055393
Position 14248: 0.00012193129538697376
Position 12: 8.859864697187512e-05
Position 11402: 6.073064726021452e-05
Position 11677: 5.901113619983857e-05
Position 11519: 2.6708595728063263e-05
Position 612: 2.4870279377844654e-05
Position 1429: 2.4801687632801023e-05
Position 576: 2.320999982418468e-05
Position 11713: 2.2751301677817702e-05
Position 1029: 2.215886178605048e-05
Position 304: 1.4893418583954815e-05
Position 212: 1.4087679234016751e-05
Position 385: 1.2869785051937298e-05
Position 617: 8.16732572156938e-06
Position 258: 5.310259250287357e-06
Position 802: 4.830135566848268e-06
Position 323: 4.779624237927153e-06
Position 395: 4.206021075166118e-06
Position 2476: 2.502135933542289e-06
Position 216: 2.0955449147971264e-06
Position 1236: 1.97796652197077e-06
Position 905: 1.8673101456045217e-06
Position 1518: 1.652811927612201e-06
Position 527: 1.3623252639806095e-06
Position 2005: 1.339917804095533e-06
Position 218: 1.2544720404703413e-06
Position 662: 7.755960805067237e-07
Position 728: 6.501314335372816e-07
Position 465: 4.725781864869108e-07
Position 1991: 3.717460686045828e-07
Position 2153: 3.2972545909970506e-07
Position 2349: 3.172137214058984e-07
Position 452: 2.9934789570925936e-07
Position 170: 2.872450133826771e-07
Position 556: 2.534835723581819e-07
Position 667: 2.014880976607582e-07
Position 1171: 1.367919636623272e-07
Position 742: 1.1567800895287812e-07
Position 954: 9.672574695508586e-08
Position 75: 5.535977393420913e-08
Position 570: 3.617076254166477e-08
Position 415: 2.907549842383044e-08
Position 249: 2.2080518799457846e-08
Position 34: 5.288322448470562e-09
Position 262: 1.9822241122317355e-09
Position 314: 1.5793768725210784e-10
Position 745: 1.361815368465192e-12
Position 359: 5.281995143461304e-13
Position 442: 1.8891192422242216e-14

Sorted 3' Splice Sites (High to Low Probability):
Position 11340: 0.9709141771214879
Position 18751: 0.6646328599420847
Position 10781: 0.377017111178165
Position 10806: 0.26587203060783315
Position 22141: 0.22812316995252718
Position 13932: 0.22375878149393313
Position 10746: 0.19444968768136625
Position 19625: 0.1646174381738043
Position 11866: 0.14627841050578402
Position 11077: 0.11358686647349035
Position 5595: 0.08481950044991768
Position 17969: 0.08201588854083076
Position 20141: 0.07676950554006112
Position 20328: 0.07257251724833802
Position 5623: 0.06296932655683074
Position 14540: 0.06246056205548476
Position 14375: 0.06082297430473381
Position 20180: 0.04879486229023049
Position 13954: 0.042380012308467704
Position 12477: 0.04230043465908216
Position 19137: 0.03818650893049672
Position 13881: 0.03667799384544448
Position 841: 0.027650645035600416
Position 4095: 0.026515320161249627
Position 5111: 0.025135469567900845
Position 18274: 0.02325156776370599
Position 8080: 0.022938720633148033
Position 11582: 0.020681790907266333
Position 8965: 0.019061510591823802
Position 1757: 0.018493737540964155
Position 374: 0.017299537397512322
Position 17775: 0.01656214705035025
Position 14519: 0.01595611710099673
Position 13777: 0.015370027468023033
Position 5691: 0.015084164027791861
Position 4861: 0.01498345670779398
Position 19121: 0.014826361632219117
Position 10749: 0.014461457054570203
Position 14477: 0.01287184555892113
Position 5028: 0.011958076445440884
Position 4855: 0.01186578575393531
Position 11588: 0.011739562363816578
Position 13702: 0.011665223509577757
Position 2538: 0.011442725066459424
Position 12689: 0.010047482347367685
Position 20517: 0.009466838193921415
Position 10940: 0.009275034359581956
Position 17875: 0.009045995545852198
Position 5572: 0.006608201904721162
Position 7636: 0.006505877093056953
Position 846: 0.006301533035767469
Position 7266: 0.005584720085167253
Position 15338: 0.0054711713820563045
Position 7604: 0.005404641397168131
Position 20331: 0.005223082706981179
Position 2346: 0.004879513343060672
Position 4107: 0.004546285623106937
Position 12597: 0.004518076314651839
Position 14659: 0.004393384831779848
Position 11802: 0.004093533123598069
Position 702: 0.0036135088996426656
Position 7679: 0.0035795724935622267
Position 4840: 0.0035070707211937156
Position 19218: 0.0035012927943385563
Position 7586: 0.003437727608728973
Position 13485: 0.0029609085427926346
Position 14994: 0.0029411903489599436
Position 16166: 0.0028821499157883367
Position 19285: 0.0028600031460612177
Position 12553: 0.0028145011801765396
Position 4118: 0.0026941761879094505
Position 11219: 0.002656751438201752
Position 286: 0.002473468744375723
Position 5077: 0.0024688082811603683
Position 4881: 0.0021426949941458916
Position 7099: 0.0019789044878654933
Position 14137: 0.0019404581229128118
Position 12656: 0.0017432913249567777
Position 12818: 0.0017228504580174167
Position 11909: 0.001717816648864945
Position 2669: 0.001297454676673571
Position 2782: 0.0012567309833577372
Position 5139: 0.0012254522080922066
Position 7552: 0.0012207485558477376
Position 13527: 0.0011899985624188613
Position 13743: 0.001131301421445797
Position 5666: 0.001108404145608856
Position 789: 0.0010762065634262504
Position 4636: 0.0010061316480660103
Position 2654: 0.0009989412623898665
Position 378: 0.0009832791529739207
Position 5119: 0.0009464204458576675
Position 2413: 0.0008208398147262436
Position 2291: 0.0007849794151122298
Position 16262: 0.0007241337004372027
Position 13576: 0.0006544839729230716
Position 12741: 0.0006472140616022771
Position 2364: 0.00059953382654128
Position 5643: 0.0005638078571663455
Position 11543: 0.0005628095901230375
Position 4717: 0.0005333340638169527
Position 11711: 0.0005223119897316876
Position 3578: 0.0004973229323838635
Position 9581: 0.0004929180122725381
Position 449: 0.00045756113820000026
Position 258: 0.00043746292437015855
Position 11993: 0.00035295294359313805
Position 2324: 0.00034651097241677223
Position 671: 0.00032062361790020694
Position 12907: 0.00028049930824693516
Position 15898: 0.0002800383232595186
Position 742: 0.000269797085210928
Position 12132: 0.00026862194536255677
Position 786: 0.00026764118329507106
Position 304: 0.00026113069295749855
