Gene = SLFNL1
index = 1273
Annotated 5SS: [ 100 1490 4081 4482]
Annotated 3SS: [ 936 3558 4337 5486]
SMsplice 5SS: [ 186 1490 4081 4482]
SMsplice 3SS: [1393 3881 4337 5486]
top_k =  1000
Partition function (log Z): -3.955372838316924

Sorted 5' Splice Sites (High to Low Probability):
Position 1490: 0.9609095667215877
Position 4482: 0.7788910197352334
Position 4081: 0.6558837624582405
Position 186: 0.5505903297475204
Position 3425: 0.30824059058932196
Position 852: 0.23515984448619046
Position 212: 0.1805312249351568
Position 1310: 0.14238194541775562
Position 1990: 0.1126399066540993
Position 3226: 0.08210920735925263
Position 5606: 0.06216341007050343
Position 3446: 0.05938301244280815
Position 644: 0.05822798174337653
Position 2490: 0.025083494325630732
Position 93: 0.023541802485868107
Position 1116: 0.023320572966411393
Position 4132: 0.02188368028930226
Position 2225: 0.02055274673209551
Position 1088: 0.01833337909497272
Position 3398: 0.018157626050099927
Position 610: 0.013117131718510262
Position 664: 0.00951610381683187
Position 1015: 0.009202789584569278
Position 1867: 0.007064184050061174
Position 1346: 0.004261340771915159
Position 5678: 0.004058073856118592
Position 4775: 0.003735353001714819
Position 444: 0.003382165338390694
Position 4649: 0.0032299391585743284
Position 1238: 0.003195953434940048
Position 4807: 0.0029375950391197273
Position 1954: 0.002862545075823986
Position 2498: 0.002706121116578491
Position 5243: 0.002516457742893266
Position 1972: 0.0023944077679633247
Position 5332: 0.002130260862590025
Position 4500: 0.0017420288126497202
Position 25: 0.0014954236396901022
Position 5599: 0.0014662569537948302
Position 4338: 0.0014561241389198026
Position 1458: 0.001261083590614627
Position 3767: 0.0012583436969849369
Position 686: 0.0009375113431543588
Position 200: 0.0009025978514891806
Position 190: 0.0008470715430363121
Position 2230: 0.0007940151076137035
Position 3093: 0.0007103226533717098
Position 5583: 0.0006401011956121404
Position 4887: 0.0005783884101328726
Position 604: 0.0005654018231633796
Position 2331: 0.0004812088985986311
Position 5423: 0.000464768132822885
Position 1286: 0.000401835862336041
Position 4504: 0.000351307829006286
Position 5010: 0.00035123598398519273
Position 575: 0.00034208838247514573
Position 2541: 0.0003299690066542307
Position 214: 0.00027073603813905923
Position 188: 0.0002443368493089093
Position 361: 0.00024211853752675245
Position 1205: 0.00020842280258498105
Position 4410: 0.0002001141685849825
Position 226: 0.0001584866739893469
Position 1746: 0.00015356912234188407
Position 379: 0.00013503574808283836
Position 2655: 9.927628903086103e-05
Position 822: 9.482566000202164e-05
Position 3442: 9.367645967677537e-05
Position 5325: 9.31585508654557e-05
Position 2800: 9.016603706114618e-05
Position 4253: 8.459715169830868e-05
Position 1307: 6.478773527797403e-05
Position 690: 5.8393792211481794e-05
Position 1090: 5.564076176349453e-05
Position 4296: 5.415539281149443e-05
Position 3502: 4.571621064751333e-05
Position 216: 4.2485285878988895e-05
Position 757: 2.8635812590924093e-05
Position 3850: 2.6684824753338602e-05
Position 751: 2.2396433843043884e-05
Position 1162: 1.9438627093965984e-05
Position 1652: 1.385609654791142e-05
Position 636: 4.112199217579948e-06
Position 730: 2.998905556326841e-06
Position 568: 2.7282220124760823e-06
Position 517: 2.062269053074099e-06
Position 342: 1.0378545604554458e-06
Position 804: 6.526075269618408e-07
Position 123: 5.968343058791247e-07
Position 430: 4.54845389049835e-07
Position 856: 4.289458774363628e-07
Position 352: 3.45412054449665e-07
Position 304: 2.1720341365299475e-07
Position 487: 1.3839351729183457e-07
Position 619: 1.2066232966554042e-07
Position 816: 1.0046019086193444e-07
Position 956: 7.405811921082525e-08
Position 559: 7.253808597702765e-08
Position 926: 5.945235384049685e-08
Position 806: 4.8290146894202875e-09
Position 432: 3.860028600223544e-09
Position 384: 2.3220781550690105e-09
Position 294: 2.004522612546859e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 5486: 0.9632446039902828
Position 1393: 0.8734642380783688
Position 3881: 0.47903112884825017
Position 4337: 0.44934341787541393
Position 3297: 0.34475190426469476
Position 4367: 0.18898670541907825
Position 3993: 0.1501530548792343
Position 781: 0.08338856660698346
Position 3142: 0.0802321036426389
Position 4246: 0.07742907514049192
Position 1225: 0.0647915321007192
Position 1359: 0.051808657068533125
Position 1924: 0.04255189504801812
Position 1145: 0.04099350654734127
Position 798: 0.03781222815584698
Position 936: 0.03276478755741832
Position 1745: 0.030917546216798982
Position 1865: 0.02822582549916766
Position 4315: 0.027735412414887327
Position 2381: 0.026832136309710108
Position 6032: 0.018768454407183693
Position 5926: 0.01862028620491694
Position 3393: 0.017127192443920733
Position 3206: 0.01692428553679301
Position 5411: 0.015972198139241077
Position 844: 0.011135877030413277
Position 2013: 0.010677574527004933
Position 5779: 0.010086734168714796
Position 4394: 0.009932499139866113
Position 1041: 0.009469272314957432
Position 3558: 0.009449279058968972
Position 3930: 0.009342186614144292
Position 3944: 0.009199788180879053
Position 4398: 0.009012785586717146
Position 1345: 0.007893825200338694
Position 2146: 0.0076969354500708645
Position 3738: 0.007404841310926871
Position 4706: 0.007141027382982213
Position 4456: 0.006998323502886274
Position 5946: 0.006609825755201794
Position 3719: 0.005960917617847407
Position 910: 0.005960728480548334
Position 1902: 0.005842192880865624
Position 5984: 0.005444617371074391
Position 5839: 0.005048445474209916
Position 5149: 0.005043907552892628
Position 4159: 0.004734797079560552
Position 523: 0.004717323536446061
Position 1762: 0.004560284239452591
Position 4195: 0.0045570862238488745
Position 5422: 0.003898636961822975
Position 1680: 0.0037926520381258567
Position 1232: 0.0037838631393553356
Position 1871: 0.0034006470066879116
Position 5488: 0.0031694387318121414
Position 1867: 0.002964830437494236
Position 3163: 0.002961968446484307
Position 4373: 0.0028140832281465856
Position 3308: 0.002796173245860019
Position 4052: 0.00267267468155422
Position 5367: 0.0025079502710846973
Position 1661: 0.0023430156941071974
Position 3843: 0.0021687995404562083
Position 477: 0.0021168249606775525
Position 3659: 0.0020904361457303408
Position 1259: 0.002039130731558082
Position 4741: 0.002001803812786514
Position 1150: 0.001942750832130232
Position 5682: 0.0014445886158430254
Position 5059: 0.001423704698553436
Position 3256: 0.0013940388378315622
Position 4609: 0.00139352090018638
Position 5752: 0.001355863204300645
Position 5864: 0.0013373777662963762
Position 4300: 0.0012294305205060529
Position 4080: 0.00119077689869836
Position 1906: 0.001160085332987014
Position 493: 0.0010490654786463318
Position 3782: 0.0010376524124234175
Position 1069: 0.0009655005634677687
Position 4226: 0.0009031322851323344
Position 3666: 0.0008234223701782092
Position 5793: 0.000818129936567901
Position 1423: 0.0008016544387413819
Position 1177: 0.0007200403288614131
Position 3276: 0.0007185299669458083
Position 2484: 0.000709631082010126
Position 3735: 0.0006697627164567474
Position 1715: 0.0006481055344194188
Position 528: 0.0006414548747037484
Position 487: 0.0006363102587947528
Position 3372: 0.000591491368314152
Position 1597: 0.0005609609115681057
Position 4466: 0.0005535146901896673
Position 3885: 0.0005502599078351368
Position 3002: 0.0005498670404699743
Position 4253: 0.0005255752569724553
Position 4554: 0.0005165974710361535
Position 4652: 0.0005022790368268446
Position 703: 0.0004948764517163378
Position 2957: 0.00048116481809312456
Position 2451: 0.00046650408931996523
Position 465: 0.0004441951947753844
Position 1926: 0.00044176092379944745
Position 1180: 0.00043507890680729704
Position 939: 0.0004348308215874715
Position 5958: 0.0004224277042156402
Position 742: 0.00040501462997085574
Position 3226: 0.0003916870992500357
Position 1005: 0.00038915326998796275
Position 5749: 0.00038030903869953236
Position 4163: 0.0003408865326534017
Position 816: 0.00031237864912459005
Position 2149: 0.0002999541701461154
Position 397: 0.0002792864762439284
Position 2434: 0.000266335113713237
Position 6091: 0.00024971760483624353
Position 5875: 0.00024289114289037088
Position 2186: 0.00022519338731827912
Position 5843: 0.00021327881313226924
Position 2086: 0.00017553215632219843
Position 274: 0.0001736505711054626
Position 1008: 0.00015122474590197212
Position 975: 0.00014832758959355813
Position 2174: 0.00014188783739350704
Position 1147: 0.00013912096015143385
Position 629: 0.0001390602981891168
Position 992: 0.0001373590420349214
Position 593: 0.00012767738085069902
Position 1719: 0.00012721246680109775
Position 2621: 0.00012279828444239016
Position 1047: 0.00011880595481829723
Position 671: 0.00011873128400629092
Position 1162: 0.00011861021507010709
Position 4559: 0.0001172200051513278
Position 1594: 0.00010760683650342351
Position 3369: 0.00010346241512402686
Position 2962: 0.00010202822103209156
Position 5298: 9.824921430854305e-05
Position 1087: 9.383764721281949e-05
Position 3263: 8.502459742580082e-05
Position 2330: 7.263960262163842e-05
Position 3019: 7.192522317369067e-05
Position 633: 5.969327712063584e-05
Position 1076: 5.799388478449466e-05
Position 420: 5.796294638831863e-05
Position 3071: 5.356198871131098e-05
Position 1785: 5.156053610492122e-05
Position 5932: 4.653911472343108e-05
Position 1123: 4.439966914982955e-05
Position 3152: 4.405144028993813e-05
Position 555: 3.910822711328183e-05
Position 430: 3.830411398366593e-05
Position 411: 3.818580717677665e-05
Position 5024: 3.7581976724245196e-05
Position 1108: 3.495574566680685e-05
Position 596: 3.1506165191659044e-05
Position 6052: 3.055543228371107e-05
Position 2126: 2.96226340305372e-05
Position 3028: 2.5789035158410037e-05
