Gene = ZMYND19
index = 1608
Annotated 5SS: [ 278 1832 2774 3524 7508]
Annotated 3SS: [1771 2666 3382 7326 7803]
SMsplice 5SS: [ 278 1832 2820 3524 7508]
SMsplice 3SS: [1711 2666 3382 7326 7803]
top_k =  1000
Partition function (log Z): 2.1614172492267536

Sorted 5' Splice Sites (High to Low Probability):
Position 3524: 0.9951976636382383
Position 278: 0.9585174919530879
Position 1832: 0.9240406288253342
Position 7508: 0.5730542298446798
Position 2820: 0.5635404119200564
Position 2774: 0.31892952528001584
Position 1087: 0.22133635139189228
Position 3306: 0.22002396808940214
Position 7698: 0.14291553206954985
Position 6771: 0.1338251190391858
Position 1351: 0.0970653668643963
Position 3326: 0.0831473949264975
Position 3064: 0.07906720411978609
Position 4644: 0.07288026642094733
Position 6221: 0.06253306714557741
Position 3236: 0.06043014255419011
Position 3332: 0.032167015496896614
Position 7733: 0.02973159562267977
Position 6956: 0.028118954680425332
Position 2399: 0.024275213607979573
Position 3719: 0.02230977992392686
Position 1461: 0.01881844600047936
Position 6775: 0.01518973634257895
Position 7411: 0.010864774778725583
Position 557: 0.010059995039750856
Position 1836: 0.009738171644868256
Position 7094: 0.009036027516174733
Position 1344: 0.008435420689847747
Position 246: 0.008311231580514404
Position 5193: 0.007863813012264487
Position 6412: 0.007829028460377028
Position 3055: 0.007761260418186811
Position 6751: 0.007254719198927969
Position 7717: 0.0067493293856687306
Position 3202: 0.006089973638428668
Position 7133: 0.00537568520809913
Position 7845: 0.005329622690750888
Position 6481: 0.0049491644586621055
Position 1960: 0.004810688891339489
Position 3016: 0.00462087359252107
Position 2942: 0.004262337160940119
Position 2540: 0.004122251974973127
Position 7512: 0.004002219011556383
Position 1096: 0.003974102231358896
Position 729: 0.003942754625236865
Position 3833: 0.003907566963895598
Position 7005: 0.0038967825529646134
Position 2448: 0.0038761038206891686
Position 724: 0.0037581455464280387
Position 2698: 0.003739642412163079
Position 3352: 0.003638159836862827
Position 1870: 0.003562149498093301
Position 5446: 0.003252025842112474
Position 3322: 0.0030810469541675263
Position 6740: 0.002943275312628229
Position 1543: 0.002823427172927116
Position 37: 0.0023673213182538234
Position 3474: 0.001372950206351328
Position 1712: 0.0012506760848138743
Position 3835: 0.001236972263082584
Position 1244: 0.00115548873685332
Position 4773: 0.0011456391887648546
Position 2482: 0.001047012242024357
Position 6687: 0.000774858154116703
Position 4674: 0.0007578179154090084
Position 7433: 0.0007478642811204095
Position 4066: 0.0007308402592732113
Position 2516: 0.0007086293726876011
Position 251: 0.0006709905620928868
Position 2778: 0.00061384921522271
Position 528: 0.0005228883421502446
Position 653: 0.0004385665001038118
Position 3110: 0.0004355333312354127
Position 1227: 0.0004233057083302688
Position 666: 0.0004168043842681582
Position 2062: 0.00041220808548255453
Position 1048: 0.00039099760984188193
Position 266: 0.000378713232381506
Position 1639: 0.00036677634261607443
Position 1491: 0.00027900289370840143
Position 2780: 0.00025056218410440855
Position 1605: 0.00020166757580162192
Position 5957: 0.0001658044711490319
Position 2343: 0.0001640492899352917
Position 1623: 0.00016034795726705496
Position 1740: 0.00015854712211731717
Position 443: 0.0001468912732138814
Position 1950: 0.00013718038197216905
Position 1704: 0.00013676827418210506
Position 2382: 0.00012346168894397953
Position 2510: 0.00010942969738039158
Position 1653: 9.52507033624986e-05
Position 131: 9.37565664633254e-05
Position 2632: 6.446226360708127e-05
Position 2905: 6.003349984376607e-05
Position 346: 4.4077418619200344e-05
Position 2122: 4.346070825386885e-05
Position 2409: 4.2740481336005004e-05
Position 2965: 2.8756416442842542e-05
Position 2036: 2.849392655361612e-05
Position 2362: 2.6509052323572016e-05
Position 2591: 2.3268431370264014e-05
Position 492: 2.033255041124233e-05
Position 2059: 1.7373251683782144e-05
Position 794: 1.563111111483983e-05
Position 1974: 1.544405459587966e-05
Position 731: 1.5355059617153887e-05
Position 3036: 1.4674742536278174e-05
Position 2896: 1.1629677193977675e-05
Position 2771: 8.99008385006224e-06
Position 640: 8.729835782128197e-06
Position 614: 8.519546873713622e-06
Position 349: 7.663682776882412e-06
Position 4649: 7.178925554987788e-06
Position 2139: 5.551403084396986e-06
Position 1453: 4.6644911307428265e-06
Position 1072: 4.1747051183377385e-06
Position 803: 4.124419789726166e-06
Position 612: 4.115447961319995e-06
Position 1472: 3.8801150145764745e-06
Position 939: 3.303532234342555e-06
Position 3528: 2.828943575343143e-06
Position 1157: 2.5727614166137007e-06
Position 996: 1.7380605136058184e-06
Position 911: 1.4307389750452603e-06
Position 3420: 1.4078131929597708e-06
Position 959: 1.3168319003443364e-06
Position 1082: 1.2191436519858527e-06
Position 308: 1.2002768231093448e-06
Position 7522: 1.0804083817454488e-06
Position 3605: 1.0433812776812228e-06
Position 7493: 1.0221991919097674e-06
Position 3479: 7.460542424623232e-07
Position 3721: 4.667486022976739e-07
Position 3593: 2.968552827834406e-07
Position 609: 2.9502018249961463e-07
Position 2346: 1.2118733883228816e-07
Position 3364: 5.282807638007533e-08
Position 3784: 5.138861414961015e-08
Position 1355: 5.0558024495695026e-08
Position 1485: 2.909660557819126e-08
Position 317: 7.17789908751838e-09
Position 8: 4.182496877762401e-09
Position 86: 3.818737550323271e-09
Position 141: 1.3965195348074368e-09
Position 545: 4.6819197968301517e-11
Position 30: 6.303385721061418e-12
Position 743: 1.4279821689173595e-12
Position 569: 6.782322217776318e-13
Position 136: 5.808990018503462e-14
Position 753: 4.122109355279332e-14
Position 589: 3.45610922273971e-15

Sorted 3' Splice Sites (High to Low Probability):
Position 2666: 0.8898385755429357
Position 7326: 0.711342271281384
Position 7803: 0.677875659532331
