Gene = SPRR2F
index = 1322
Annotated 5SS: [42]
Annotated 3SS: [762]
SMsplice 5SS: [42]
SMsplice 3SS: [762]
top_k =  1000
Partition function (log Z): -7.665532049144785

Sorted 5' Splice Sites (High to Low Probability):
Position 42: 0.9655255519467512
Position 612: 0.1100198236952256
Position 446: 0.05842892495473664
Position 349: 0.026362638475651554
Position 461: 0.020237017287023134
Position 690: 0.015864732623677113
Position 593: 0.009515723834554221
Position 243: 0.0022970565978225957
Position 9: 0.0013251287373973232
Position 333: 0.0009388209380371929
Position 112: 0.000737483605764161
Position 351: 0.00034520106975270833
Position 648: 0.00027019591255227467
Position 289: 0.0002683760746858689
Position 87: 0.00017829788255975532
Position 997: 0.00016067077887501368
Position 473: 0.00014770393587841646
Position 117: 0.0001463858435531532
Position 901: 0.00010222542718336526
Position 218: 9.449228731678846e-05
Position 137: 8.744128551539615e-05
Position 874: 7.981184085339193e-05
Position 223: 7.791227190394167e-05
Position 388: 6.01635443745417e-05
Position 247: 5.5277227542467384e-05
Position 847: 4.771377333563242e-05
Position 521: 4.104658032110178e-05
Position 211: 3.8165019213897446e-05
Position 494: 3.7644872048243486e-05
Position 75: 3.511692779271342e-05
Position 830: 1.683393042340442e-05
Position 606: 1.3151558561105593e-05
Position 318: 1.2987360797825108e-05
Position 46: 9.821255372335637e-06
Position 979: 6.926149996122014e-06
Position 156: 4.471075565061678e-06
Position 339: 3.0512782618128765e-06
Position 390: 2.7670865033544956e-06
Position 225: 2.7260578124155373e-06
Position 68: 2.5982797199929886e-06
Position 832: 1.8813349976420096e-06
Position 378: 1.7516466802359372e-06
Position 1162: 1.5495852865269404e-06
Position 861: 1.4359244395241068e-06
Position 398: 1.1850715327826855e-06
Position 903: 9.880970777737028e-07
Position 60: 2.2906048045355963e-07
Position 320: 2.601187189475294e-08
Position 342: 7.205971770503983e-09
Position 575: 1.9100077891697777e-10
Position 910: 9.313020071956567e-11
Position 524: 4.5168968314132206e-11
Position 381: 1.9181649111380198e-16

Sorted 3' Splice Sites (High to Low Probability):
Position 762: 0.797840499010628
Position 332: 0.1820980964603907
Position 534: 0.13378836696735488
Position 722: 0.020849792492612974
Position 378: 0.014504118269350356
Position 506: 0.009096342698993213
Position 491: 0.00760794769612877
Position 796: 0.0070530098617959955
Position 973: 0.00596157549751296
Position 348: 0.005332709757677478
Position 423: 0.0041120535470971315
Position 799: 0.003876460632443559
Position 1062: 0.002759430584373836
Position 200: 0.0026708491333483947
Position 1198: 0.0024028860648605496
Position 211: 0.0018969049454746717
Position 1124: 0.0018799524868053107
Position 345: 0.0013693836515508999
Position 1175: 0.0009154848707509288
Position 216: 0.000700874530378846
Position 847: 0.0006230680920336146
Position 108: 0.0006070788354614056
Position 667: 0.0005229716013852134
Position 910: 0.00041052182713804817
Position 802: 0.0003989186244778567
Position 925: 0.0003932722871753094
Position 874: 0.0003441256317185956
Position 928: 0.00032258021416573066
Position 156: 0.0003204637264395777
Position 171: 0.0003179611692955993
Position 1155: 0.00029537010035352463
Position 1087: 0.0002652613494640308
Position 901: 0.00024053632636289977
Position 536: 0.0001953383764016909
Position 1349: 0.00016019816117650927
Position 275: 0.00015709774343643468
Position 1380: 0.0001512283470176595
Position 701: 0.00012863634074371103
Position 1284: 0.00011504285288557647
Position 238: 0.00010031573699282012
Position 780: 8.746710545580725e-05
Position 563: 7.534800281749819e-05
Position 582: 7.278282749185325e-05
Position 1161: 5.867526919578478e-05
Position 606: 5.6262967154767695e-05
Position 1204: 4.078452057910074e-05
Position 991: 3.6995186486391116e-05
Position 1019: 3.565790101590902e-05
Position 770: 3.52930676839228e-05
Position 979: 2.928366543568269e-05
Position 854: 2.8116115360314136e-05
Position 993: 2.68743495220055e-05
Position 777: 2.500270096721379e-05
Position 1235: 2.4974116322353288e-05
Position 436: 2.3148668693466663e-05
Position 243: 1.8753407097498037e-05
Position 820: 1.8225189142641215e-05
Position 637: 1.6285739146025606e-05
Position 272: 1.5241529754938063e-05
Position 1095: 1.3342769548032476e-05
Position 646: 1.1853097977052003e-05
Position 937: 9.984489205907513e-06
Position 593: 8.123045186458308e-06
Position 112: 7.959982702522182e-06
Position 1036: 5.753796762076581e-06
Position 1105: 5.688811231956538e-06
Position 218: 5.257064086133769e-06
Position 1242: 4.288431954035358e-06
Position 934: 3.866010134394892e-06
Position 454: 3.727499850832445e-06
Position 442: 3.5862048209964074e-06
Position 811: 2.613919697341771e-06
Position 177: 2.4694029481387687e-06
Position 1331: 2.4349960263344325e-06
Position 573: 2.14183213575292e-06
Position 997: 1.728469489379416e-06
Position 674: 1.108435645780264e-06
Position 1030: 9.416284300358348e-07
Position 240: 7.955012611965933e-07
Position 289: 3.683596354544628e-07
Position 259: 3.1798369399357065e-07
Position 575: 3.0960255550390744e-07
Position 222: 2.494426314872234e-07
Position 612: 1.4042717003149186e-07
Position 450: 1.0187496421815263e-07
Position 355: 4.711079879437673e-08
Position 247: 2.7341906506739377e-08
Position 252: 3.933795901395834e-09
Position 179: 2.906386399963304e-09
Position 357: 3.4693683022875565e-10
