Gene = UBE2H
index = 1519
Annotated 5SS: [   447  72055  73382  94048  95439 113743]
Annotated 3SS: [ 71977  73306  94007  95385 113613 117887]
SMsplice 5SS: [   447  31819  43203  55849  73382  94048  95439 103976 113743]
SMsplice 3SS: [ 31709  43041  55698  73306  94007  95385 103871 113613 114364]
top_k =  1000
Partition function (log Z): -65.77584329313855

Sorted 5' Splice Sites (High to Low Probability):
Position 447: 0.6816897209908508
Position 68: 0.29528884580346
Position 3991: 0.1457173820872377
Position 2896: 0.11725277013935921
Position 7593: 0.11465462612995544
Position 7359: 0.024846838801225245
Position 1154: 0.0238236836033996
Position 678: 0.023212450510620864
Position 489: 0.017234470644391372
Position 4901: 0.015071422161377052
Position 4027: 0.013436914395062342
Position 60: 0.010155911552793044
Position 3011: 0.009167514141232829
Position 3594: 0.007029216342325584
Position 475: 0.006532562496026196
Position 1238: 0.006244573174953511
Position 1672: 0.0056752606470654166
Position 1232: 0.005144531957666045
Position 3: 0.0041082055377155355
Position 1243: 0.004106008548269541
Position 2891: 0.003972832433263457
Position 5870: 0.0028081689975723093
Position 4396: 0.0026507185485033402
Position 1479: 0.0023770397502586847
Position 7679: 0.0019403376079954269
Position 5874: 0.0018434557532608592
Position 4006: 0.0015466547583176552
Position 5736: 0.0014665855891504982
Position 5703: 0.0014431043833218636
Position 436: 0.0007113158302409521
Position 1467: 0.0005790039003310154
Position 789: 0.0003075167561763812
Position 2730: 0.0002756741799132586
Position 479: 0.00020138679711647915
Position 2998: 0.0001821342064877442
Position 238: 0.0001674957252619817
Position 477: 0.00014413476857349773
Position 1150: 0.00011821344715276643
Position 439: 0.00010517494127897307
Position 1102: 5.4230911948827056e-05
Position 1794: 4.008286159621183e-05
Position 3319: 3.526238535194735e-05
Position 3315: 3.302768765704513e-05
Position 1765: 3.069028752604608e-05
Position 196: 3.0596279679112284e-05
Position 1810: 2.9595450531715857e-05
Position 1016: 2.6768634097596813e-05
Position 228: 2.509361006169681e-05
Position 2707: 1.8317009968555272e-05
Position 2758: 1.8082594833313296e-05
Position 3351: 1.1499368356528136e-05
Position 2816: 1.0373031100991977e-05
Position 407: 8.335006127847135e-06
Position 1005: 7.839108839538006e-06
Position 491: 7.740837350382726e-06
Position 286: 7.694849814462603e-06
Position 1883: 3.735413877175663e-06
Position 1429: 3.237797110914599e-06
Position 4718: 2.894241437977528e-06
Position 4145: 2.3005387311853933e-06
Position 72: 1.9306840802624924e-06
