Gene = BGLAP
index = 133
Annotated 5SS: [334 630 870]
Annotated 3SS: [ 590  799 1070]
SMsplice 5SS: [334]
SMsplice 3SS: [590]
top_k =  1000
Partition function (log Z): -4.306902463159563

Sorted 5' Splice Sites (High to Low Probability):
Position 334: 0.9974740463495169
Position 630: 0.6239108167528573
Position 870: 0.07142631642920573
Position 917: 0.036992100503497445
Position 591: 0.036353742758765954
Position 624: 0.026092465055878436
Position 967: 0.017206784944300255
Position 829: 0.011899047588277083
Position 986: 0.004428495765260344
Position 961: 0.0014026816002605008
Position 152: 0.0012386548043815183
Position 1114: 0.001188967565077531
Position 678: 0.000528392690529181
Position 855: 0.0004794106124979043
Position 193: 0.00028657540051881734
Position 77: 0.00023735266624489354
Position 606: 0.00022610637351984277
Position 1202: 0.000207889268120733
Position 1009: 0.0001964938800456472
Position 564: 0.00015535511541728988
Position 921: 0.0001227410074459072
Position 955: 0.00011688665145277637
Position 1118: 4.364308015023422e-05
Position 1062: 3.0090085180439272e-05
Position 651: 2.4078917499770046e-05
Position 1204: 1.1213540303502386e-05
Position 686: 1.0144341171563871e-05
Position 613: 9.742870479813764e-06
Position 1195: 8.892175433210421e-06
Position 1057: 7.72630894750962e-06
Position 1234: 6.399300619449043e-06
Position 807: 4.299351056411847e-06
Position 805: 3.723452939812346e-06
Position 715: 3.359204617492301e-06
Position 942: 2.039737431038828e-06
Position 832: 2.034872210206548e-06
Position 1007: 2.00946147955459e-06
Position 369: 2.0036203674274802e-06
Position 338: 1.428952688600596e-06
Position 958: 1.2243699613248383e-06
Position 202: 4.6752423707695894e-07
Position 233: 3.6616692088233437e-07
Position 4: 8.370816272366514e-08
Position 427: 2.8624660562443927e-08
Position 451: 2.323258422733979e-09
Position 438: 6.736620774362747e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 590: 0.6566216148205675
Position 799: 0.304521936233813
Position 491: 0.24315521408312496
Position 1167: 0.17975866645789967
Position 727: 0.13650589934090315
Position 1070: 0.0791440324531594
Position 767: 0.056138947723517615
Position 457: 0.05072021225382064
Position 816: 0.029615691232882196
Position 1106: 0.027589588456023523
Position 1295: 0.017595276128964076
Position 1012: 0.012074719497223862
Position 477: 0.01064337785125916
Position 1326: 0.005281659924572805
Position 427: 0.004976591789711354
Position 1250: 0.0037609305264063703
Position 438: 0.0031174251573523226
Position 686: 0.0017810983282512353
Position 813: 0.0017394544936601031
Position 1200: 0.0015095066639044335
Position 1101: 0.0007267277776593881
Position 972: 0.000723826014259816
Position 731: 0.0006264009106794266
Position 1347: 0.0005494180662707692
Position 1078: 0.0005012250959339867
Position 819: 0.00039357170018746004
Position 769: 0.0003498315603138579
Position 246: 0.0003181507972207492
Position 1170: 0.00027959551142742964
Position 493: 0.00017269805533203154
Position 184: 0.00015203911722481042
Position 935: 0.00012460796477694008
Position 938: 0.00012221076657607924
Position 1109: 0.00011867309464239765
Position 243: 0.00010811904045015836
Position 976: 0.00010438472022914295
Position 1234: 9.062356858339612e-05
Position 528: 8.12151138143857e-05
Position 497: 7.54335052396982e-05
Position 1000: 7.474979645614396e-05
Position 1350: 6.327700638882874e-05
Position 1072: 6.13595655458896e-05
Position 572: 5.169509595495341e-05
Position 223: 2.7060521115926366e-05
Position 1352: 2.608792760466392e-05
Position 824: 2.1892998312839567e-05
Position 1113: 1.9515187094337217e-05
Position 1021: 1.7083653944489938e-05
Position 156: 1.4151037702441191e-05
Position 598: 1.3777281547502118e-05
Position 736: 1.2056542032697576e-05
Position 1018: 8.775954369927685e-06
Position 534: 8.174633698197012e-06
Position 329: 6.836577450929592e-06
Position 881: 6.55834144526797e-06
Position 256: 6.527524287733058e-06
Position 499: 6.323959315711591e-06
Position 502: 4.554892145773843e-06
Position 202: 4.1344005134277536e-06
Position 558: 4.063110487191796e-06
Position 357: 3.4134230371703805e-06
Position 537: 2.936078034171379e-06
Position 1016: 1.6890818120225312e-06
Position 189: 1.676281993182775e-06
Position 228: 1.4887402570797133e-06
Position 240: 1.18316421913335e-06
Position 251: 1.100363278837397e-06
Position 543: 8.407169951114703e-07
Position 522: 6.674039916252924e-07
Position 603: 4.590817175815427e-07
Position 264: 2.275854173130861e-07
Position 276: 2.078130129282545e-07
Position 191: 2.0692242276844044e-07
Position 611: 1.4305001078790646e-07
Position 369: 1.419610619373444e-07
Position 618: 1.0584137804109563e-07
Position 274: 9.758424017666015e-08
Position 513: 7.95063249172125e-08
Position 507: 7.487869249283671e-08
Position 509: 7.48432511546641e-08
Position 828: 6.7721122596337e-08
Position 210: 6.766000198383064e-08
Position 613: 5.6884200721624186e-08
Position 233: 2.5699057325380248e-08
Position 623: 2.169907571558407e-08
Position 876: 7.05191629941209e-09
Position 629: 3.7325083185864504e-09
Position 333: 3.2697269447980885e-09
Position 135: 1.638893544764087e-09
Position 837: 1.0689987261948665e-09
Position 124: 7.234486404240047e-10
Position 845: 6.896859751210899e-10
Position 115: 6.138479408833142e-10
Position 389: 4.801181979987598e-10
Position 839: 4.718956686778677e-10
Position 91: 1.307286190996328e-10
Position 385: 1.2738599538791067e-10
Position 382: 2.6546337043891034e-11
Position 380: 2.2261120501086337e-11
Position 338: 1.4950985216743627e-12
Position 832: 8.989117233360616e-13
