Gene = GUCA2A
index = 632
Annotated 5SS: [  81 1316]
Annotated 3SS: [1107 1747]
SMsplice 5SS: [81]
SMsplice 3SS: [1107]
top_k =  1000
Partition function (log Z): -8.54682550575957

Sorted 5' Splice Sites (High to Low Probability):
Position 81: 0.9574813425688251
Position 1316: 0.3262083989812157
Position 1013: 0.046873624798887854
Position 565: 0.04180742345590031
Position 135: 0.013131782635174557
Position 181: 0.00710777231742467
Position 444: 0.003607431523179388
Position 551: 0.002927604423857765
Position 1214: 0.0015120863931603287
Position 1180: 0.0014190846504928197
Position 518: 0.0013840097788080038
Position 1457: 0.0012989240839408596
Position 1348: 0.0008060630257952686
Position 1134: 0.0007791455430876585
Position 1343: 0.000721537719739635
Position 1619: 0.0006582282517074983
Position 1504: 0.000539076231978541
Position 1461: 0.00022746112499617117
Position 1623: 0.00022041432603141624
Position 778: 0.00014331094821486303
Position 1396: 0.0001379311161001134
Position 1799: 8.99793104219119e-05
Position 1629: 8.840422210884827e-05
Position 784: 8.589958382545395e-05
Position 183: 8.526611939984032e-05
Position 939: 6.881634293738818e-05
Position 706: 6.820594191556361e-05
Position 1573: 5.1257520579127956e-05
Position 1138: 3.691033355268405e-05
Position 449: 3.394879058138914e-05
Position 1586: 2.8982154775638545e-05
Position 85: 2.73050272226213e-05
Position 90: 2.0333292957530224e-05
Position 153: 1.741108725620911e-05
Position 332: 1.7012357994235777e-05
Position 140: 1.5082312281924018e-05
Position 901: 1.286224419967302e-05
Position 522: 1.2509511611143117e-05
Position 185: 1.207722776355171e-05
Position 1222: 1.1240731992488146e-05
Position 1775: 5.08720089162385e-06
Position 315: 4.600525655842437e-06
Position 841: 4.275870104979743e-06
Position 334: 3.7920164228171843e-06
Position 1918: 3.371266386994975e-06
Position 975: 3.0679654379435926e-06
Position 480: 3.0118019485243612e-06
Position 224: 2.5705680261854954e-06
Position 276: 2.5633429318450704e-06
Position 965: 2.541654499760426e-06
Position 341: 1.330171484027459e-06
Position 909: 1.2923408893159474e-06
Position 32: 1.1451967017641093e-06
Position 75: 1.0822250559557845e-06
Position 69: 1.0566392560780313e-06
Position 759: 9.677751284229446e-07
Position 911: 9.334756337820053e-07
Position 473: 8.861069277652399e-07
Position 369: 5.461685278501957e-07
Position 127: 4.269031657499201e-07
Position 406: 9.205391294514283e-09
Position 187: 5.050728793507538e-09
Position 92: 4.991173366194379e-09
Position 1492: 9.331891195286253e-11
Position 1238: 2.6450577054364394e-11
Position 577: 1.1437585078327107e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 1107: 0.6049541829905596
Position 1870: 0.2021179141276532
Position 1846: 0.16320998047685661
Position 1241: 0.06020562271005605
Position 965: 0.04692200132796174
Position 193: 0.040896178999668804
Position 1747: 0.03442092495508663
Position 359: 0.0343123740319352
Position 1903: 0.032152105430916476
Position 518: 0.02712165771198607
Position 1900: 0.01639876969164613
Position 831: 0.01572289981475487
Position 891: 0.012395704097833147
Position 1849: 0.011615695941685544
Position 1134: 0.011431998862387948
Position 2005: 0.010315352124071676
Position 1536: 0.007389409334565609
Position 1923: 0.00720065117938043
Position 1138: 0.006965133430369045
Position 560: 0.006950504202606471
Position 419: 0.006324292938135517
Position 907: 0.006065670490245342
Position 1261: 0.00482057006614368
Position 455: 0.004139321804127961
Position 1258: 0.003783074516772965
Position 728: 0.0029361006468748806
Position 809: 0.0028731846070154175
Position 1874: 0.002832384799957747
Position 1438: 0.002789428463876872
Position 528: 0.002713337810611254
Position 504: 0.002453164574139856
Position 1489: 0.0018267617965377508
Position 680: 0.0017556201037976554
Position 1812: 0.0015137962520821342
Position 213: 0.001301254899132909
Position 210: 0.0009711614026868159
Position 636: 0.0006853080093285684
Position 595: 0.000651940243496194
Position 1408: 0.0005147296464864122
Position 1193: 0.0004972429914746489
Position 1749: 0.000453883359160763
Position 261: 0.0004269239301303342
Position 550: 0.00042042061210074646
Position 392: 0.0003739617901495607
Position 640: 0.0003712181796464686
Position 1614: 0.00027891398457052823
Position 1695: 0.00027604467684390246
Position 577: 0.00026592901961335877
Position 1412: 0.00021999563505185985
Position 852: 0.00021915857880119502
Position 485: 0.0002080345927907389
Position 1675: 0.00018176562419328212
Position 1727: 0.00015753929660455146
Position 1281: 0.00015000299926001256
Position 2017: 0.00012555505216829257
Position 732: 0.00012363401257039618
Position 1583: 0.00010960120103836928
Position 224: 9.775823847598585e-05
Position 179: 9.615073286950726e-05
Position 1687: 9.449736004931418e-05
Position 909: 7.786343539039475e-05
Position 1517: 7.599892685334589e-05
Position 1042: 6.376691275549968e-05
Position 1170: 6.35832810485628e-05
Position 443: 6.337957575730497e-05
Position 480: 6.185057218503867e-05
Position 1419: 5.7304972634363694e-05
Position 687: 5.094169452572761e-05
Position 264: 4.981003047035969e-05
Position 1161: 4.635911428292124e-05
Position 1375: 3.949851337765611e-05
Position 1056: 3.576897151894772e-05
Position 1379: 3.261571376251957e-05
Position 1936: 2.9564117849880472e-05
Position 268: 2.7091167410492097e-05
Position 396: 2.6391101556383056e-05
Position 151: 2.1611034589984895e-05
Position 706: 1.8524750068529257e-05
Position 931: 1.67132169608806e-05
Position 307: 1.5088143309364245e-05
Position 935: 1.4705661826152681e-05
Position 612: 1.411816239621559e-05
Position 229: 1.3038762285596454e-05
Position 713: 1.1371072300896195e-05
Position 1503: 1.1296128601065816e-05
Position 2024: 9.679120085338605e-06
Position 1381: 8.309207277796489e-06
Position 421: 8.266627164660505e-06
Position 1622: 8.231572774639256e-06
Position 1178: 8.020484018562908e-06
Position 332: 6.594078080732845e-06
Position 1296: 5.652996846126187e-06
Position 1143: 4.750393138838377e-06
Position 601: 4.385375172327011e-06
Position 153: 4.128527081084706e-06
Position 916: 2.9652436260262763e-06
Position 1164: 2.458581035895636e-06
Position 149: 2.273372655904734e-06
Position 1173: 1.5443538542956082e-06
Position 1146: 1.3821284285500906e-06
Position 406: 1.2342248839331988e-06
Position 1284: 1.0442049822309829e-06
Position 1060: 9.211469484717476e-07
Position 926: 4.245740678199241e-07
Position 739: 3.951024892305246e-07
Position 488: 3.5019150270285945e-07
Position 743: 3.2303392446491584e-07
Position 1269: 3.118157981109902e-07
Position 1299: 2.6740772299874246e-07
Position 288: 5.0576619361112735e-08
Position 1067: 4.1026816881231805e-08
Position 1308: 4.094903614842147e-08
Position 1074: 1.05071196776553e-08
