Gene = SYF2
index = 1365
Annotated 5SS: [  50  390 3496 4376 5052 7492]
Annotated 3SS: [ 281 3369 4257 4960 7392 9061]
SMsplice 5SS: [  50  390 3646 4376 5052 7492]
SMsplice 3SS: [ 281 3340 4257 4960 7392 9061]
top_k =  1000
Partition function (log Z): 15.02956916198384

Sorted 5' Splice Sites (High to Low Probability):
Position 4376: 0.996792857986516
Position 7492: 0.9822674419281544
Position 390: 0.9796286332892261
Position 5052: 0.958626551495368
Position 50: 0.7269164269373402
Position 3646: 0.48148444331697876
Position 3496: 0.4184163338057488
Position 1867: 0.2529479236666614
Position 86: 0.12457760048723682
Position 1863: 0.09241856799413908
Position 4126: 0.0533248310710355
Position 9265: 0.035272998186302806
Position 1596: 0.03165112039284478
Position 5074: 0.02931763902497325
Position 7836: 0.02777343072378695
Position 7249: 0.02176418906924141
Position 8087: 0.01856500272685689
Position 7091: 0.01416334451711359
Position 7738: 0.014143692508836497
Position 117: 0.010104194184071158
Position 7228: 0.00980456509041448
Position 7873: 0.009650754566298535
Position 5145: 0.008261808155185384
Position 3735: 0.005664456510384854
Position 7294: 0.0047530489004916215
Position 750: 0.003364209075390394
Position 8518: 0.002904841672604862
Position 6113: 0.0028671914202901116
Position 1927: 0.0028471088367513133
Position 4744: 0.0025292299239055454
Position 4413: 0.0022225364217046597
Position 20: 0.0021936056938008453
Position 3265: 0.002075743692913321
Position 4565: 0.002030813838840683
Position 1455: 0.0017870590470725096
Position 6267: 0.0016445703687939753
Position 6461: 0.00118711653691156
Position 7275: 0.0011687061419982934
Position 2844: 0.0011243833143721727
Position 133: 0.0011223982801015899
Position 8409: 0.0010737904822819885
Position 3312: 0.0009387212456414459
Position 4799: 0.0008719795797792081
Position 3928: 0.0008121973195612583
Position 2644: 0.0008019878439915394
Position 5769: 0.0007594679282251026
Position 6116: 0.000708613351717156
Position 7496: 0.0006906373136356597
Position 4506: 0.0006744792210808555
Position 7718: 0.0006663910769252871
Position 7817: 0.0006441598200260296
Position 5085: 0.0006351655103773685
Position 5252: 0.0006144308554025619
Position 3193: 0.0005714553280118125
Position 1487: 0.0005187789451498898
Position 1004: 0.0005139438993327602
Position 5093: 0.0004704457529608662
Position 4676: 0.0004488530933667597
Position 8743: 0.00044305284406924883
Position 1377: 0.00042743009736784265
Position 2015: 0.00041053011223374426
Position 529: 0.00040761266510536544
Position 7288: 0.0003967741110614835
Position 8977: 0.00038413662536002904
Position 7661: 0.0003690622437914645
Position 5095: 0.0003583710148251178
Position 170: 0.00035817751722648305
Position 82: 0.0003309454667632597
Position 177: 0.00030574085437018813
Position 282: 0.00029923810414118397
Position 5473: 0.0002959532828275242
Position 7521: 0.00029426100569876257
Position 6556: 0.00029419273407672863
Position 1813: 0.00028967329560718793
Position 3521: 0.00028957940630281365
Position 1823: 0.0002734750920208249
Position 5097: 0.00027102787642405585
Position 7503: 0.00027019097005976506
Position 948: 0.0002551068607432557
Position 2314: 0.0002516312718059961
