Gene = HNRNPCL2
index = 660
Annotated 5SS: [62]
Annotated 3SS: [272]
SMsplice 5SS: [62]
SMsplice 3SS: [272]
top_k =  1000
Partition function (log Z): -6.520902521763562

Sorted 5' Splice Sites (High to Low Probability):
Position 62: 0.9699059582332753
Position 570: 0.01635605558672222
Position 79: 0.014955488581057013
Position 123: 0.011873238480019935
Position 503: 0.0043469249554702796
Position 375: 0.003700385161793045
Position 29: 0.00251770172055315
Position 765: 0.0014589975515346477
Position 740: 0.0004317657862327091
Position 493: 0.00022919460542697957
Position 362: 0.00022406553006059174
Position 95: 0.00012929421166576094
Position 348: 9.608332137127759e-05
Position 105: 7.408521476883198e-05
Position 129: 2.9541642651922936e-05
Position 1090: 1.650553882969216e-05
Position 822: 1.5899670886291804e-05
Position 113: 1.1891132531241756e-05
Position 550: 1.1526976655612862e-05
Position 507: 1.0296164441297492e-05
Position 1096: 9.412752093398526e-06
Position 66: 9.034121015892206e-06
Position 688: 5.358222723002685e-06
Position 161: 3.835242428288311e-06
Position 595: 2.07208798560419e-06
Position 505: 1.9897746746082436e-06
Position 1159: 7.657705397089717e-07
Position 721: 4.827328103876527e-07
Position 535: 4.4240967577670543e-07
Position 317: 1.710357781444181e-08
Position 295: 1.2974070410821483e-08
Position 229: 1.2963098718028987e-08
Position 466: 1.0387629863176347e-08
Position 532: 6.161033130860099e-09
Position 243: 4.379281237103699e-09
Position 827: 3.2882685537797487e-09
Position 841: 1.4791396172548525e-09
Position 616: 1.167136056159541e-09
Position 6: 7.568891236788761e-10
Position 280: 5.830014736034296e-10
Position 249: 4.722349968475175e-10
Position 652: 4.11147772777485e-10
Position 246: 3.759539978924731e-10
Position 417: 2.1627339606513736e-10
Position 226: 1.9898484712030443e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 272: 0.9756217470060513
Position 712: 0.018981997577431076
Position 874: 0.010170044326212397
Position 287: 0.006168134291835217
Position 658: 0.004050496964341674
Position 739: 0.002155107021624038
Position 655: 0.0014557945892644468
Position 757: 0.0011323201166718332
Position 365: 0.0009649799648402131
Position 603: 0.0007601585737910068
Position 433: 0.0007574010403833378
Position 891: 0.0006052031837060185
Position 1266: 0.000406274421264772
Position 540: 0.0003391683315211167
Position 1008: 0.00027560680369416923
Position 1234: 0.00026801184313782845
Position 477: 0.00023069816742804297
Position 461: 0.00018374906125867357
Position 901: 0.00017735569423066365
Position 942: 0.00017336841104982194
Position 996: 0.0001527622924622751
Position 687: 0.00013437118103389858
Position 630: 0.00010290881397361969
Position 1239: 9.454863428415108e-05
Position 1071: 8.43471074317872e-05
Position 342: 8.35647271385742e-05
Position 694: 7.72896713961374e-05
Position 683: 7.209885628817515e-05
Position 196: 6.93413578045405e-05
Position 966: 6.275138961383419e-05
Position 827: 5.4175978922953456e-05
Position 1029: 5.397403657826388e-05
Position 714: 5.121018602961692e-05
Position 1077: 4.233155046271894e-05
Position 633: 3.95911023051908e-05
Position 300: 3.6883368065430374e-05
Position 1186: 3.504715780904853e-05
Position 570: 3.087786293431428e-05
Position 1189: 2.7269063545139856e-05
Position 917: 2.58709217367412e-05
Position 348: 2.2572959408154627e-05
Position 1005: 2.2183927071959674e-05
Position 149: 1.7743193522638787e-05
Position 1251: 1.4644046386969387e-05
Position 730: 1.3911141118510486e-05
Position 926: 1.3862075336775532e-05
Position 762: 1.3469865579856613e-05
Position 1020: 1.2958499391041068e-05
Position 975: 9.096737330440909e-06
Position 835: 7.423085919440283e-06
Position 951: 6.619069884807626e-06
Position 302: 5.412610147204202e-06
Position 555: 5.023745569413108e-06
Position 1170: 4.729080055229959e-06
Position 1164: 4.665030859353406e-06
Position 105: 4.405004262396609e-06
Position 378: 4.294612391473368e-06
Position 375: 4.245132451084133e-06
Position 1147: 3.9289243741649185e-06
Position 1143: 3.5868462949735535e-06
Position 1343: 3.5585110521096245e-06
Position 721: 3.531420011079589e-06
Position 308: 3.2736214180472207e-06
Position 1203: 2.4550297914493924e-06
Position 129: 1.9309777417723795e-06
Position 134: 1.4807226721104225e-06
Position 1279: 1.4022137530634867e-06
Position 982: 1.3383686590814732e-06
Position 1336: 1.0477177506990393e-06
Position 1323: 8.849514027387128e-07
Position 1291: 5.731784276082984e-07
Position 1095: 5.421662306663151e-07
Position 944: 5.301898570448379e-07
Position 352: 5.280770429994321e-07
Position 671: 4.886978894849978e-07
Position 1033: 3.9703010774865803e-07
Position 1079: 3.7387130644859185e-07
Position 1200: 3.064352688682022e-07
Position 661: 6.944184582090708e-08
Position 663: 3.117567406449956e-08
Position 387: 8.682008413173173e-09
Position 109: 2.0916685222560604e-09
Position 381: 1.4173270773107415e-09
Position 118: 1.2467939189971857e-09
Position 314: 6.232914387403154e-10
Position 83: 1.7134814009148833e-12
