Gene = MECR
index = 827
Annotated 5SS: [  202 14345 14928 24171 27802 28990 30417 34735 34992]
Annotated 3SS: [14246 14795 24026 27698 28886 30342 34673 34918 36752]
SMsplice 5SS: [  202   623 10099 14345 14928 24171 27802 28990 29559 30417 34992]
SMsplice 3SS: [  525  9989 14246 14795 24026 27698 28886 29413 30342 34918 36752]
top_k =  1000
Partition function (log Z): 5.5279529522221855

Sorted 5' Splice Sites (High to Low Probability):
Position 27802: 0.9835329467743267
Position 24171: 0.9736061091726779
Position 28990: 0.946938457099971
Position 34992: 0.9046608492193922
Position 30417: 0.88165720989531
Position 14345: 0.8813364652883329
Position 10099: 0.7773406060986601
Position 14928: 0.7689029030273763
Position 623: 0.7475183937531726
Position 29559: 0.5922646886578543
Position 17728: 0.5877930335022106
Position 7793: 0.5049737462420557
Position 202: 0.45091138461178476
Position 21179: 0.4313938621391693
Position 35720: 0.38930488823505377
Position 9858: 0.37433464731097826
Position 8090: 0.33254353118741553
Position 578: 0.23356490598364474
Position 371: 0.22940398271429982
Position 345: 0.22248775094412815
Position 13237: 0.1975674094437461
Position 24892: 0.1862781138924083
Position 18802: 0.1596802346333288
Position 10095: 0.13324857638866902
Position 6696: 0.13058602082040724
Position 21274: 0.12455661634931321
Position 34735: 0.10865642462723085
Position 30523: 0.10274455735698107
Position 27208: 0.09184406247483144
Position 29848: 0.09057719514689652
Position 6257: 0.08974692065632947
Position 8362: 0.08700347401285566
Position 32723: 0.08597688001614597
Position 33136: 0.08322577153618031
Position 28315: 0.07344286139744752
Position 30177: 0.06907504410824404
Position 14674: 0.06805534840800635
Position 31874: 0.0664567163059859
Position 6237: 0.06444119127588764
Position 13326: 0.06283389442044325
Position 13291: 0.060871243643425575
Position 31900: 0.05481268309516058
Position 21715: 0.053823828445106386
Position 33684: 0.049061921916345
Position 24636: 0.040808911953073776
Position 5441: 0.03428135195284307
Position 5510: 0.033578723909090266
Position 6050: 0.031665712078503196
Position 5087: 0.031201638206136435
Position 194: 0.02725940586993872
Position 26329: 0.026966322708637833
Position 15021: 0.02691940303045822
Position 3223: 0.024990810878149892
Position 32734: 0.024600635121276054
Position 5567: 0.024395457663433245
Position 349: 0.02411300748000435
Position 6247: 0.02390266427882093
Position 4529: 0.023621054436432937
Position 402: 0.023376378985380013
Position 32971: 0.023349757141478578
Position 21187: 0.023204206537030564
Position 33833: 0.021915700130371845
Position 29330: 0.0196644174456343
Position 36830: 0.01815685085290248
Position 30057: 0.018095876061323575
Position 28243: 0.01751396344594174
Position 5305: 0.016209601609497103
Position 28526: 0.015306919997315871
Position 32730: 0.015266349478234126
Position 19780: 0.014350737318429799
Position 31815: 0.013307302266819252
Position 33063: 0.01259140913823088
Position 14546: 0.01250260241752657
Position 19809: 0.01220267842669561
Position 20445: 0.01099818308551782
Position 18998: 0.010929037977113776
Position 14864: 0.01056214946105811
Position 7876: 0.00968097224940948
Position 17995: 0.009576715323347107
