Gene = SRA1
index = 1328
Annotated 5SS: [ 883 1164 6329 7250]
Annotated 3SS: [1037 6125 7140 7398]
SMsplice 5SS: [  49  883 1164 7250]
SMsplice 3SS: [ 717 1037 7140 7398]
top_k =  1000
Partition function (log Z): -3.798981163167695

Sorted 5' Splice Sites (High to Low Probability):
Position 1164: 0.9850604180172203
Position 7250: 0.886768296777716
Position 883: 0.7767940818350759
Position 49: 0.6399760651338096
Position 7470: 0.38940755599409305
Position 6329: 0.29685096613141143
Position 869: 0.11974518562908809
Position 7485: 0.10837863932707428
Position 1701: 0.07556786095203308
Position 6183: 0.05633569883107965
Position 550: 0.05503927706649137
Position 7256: 0.04145098884282944
Position 4123: 0.034096286613774555
Position 374: 0.033793218760156236
Position 2391: 0.03257644787970841
Position 2789: 0.029888492375657758
Position 4188: 0.028093275849549224
Position 1744: 0.02699778702736606
Position 803: 0.009588557678413297
Position 462: 0.006516428071780908
Position 3845: 0.005941430483309423
Position 243: 0.005383251803191325
Position 7474: 0.00500569378243454
Position 1341: 0.003827244469338052
Position 260: 0.0037770319656320705
Position 94: 0.0033951229670150123
Position 7315: 0.0033546279361588664
Position 6350: 0.0030211030170432898
Position 325: 0.0028427447050548907
Position 2471: 0.0028265214151233435
Position 7268: 0.002716454714414988
Position 2829: 0.0024552239981495594
Position 160: 0.0022139731548153304
Position 1216: 0.001457464530837366
Position 913: 0.001261561569697572
Position 7936: 0.0010352389183300955
Position 456: 0.0009170883565946282
Position 1726: 0.0008654594267357167
Position 7813: 0.0008299914041485268
Position 126: 0.0007612736135976522
Position 548: 0.0005667184076709372
Position 1515: 0.0005479951036522523
Position 483: 0.0005323884696591712
Position 53: 0.0005120935645071254
Position 1309: 0.0004399907676760754
Position 7219: 0.0004351593558142682
Position 7147: 0.00043480136160665327
Position 4004: 0.00040552203763903215
Position 3772: 0.00037301525881401734
Position 873: 0.0003566375569634073
Position 320: 0.00033501648165856844
Position 7802: 0.0003304736258505187
Position 354: 0.000327806142280363
Position 477: 0.00028169377647870465
Position 523: 0.0002727316857304267
Position 1731: 0.00023419516765253113
Position 1291: 0.00023195970625675602
Position 640: 0.00018743159983758507
Position 554: 0.00017670551385047284
Position 351: 0.00015597291516816382
Position 4479: 0.00013039400523894219
Position 1752: 0.0001283225157693336
Position 5240: 0.00012499115584610197
Position 359: 0.00012265846869521154
Position 113: 0.0001131128339840096
Position 278: 9.374060598867534e-05
Position 7243: 8.244873130905054e-05
Position 162: 7.946623706078028e-05
Position 492: 6.682872243924996e-05
Position 3233: 6.229157463049959e-05
Position 34: 5.1455341015321085e-05
Position 6869: 4.7895234173363536e-05
Position 647: 4.513017557454986e-05
Position 5464: 4.477269183321088e-05
Position 5918: 4.405847156363174e-05
Position 4784: 4.3890606978427055e-05
Position 2042: 3.7096286431144196e-05
Position 1133: 3.638194807949801e-05
Position 665: 3.230769662071765e-05
Position 517: 2.8063974389767594e-05
Position 130: 2.766095899835386e-05
Position 941: 2.5780118625456403e-05
Position 92: 2.5317370323830485e-05
Position 3620: 2.26081927333958e-05
Position 730: 2.131683615484676e-05
Position 117: 2.0325061815140093e-05
Position 954: 1.9290061863576985e-05
Position 785: 1.705935220905042e-05
Position 852: 9.446321187193945e-06
Position 1168: 9.141668930073579e-06
Position 916: 8.93701248708297e-06
Position 254: 6.6446653496267515e-06
Position 1352: 5.75012374658645e-06
Position 1354: 5.0634602689137836e-06
Position 1707: 4.355528183595227e-06
Position 103: 3.3238029253686615e-06
Position 1435: 3.2745283089357143e-06
Position 140: 2.8854842227155822e-06
Position 213: 2.799657828294737e-06
Position 206: 2.6013276655897732e-06
Position 14: 2.030900390030602e-06
Position 1214: 2.024577519918405e-06
Position 362: 1.7143717976026581e-06
Position 5559: 1.0376936295212627e-06
Position 787: 9.172012810673958e-07
Position 2440: 6.443335385501508e-07
Position 1474: 6.255747394267078e-07
Position 111: 4.5975264229818596e-07
Position 708: 3.8761445265023465e-07
Position 1297: 3.0591580053544885e-07
Position 4279: 2.3422964548116893e-07
Position 1528: 2.2651745436658251e-07
Position 1620: 1.4112431070034008e-07
Position 7415: 1.2587877888265722e-07
Position 1791: 1.0770084248725733e-07
Position 4213: 3.276312362877373e-08
Position 3273: 2.6958184548557944e-08
Position 1179: 5.022879196462172e-09
Position 301: 4.680462480203692e-10
Position 105: 4.4475350739669667e-10
Position 143: 2.770646173275269e-11
