Gene = LCE1D
index = 766
Annotated 5SS: [21]
Annotated 3SS: [1021]
SMsplice 5SS: [21]
SMsplice 3SS: [1021]
top_k =  1000
Partition function (log Z): -8.52998504272439

Sorted 5' Splice Sites (High to Low Probability):
Position 21: 0.8152076518334583
Position 512: 0.34096525308164155
Position 248: 0.1263239913988248
Position 607: 0.014560886858207663
Position 952: 0.013131038071841156
Position 509: 0.0060122883696049545
Position 551: 0.0028513489042824975
Position 516: 0.002846109495524691
Position 104: 0.0019433895210121206
Position 399: 0.0016168265004287154
Position 889: 0.0015734444972012765
Position 662: 0.0012048705518157195
Position 424: 0.0011274423849798763
Position 563: 0.0008990811094426111
Position 557: 0.0005729776862282871
Position 1088: 0.00043414754360033734
Position 1100: 0.00027021247493930374
Position 147: 0.00025064007208978043
Position 456: 0.00022082641976782058
Position 1112: 0.00010979473443649003
Position 111: 6.707071217127243e-05
Position 978: 4.976972951330469e-05
Position 206: 4.5759929250455636e-05
Position 1167: 2.8636118583378663e-05
Position 97: 2.683025316776283e-05
Position 262: 1.669575869587456e-05
Position 1283: 1.5871385359352482e-05
Position 252: 9.678341406096554e-06
Position 12: 8.764069549185414e-06
Position 524: 5.76289833108054e-06
Position 199: 1.1407518767313588e-06
Position 3: 9.184214079867863e-07
Position 94: 3.9593021655206904e-07
Position 341: 1.6234806629228867e-07
Position 371: 8.769331752288073e-08
Position 254: 1.521434470028369e-08
Position 775: 2.169802754411838e-09
Position 624: 1.1607255668534923e-09
Position 569: 1.0944003018378042e-09
Position 587: 1.0825636600981657e-09
Position 627: 1.063407262006737e-09
Position 435: 9.460172666238735e-10
Position 834: 3.8342786947304776e-10
Position 485: 9.78533573152653e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 1021: 0.6286072894773926
Position 302: 0.2380908048005651
Position 309: 0.12064120201552887
Position 222: 0.08609668199682506
Position 1165: 0.05371460002147834
Position 607: 0.0372597218425146
Position 355: 0.025958331438690686
Position 451: 0.025507416694300115
Position 839: 0.022745445797011925
Position 1237: 0.012567461918988538
Position 808: 0.010807199170332533
Position 1282: 0.007716358505640044
Position 1321: 0.006976391603671434
Position 1297: 0.006461428342368662
Position 869: 0.006030684278116079
Position 1139: 0.005091403303247232
Position 1273: 0.0038694294092972243
Position 224: 0.00340411644154431
Position 168: 0.0027856567019109006
Position 852: 0.002423060888718515
Position 260: 0.0023739200626056644
Position 499: 0.002205724573630464
Position 1195: 0.0020798649525649187
Position 460: 0.0017320553697489065
Position 627: 0.0016471197033282071
Position 1342: 0.0014230614773846184
Position 1058: 0.0013942622377463953
Position 1055: 0.001320593522375802
Position 749: 0.0011630930849591274
Position 1149: 0.0009909811166145038
Position 816: 0.0008181240784432935
Position 624: 0.0007217310358197767
Position 611: 0.000705304766108869
Position 1304: 0.0006802993937999923
Position 883: 0.0006182047676818902
Position 281: 0.0005700569064881158
Position 1171: 0.0005668121380045349
Position 330: 0.0005361939301522594
Position 360: 0.00048054302844274105
Position 845: 0.0003986573782120422
Position 662: 0.00034655417408139215
Position 1363: 0.00027149956556789777
Position 1043: 0.00026516274450779856
Position 1360: 0.0002471958614227047
Position 101: 0.0002320257878359037
Position 1088: 0.00019832764469297163
Position 276: 0.0001758888776648343
Position 1325: 0.00017160239965843097
Position 951: 0.0001515004852730043
Position 312: 0.0001452607963716832
Position 949: 0.00013057484882825093
Position 689: 0.00010882989176836117
Position 471: 7.917284615056203e-05
Position 388: 6.469751719917373e-05
Position 430: 5.8245465058010773e-05
Position 508: 5.74041185433563e-05
Position 929: 5.314276004648291e-05
Position 759: 4.9487159316278e-05
Position 144: 4.8646455640317565e-05
Position 969: 4.003839989581876e-05
Position 635: 3.952609231259113e-05
Position 165: 3.6917809012198066e-05
Position 975: 3.537323666309594e-05
Position 247: 3.13766086749457e-05
Position 87: 2.945663028181474e-05
Position 109: 2.0757282744581015e-05
Position 901: 2.0647602374572143e-05
Position 1112: 2.0113489845203525e-05
Position 172: 1.9236098208821914e-05
Position 1100: 1.5229347421969746e-05
Position 262: 1.5025009768416439e-05
Position 317: 1.1637147967780294e-05
Position 103: 8.711531661641199e-06
Position 1390: 4.620907997755444e-06
Position 477: 1.8683839384146637e-06
Position 178: 1.8552527586856876e-06
Position 116: 1.7078451239236387e-06
Position 186: 1.693645056202333e-06
Position 128: 1.571055961118669e-06
Position 283: 1.4510979159335177e-06
Position 111: 1.2138167050960176e-06
Position 766: 6.89182151954599e-07
Position 505: 5.747688710907787e-07
Position 576: 4.1407735318388587e-07
Position 368: 3.9045382029073987e-07
Position 180: 3.8391153271659215e-07
Position 893: 3.5331582483877303e-07
Position 547: 2.2120825726276252e-07
Position 121: 1.7226566546718586e-07
Position 188: 1.1580258185951174e-08
Position 524: 1.0982269125305305e-08
Position 587: 1.0192895800392592e-08
Position 555: 9.138649894581544e-09
Position 569: 4.577974934155905e-09
Position 563: 4.106689640760353e-09
Position 542: 3.4361091209009943e-09
Position 72: 2.8331068189675393e-13
Position 66: 2.9160524522666665e-15
