Gene = SAPCD2
index = 1224
Annotated 5SS: [ 699 4327 5067 5511 5726]
Annotated 3SS: [4213 4919 5402 5608 5800]
SMsplice 5SS: [ 699  885 4327 4847 5067 5511 5726]
SMsplice 3SS: [ 794 4213 4661 4919 5402 5608 5800]
top_k =  1000
Partition function (log Z): 5.678534544149104

Sorted 5' Splice Sites (High to Low Probability):
Position 5726: 0.995241273024359
Position 5511: 0.9925372227417282
Position 4327: 0.9394890204798796
Position 5067: 0.9355667393420604
Position 699: 0.8768924407584132
Position 885: 0.5743452716425043
Position 4847: 0.5224101701234514
Position 2508: 0.12572701368972086
Position 4772: 0.08171439316490027
Position 3979: 0.06465226713397874
Position 1711: 0.05215300450827684
Position 7047: 0.02111506487614718
Position 4780: 0.018624639567730108
Position 6449: 0.012485269809177113
Position 2616: 0.011953998067827622
Position 2294: 0.009871965292097636
Position 7051: 0.009755900913617674
Position 4758: 0.00797024023316322
Position 2720: 0.00788264758227054
Position 2716: 0.00787572586038657
Position 5984: 0.007396339204445246
Position 7089: 0.0073664081301866025
Position 3886: 0.0068582163347108566
Position 350: 0.006366342186919694
Position 3913: 0.005487332344948908
Position 5454: 0.003481209704670246
Position 1662: 0.0033521838637165687
Position 853: 0.0031129258312697786
Position 4125: 0.0030322563056371806
Position 4776: 0.0025520350021763756
Position 527: 0.0020125584093943012
Position 4184: 0.0020009791922858313
Position 5240: 0.0015880581947640244
Position 2745: 0.00146889942093881
Position 6555: 0.0014397169383659034
Position 286: 0.0012861138117642621
Position 6398: 0.0011979938427703453
Position 2591: 0.0010999725634848578
Position 2541: 0.0010949180851055201
Position 4871: 0.0010416418907278954
Position 967: 0.001022468184678059
Position 2155: 0.0010189763884439274
Position 1730: 0.0008928726555845813
Position 4033: 0.0008208923727510886
Position 4833: 0.0008127419823459157
Position 99: 0.0007839083724922768
Position 1751: 0.000778838812611461
Position 329: 0.0007751586071901341
Position 5944: 0.0007624528693593367
Position 6220: 0.0007522787556433915
Position 3981: 0.0007214578206459067
Position 5000: 0.0006282167537284464
Position 3243: 0.0005896444257887552
Position 1821: 0.0005771200249012902
Position 2940: 0.0004602715801479645
Position 5517: 0.0004132540992805176
Position 499: 0.00038440114713321293
