Gene = MGST3
index = 842
Annotated 5SS: [  433 19104 20227 21175 23491]
Annotated 3SS: [18979 20152 21116 23417 24506]
SMsplice 5SS: [  104  4962 15872 19104 20227 21175]
SMsplice 3SS: [ 4865 15707 18979 20152 21116 24506]
top_k =  1000
Partition function (log Z): -0.23471672229134288

Sorted 5' Splice Sites (High to Low Probability):
Position 19104: 0.9896751220208637
Position 20227: 0.9732409463163608
Position 21175: 0.8725097372559548
Position 4962: 0.85821878049663
Position 104: 0.6009489200983559
Position 433: 0.5600727183225988
Position 15872: 0.480998754269061
Position 15793: 0.3917587376160047
Position 1282: 0.3554843620581129
Position 16157: 0.31960900677490856
Position 9757: 0.3185890962468201
Position 21445: 0.2954715616781445
Position 14178: 0.2832196698498122
Position 17440: 0.2644769927689159
Position 3813: 0.17447496876975113
Position 23491: 0.14624585671740903
Position 4576: 0.12736907465672972
Position 1300: 0.10375850609877495
Position 895: 0.09384732868822729
Position 19501: 0.08017400367211357
Position 4620: 0.07567557472788537
Position 2268: 0.06253535482510325
Position 21656: 0.056097873808072525
Position 1549: 0.05383550184411518
Position 1473: 0.053217490299897925
Position 19609: 0.04177991504286308
Position 8207: 0.03935995487782666
Position 1477: 0.030507273790448746
Position 8389: 0.029861301014103253
Position 9142: 0.020416686196413958
Position 20695: 0.01943112656826364
Position 19791: 0.01894774524528533
Position 11375: 0.018390691514027224
Position 1414: 0.017141825656506196
Position 4119: 0.016469037884737005
Position 9270: 0.016459972118228552
Position 16200: 0.01638737072643952
Position 20046: 0.01638516356858468
Position 939: 0.015692962304953442
Position 21532: 0.015022594746844713
Position 916: 0.014254202670325167
Position 20766: 0.013415771644661689
Position 20267: 0.012680402043475567
Position 7647: 0.011858826876281167
Position 3565: 0.010907475938415567
Position 20771: 0.010549264630349624
Position 8365: 0.009922409389957752
Position 1195: 0.00935117370773998
Position 21867: 0.008185470914365113
Position 2046: 0.0064237807500858585
Position 424: 0.006338369233436639
Position 4957: 0.005638348067840701
Position 10759: 0.00505585863202343
Position 8405: 0.004784057116657091
Position 20681: 0.004577933830297944
Position 20084: 0.00450976677200816
Position 21403: 0.0042880064218530686
Position 20812: 0.00409340770321164
Position 22278: 0.004086241954907436
Position 11157: 0.003517784899775257
Position 15813: 0.003152192267766445
Position 5694: 0.0029708412425318784
Position 20550: 0.0024006697612587594
Position 9780: 0.002396093654291899
Position 23369: 0.002292203791518454
Position 19829: 0.0022278304036121668
Position 20602: 0.002194088786982969
Position 9935: 0.002073074060423371
Position 24194: 0.0019892900582535954
Position 11400: 0.0018487268726298236
Position 21688: 0.0016340810782374475
Position 20372: 0.0014316310075771345
Position 1016: 0.001373522783595423
Position 23208: 0.0013320154299922445
Position 21191: 0.0012435834353395222
Position 21935: 0.0011233731712793832
Position 22925: 0.0011024901022527941
Position 870: 0.0010446051691474637
Position 24258: 0.0007926076580611291
Position 24560: 0.0007775861145426166
Position 317: 0.0006615314301565429
Position 20607: 0.0005810519250928494
Position 3467: 0.0005807528362838209
Position 572: 0.0005518885262805483
Position 3450: 0.0005292279958779662
Position 23151: 0.0005061024060573217
Position 22294: 0.00045359191394268487
Position 702: 0.00042547322493658287
Position 1556: 0.0003657114206211752
Position 21629: 0.00032394811815124065
Position 45: 0.000320274537302914
Position 2650: 0.00028277359063837604
Position 20976: 0.0002722288778043491
Position 852: 0.00025129816605552974
Position 20631: 0.0002495256733058976
Position 123: 0.00023052142776961565
Position 24597: 0.00022941862481249507
Position 24602: 0.00020463295484256355
Position 1080: 0.00018638368234482052
Position 2238: 0.00014121285613126846
Position 186: 0.00012619574585852897
Position 20330: 0.00012180483094023948
Position 1064: 0.00012006729989851927
Position 20233: 0.00011045510587727571
Position 21210: 0.00010922239753512734
Position 888: 0.00010357517683518039
Position 6719: 9.639643651808403e-05
Position 1434: 7.736832345889295e-05
Position 1327: 7.484201824368506e-05
