Gene = GCC1
index = 579
Annotated 5SS: [1457]
Annotated 3SS: [2297]
SMsplice 5SS: [ 759 2133]
SMsplice 3SS: [2000 2297]
top_k =  1000
Partition function (log Z): -6.21299994482788

Sorted 5' Splice Sites (High to Low Probability):
Position 3875: 0.7318228418357466
Position 2133: 0.6435335330361523
Position 759: 0.5181439476861797
Position 1760: 0.3215642980350769
Position 2619: 0.2777295453168148
Position 1457: 0.2557741591041054
Position 2510: 0.22001094490662093
Position 2337: 0.17024399964981557
Position 2747: 0.14271179630801292
Position 1895: 0.13081649717453914
Position 2598: 0.10886848304842979
Position 2797: 0.0907888024592803
Position 596: 0.06978778711257723
Position 4130: 0.060540129512406074
Position 1778: 0.059627016963596534
Position 605: 0.044479712196866486
Position 303: 0.042574319773793876
Position 876: 0.04174488502604625
Position 539: 0.03144198253586202
Position 2085: 0.023865600665993313
Position 307: 0.02383941194439229
Position 283: 0.023535635809077082
Position 1225: 0.017523818604213537
Position 3352: 0.015953364866286044
Position 128: 0.0158086003391549
Position 3841: 0.015481024767768308
Position 636: 0.01514476896026384
Position 2382: 0.01469429345111987
Position 169: 0.01427283277136382
Position 182: 0.011237847522009016
Position 2766: 0.010667230061376801
Position 3306: 0.007958793469783077
Position 207: 0.007363749811236865
Position 1661: 0.005090787641690362
Position 1314: 0.005085922262665101
Position 3129: 0.004839157092349092
Position 4577: 0.004337950152221365
Position 62: 0.0035357883026069323
Position 298: 0.003143227313808733
Position 4260: 0.0023346646596843013
Position 1167: 0.0022611468268855647
Position 1319: 0.0018955516182667161
Position 2855: 0.001662731331279421
Position 79: 0.0015013848402981261
Position 1753: 0.00141882041431726
Position 829: 0.0013815860258279103
Position 1500: 0.0012542025432936395
Position 3360: 0.001204561835189256
Position 4349: 0.0010878136573127934
Position 3825: 0.0010385252085497831
Position 601: 0.0009940608299809988
Position 259: 0.0008491180357840619
Position 1828: 0.0008122487918539472
Position 682: 0.0007194298542929748
Position 825: 0.0006422710187718405
Position 4438: 0.0005914114840576882
Position 3300: 0.0005340549382596395
Position 884: 0.000495222688194304
Position 623: 0.0004916720513692071
Position 2972: 0.0004602092992235895
Position 1984: 0.00044840247105747664
Position 4831: 0.0004312997621393395
Position 433: 0.00031272664350613167
Position 309: 0.0003101674272123555
Position 400: 0.00023152680042924076
Position 1906: 0.00022750056153605217
Position 1335: 0.0002108234556417937
Position 842: 0.0002010111606782677
Position 190: 0.00018626810487362206
Position 412: 0.00018165910434056945
Position 2029: 0.00017254354196340023
Position 770: 0.00016222991381368616
Position 1026: 0.00012615516491438017
Position 263: 9.393672880114422e-05
Position 811: 6.999549229404781e-05
Position 2048: 6.824459888719059e-05
Position 961: 5.825681706982034e-05
Position 2097: 5.5516189292680185e-05
Position 855: 5.349895056527543e-05
Position 4618: 5.1800143704830633e-05
Position 42: 4.857954668702184e-05
Position 31: 4.2015159603124225e-05
Position 536: 3.19093247637468e-05
Position 514: 2.6175274542370367e-05
Position 188: 2.3601119106309725e-05
Position 39: 2.206114283834664e-05
Position 3817: 1.2276160603015196e-05
Position 1748: 1.2061840809575661e-05
Position 1774: 1.1989705866109303e-05
Position 2644: 4.518314716479173e-06
Position 3258: 2.0395635311973158e-06
Position 340: 1.1235613340871771e-06
Position 14: 9.682461673223337e-07
Position 108: 3.051707336558572e-07
Position 849: 2.9290509734546037e-07
Position 638: 5.617817131240073e-08
Position 271: 1.7991174817340556e-08
Position 763: 1.1609674650359968e-09
Position 837: 8.361971101142037e-12
Position 11: 7.260150192336381e-12
Position 381: 8.600474188721743e-16
Position 362: 1.9427319314937843e-16

Sorted 3' Splice Sites (High to Low Probability):
Position 2297: 0.9096344545531861
Position 3774: 0.823944230187494
Position 2000: 0.5510235151359877
Position 4013: 0.29567128221122346
Position 4508: 0.2502947611520382
Position 1639: 0.23692245702466208
Position 2714: 0.22126114641120034
Position 4380: 0.20627416031831564
Position 1535: 0.1424290510045749
Position 1791: 0.09609559740898932
Position 2121: 0.03326062881014959
Position 696: 0.03288856555890924
Position 1120: 0.03063518926264182
Position 1297: 0.02988609558000411
Position 2052: 0.02893763634546008
Position 4283: 0.025429306813470363
Position 1894: 0.019644832701260623
Position 1957: 0.01797298634664515
Position 3204: 0.0164910133570703
Position 4828: 0.015813474770688653
Position 2243: 0.015789329062763445
Position 1324: 0.014946307688279701
Position 4657: 0.014922827907340539
Position 1123: 0.013781247685262992
