Gene = RP11-511P7.5
index = 1174
Annotated 5SS: [ 172 3343]
Annotated 3SS: [2437 5013]
SMsplice 5SS: [172]
SMsplice 3SS: [2437]
top_k =  1000
Partition function (log Z): -3.632268830073464

Sorted 5' Splice Sites (High to Low Probability):
Position 172: 0.9830668215287308
Position 3343: 0.47545842576964387
Position 2341: 0.35578462506861036
Position 2622: 0.33133554304586965
Position 759: 0.3199372764574532
Position 1949: 0.20964266756354405
Position 3639: 0.09657147468960098
Position 2718: 0.08367910731949314
Position 1588: 0.06494452030593352
Position 1022: 0.047100142106100244
Position 4913: 0.039819835924255385
Position 4868: 0.03147309733639643
Position 4825: 0.02882210555449226
Position 2681: 0.02869757634316107
Position 1108: 0.02860959999346969
Position 4363: 0.023555605955747506
Position 998: 0.021298951607700713
Position 3707: 0.020462214407647474
Position 1646: 0.018049111935648215
Position 1421: 0.015007340984118224
Position 176: 0.011135979528797439
Position 4736: 0.00839640958605331
Position 1298: 0.007897739233826473
Position 2188: 0.00688595466185283
Position 1616: 0.006308207161251468
Position 3121: 0.005743141429923835
Position 2521: 0.00485437848373
Position 974: 0.004502374151073404
Position 4836: 0.004267534801529293
Position 434: 0.003143996307565098
Position 4254: 0.003140320897872155
Position 1782: 0.0029827553196873414
Position 1143: 0.002682018272926792
Position 2325: 0.002481825674830939
Position 3834: 0.0024158314333467966
Position 3871: 0.0018468965505588296
Position 385: 0.0017687534256558305
Position 1086: 0.001690277311009612
Position 4796: 0.0014973625647917432
Position 1040: 0.001431370052733037
Position 2212: 0.001220986944852036
Position 4392: 0.0011884551107513264
Position 555: 0.0011424040734353367
Position 1197: 0.0010761232889265322
Position 1703: 0.001017409800905199
Position 2444: 0.0009266978303753805
Position 550: 0.0008100695467472927
Position 2588: 0.0007866421511898809
Position 958: 0.0007462231723227936
Position 837: 0.000586466564468252
Position 543: 0.0005661592337542805
Position 2331: 0.0005451337440023267
Position 2495: 0.0005415734648023276
Position 1596: 0.0005058489827513991
Position 1069: 0.0004828698918551841
Position 2047: 0.0003722529592876069
Position 954: 0.00036268499685566713
Position 4849: 0.0003538880258264201
Position 925: 0.00031596049666363465
Position 2672: 0.0003115551090981004
Position 296: 0.0002393567183069289
Position 4402: 0.0001640888848823138
Position 1708: 0.00015381940434948396
Position 211: 0.00012503885606267691
Position 560: 0.00011846794532052341
Position 2670: 9.67054569779948e-05
Position 2138: 9.351451146101567e-05
Position 852: 8.712987014742362e-05
Position 1302: 8.199345700666997e-05
Position 570: 7.320008939678638e-05
Position 1304: 7.183271532452233e-05
Position 2544: 7.178757586181961e-05
Position 1191: 6.846276972920889e-05
Position 1300: 6.118630072028814e-05
Position 1364: 4.9096082242829435e-05
Position 2040: 4.9004132623182503e-05
Position 478: 4.110487265813692e-05
Position 1285: 3.2283438412017467e-05
Position 1793: 2.815468785166905e-05
Position 1919: 2.794489812111054e-05
Position 565: 2.632764913428705e-05
Position 1203: 1.8325824751317762e-05
Position 963: 1.823260179701413e-05
Position 1598: 1.791287933245251e-05
Position 1505: 1.542745039682209e-05
Position 2165: 1.463762968144965e-05
Position 2460: 1.0766422555647971e-05
Position 706: 1.0403485488581625e-05
Position 1802: 1.039776315894681e-05
Position 285: 9.800861268391335e-06
Position 346: 8.73437488247565e-06
Position 763: 8.607135295361019e-06
Position 333: 7.264388981007188e-06
Position 1245: 7.2062698459488824e-06
Position 254: 5.981590604065805e-06
Position 483: 4.110686759911346e-06
Position 659: 3.7560384955474434e-06
Position 546: 2.9142037339794804e-06
Position 1228: 2.6948198214470435e-06
Position 516: 2.5818978219277436e-06
Position 1291: 2.4386865967207388e-06
Position 983: 2.281731211923689e-06
Position 438: 1.7941643858602807e-06
Position 378: 1.6814474634687023e-06
Position 1221: 1.453431815137927e-06
Position 496: 1.4112659010178589e-06
Position 534: 1.409800376157427e-06
Position 1270: 1.333754745672328e-06
Position 452: 9.986405254751732e-07
Position 464: 9.196970867265083e-07
Position 830: 7.529490123358965e-07
Position 217: 6.938085341939236e-07
Position 689: 6.004830550867422e-07
Position 103: 5.557541372855918e-07
Position 309: 5.216441159074018e-07
Position 74: 4.6190118683027545e-07
Position 1215: 3.383369447965516e-07
Position 681: 2.6856215895266347e-07
Position 274: 2.607923857365577e-07
Position 765: 2.3106576703548953e-07
Position 929: 1.754983199332007e-07
Position 472: 1.2567847236791997e-07
Position 6: 8.35283336257884e-08
Position 424: 6.826165431751626e-08
Position 661: 4.668943954582978e-08
Position 611: 3.313667002518383e-08
Position 675: 1.317203760304872e-08
Position 266: 1.123206053674222e-08
Position 813: 7.856444351400992e-12
Position 351: 3.4221244653454816e-12
Position 47: 1.1451523201617016e-14
Position 548: 1.1308468789387398e-16

Sorted 3' Splice Sites (High to Low Probability):
Position 2437: 0.7050841617692186
Position 5013: 0.382288065884808
Position 3214: 0.339631886640082
Position 592: 0.2320384556068428
Position 2081: 0.20341733928758995
Position 1497: 0.15802682664747447
Position 4684: 0.1501541560165909
Position 1826: 0.1385208926019601
Position 4735: 0.09721374236353661
Position 3170: 0.08855562432794195
Position 3426: 0.0804871566205011
Position 3495: 0.07507968262524638
Position 3454: 0.07157056792588179
Position 996: 0.07051884965483855
Position 2129: 0.06844290896347294
Position 922: 0.06217281196313466
Position 1876: 0.0441587381578586
Position 697: 0.04390499252027723
Position 4137: 0.03227775662213543
Position 2257: 0.03176681579870339
Position 514: 0.030996217758028476
Position 3231: 0.027341738431343757
Position 2173: 0.02155161865997335
Position 3627: 0.016344162256142256
Position 4294: 0.013759679908691971
Position 3287: 0.013521763762685567
Position 2562: 0.013215780873095412
Position 2597: 0.009965298912522264
Position 2015: 0.009386861622296691
Position 5019: 0.009221883950265334
Position 295: 0.007688989126175435
Position 2046: 0.006738169534757336
Position 3689: 0.006735535726884048
Position 1913: 0.006115409884558509
Position 2261: 0.005849124278437026
Position 3141: 0.004608424456400321
Position 2821: 0.004162807169168673
Position 1064: 0.003288599720024792
Position 3063: 0.0029266136468452868
Position 650: 0.002923151477639034
Position 3603: 0.002390458620716506
Position 1315: 0.0023409577070635642
Position 531: 0.002040898545983826
Position 3911: 0.0014959324748355346
Position 604: 0.0013797974449017776
Position 2609: 0.0012635225842929732
Position 1800: 0.0012581153718350488
Position 4032: 0.0012519723180729637
Position 344: 0.0011346681180629643
Position 1318: 0.0010139994232168821
Position 2612: 0.000981580091681779
Position 2291: 0.0009795492753777275
Position 2288: 0.0009558251668242134
Position 1781: 0.0008436376164510088
Position 1068: 0.0008052413829404274
Position 4626: 0.0006994579604340085
Position 1708: 0.0005901613963323671
Position 2765: 0.0005859667031759673
Position 3158: 0.000576537131713013
