Gene = LCE1E
index = 767
Annotated 5SS: [150]
Annotated 3SS: [1063]
SMsplice 5SS: [150]
SMsplice 3SS: [1063]
top_k =  1000
Partition function (log Z): -9.039923045076566

Sorted 5' Splice Sites (High to Low Probability):
Position 150: 0.5580002456181781
Position 94: 0.1752267603239605
Position 633: 0.16382905520172275
Position 715: 0.11177820651187542
Position 531: 0.0698808735793366
Position 194: 0.021167886205893306
Position 608: 0.0056737879253809095
Position 163: 0.004202498301233762
Position 61: 0.003349735112837089
Position 528: 0.0018061944727755398
Position 903: 0.0017793603936570974
Position 975: 0.0014449813302504731
Position 946: 0.0010906222160799457
Position 443: 0.000979253790396604
Position 471: 0.0009702323000469124
Position 991: 0.0007793843439198985
Position 577: 0.0005678310114499686
Position 1130: 0.0005441297785098813
Position 1154: 0.00044589937206640674
Position 1142: 0.000416644349724599
Position 1020: 0.0003547708794045143
Position 257: 0.00033172365134991034
Position 688: 0.0003193906573853447
Position 672: 0.00022947160878111092
Position 222: 0.0001978688819945202
Position 1035: 0.00016753572581917425
Position 1303: 0.0001578363706513521
Position 955: 0.00014551467076232255
Position 783: 0.00012492011888024654
Position 836: 8.186659293473147e-05
Position 98: 6.884090546689294e-05
Position 850: 5.166160539965174e-05
Position 650: 5.007026818733323e-05
Position 1005: 4.407885872630454e-05
Position 1337: 4.3675997277419525e-05
Position 262: 3.449601204177134e-05
Position 705: 3.0470729368627274e-05
Position 1221: 2.3998457804606137e-05
Position 85: 2.213626590620292e-05
Position 863: 1.2510671255970705e-05
Position 718: 1.1376118986815505e-05
Position 858: 9.016710171466017e-06
Position 1181: 7.239505809799857e-06
Position 612: 4.975279492981626e-06
Position 869: 4.320381380774689e-06
Position 883: 4.1535331967437236e-06
Position 669: 3.894695535859275e-06
Position 229: 7.790625791235018e-07
Position 76: 7.071947965664077e-07
Position 160: 6.918058240951371e-07
Position 367: 2.9226347191621393e-07
Position 100: 9.52121378878709e-08
Position 270: 3.42137120337627e-08
Position 637: 2.8107991209240964e-08
Position 361: 1.846062714714946e-08
Position 454: 6.86730820756523e-09
Position 785: 2.8400407327831507e-09
Position 616: 6.300565661172202e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 1063: 0.7208362023619324
Position 781: 0.07638927519068174
Position 889: 0.07072878899917322
Position 470: 0.058108816721210495
Position 1219: 0.043775576305805745
Position 375: 0.037173575405255066
Position 260: 0.01777097650378525
Position 322: 0.017075628404762743
Position 518: 0.013765041310656303
Position 869: 0.01034568099203656
Position 739: 0.008035419803188124
Position 1375: 0.0062974931903762126
Position 886: 0.005262689926395118
Position 1034: 0.004960001323035075
Position 633: 0.0035356715341052607
Position 379: 0.003285042669404148
Position 1291: 0.003154561683307798
Position 329: 0.0024677513465393417
Position 1351: 0.0022946748039761205
Position 1100: 0.002160710979140941
Position 840: 0.0021220125950014088
Position 1336: 0.0017824825793319214
Position 589: 0.0016344945431010511
Position 1327: 0.001507326425847303
Position 1485: 0.0013488306559250312
Position 1249: 0.001269202100590689
Position 479: 0.0010836963777790052
Position 1203: 0.000971403527583529
Position 1181: 0.0009475613910701079
Position 1097: 0.0008997590276224903
Position 527: 0.0006349558071906377
Position 597: 0.0006328639926826501
Position 1193: 0.0004912565583400329
Position 1225: 0.00036274361092922085
Position 1071: 0.00029179595639338237
Position 637: 0.00029090369329753507
Position 1358: 0.0002452366897600884
Position 279: 0.00023545187221783308
Position 686: 0.00022176488826691778
Position 1261: 0.00019750061888528054
Position 1396: 0.00018479303120567928
Position 672: 0.00018364909302989735
Position 1379: 0.00017514142710458325
Position 296: 0.00017397832589047558
Position 1130: 0.00017015935461215672
Position 301: 0.00015263273984838217
Position 1273: 0.00014597283045049184
Position 1386: 9.467411217651445e-05
Position 270: 9.448975514574981e-05
Position 209: 6.140939545420327e-05
Position 381: 5.280643963174554e-05
Position 1154: 4.78951947663779e-05
Position 1414: 4.311146976962205e-05
Position 946: 4.0671050188530195e-05
Position 333: 3.468382186658058e-05
Position 556: 3.218007527996643e-05
Position 991: 2.9022055135068478e-05
Position 661: 2.802402867601437e-05
Position 524: 1.7641245122867854e-05
Position 496: 1.6509827366469533e-05
Position 189: 1.1303073223533426e-05
Position 650: 1.0832792123692791e-05
Position 901: 1.0483407619843794e-05
Position 397: 8.02491398979886e-06
Position 213: 7.632513388531486e-06
Position 1142: 6.684756110602734e-06
Position 921: 5.659962906202446e-06
Position 170: 5.017744625967569e-06
Position 267: 4.8153088579837844e-06
Position 1085: 4.497431456671408e-06
Position 405: 4.255079415507675e-06
Position 562: 3.99112622999128e-06
Position 337: 2.961838531299432e-06
Position 1431: 2.9551807369745467e-06
Position 535: 2.046897891160269e-06
Position 705: 1.7853724721191248e-06
Position 1444: 1.722547769166469e-06
Position 570: 9.437787030945439e-07
Position 407: 8.861085423658936e-07
Position 387: 8.591265990185807e-07
Position 567: 8.261536583006132e-07
Position 646: 7.067253405821729e-07
Position 303: 5.678112813462551e-07
Position 575: 3.023134454127017e-07
Position 688: 1.4108669384072285e-08
Position 132: 5.478670416853191e-09
Position 144: 2.2588070226833904e-09
Position 540: 7.397568632498616e-10
Position 149: 5.853325059011673e-10
Position 186: 4.892662836486389e-10
Position 550: 6.708088924281262e-11
Position 134: 4.444414811412033e-11
Position 160: 5.6075885665352156e-12
Position 157: 2.1676139032681326e-12
Position 154: 7.342385166524139e-13
