Gene = NPVF
index = 960
Annotated 5SS: [ 185 1861]
Annotated 3SS: [1459 3312]
SMsplice 5SS: [185]
SMsplice 3SS: [3312]
top_k =  1000
Partition function (log Z): -4.969709919892667

Sorted 5' Splice Sites (High to Low Probability):
Position 185: 0.9317599899919419
Position 1673: 0.5115954009172435
Position 1861: 0.47208139978356944
Position 392: 0.4082643899837309
Position 2549: 0.15233775075161374
Position 209: 0.06160400886951309
Position 2951: 0.039254070228678085
Position 2211: 0.01842955816788915
Position 2566: 0.013671321205365551
Position 1682: 0.011654169536934248
Position 762: 0.011575603531775664
Position 401: 0.010797045288071046
Position 2869: 0.009552009755407721
Position 1962: 0.00856517978700617
Position 2377: 0.008499643289889294
Position 628: 0.0070785990947090545
Position 3490: 0.0051730842637808675
Position 2256: 0.00424928575654718
Position 490: 0.00409793988227559
Position 1711: 0.003746993620574818
Position 2039: 0.003636833791479859
Position 270: 0.002748629984499567
Position 2060: 0.0027196206788727534
Position 2831: 0.00264141589047098
Position 2240: 0.002453737977564987
Position 2689: 0.0022828235774946443
Position 1907: 0.001486884518478768
Position 1071: 0.0009052306713124603
Position 396: 0.0008945020313874735
Position 3043: 0.000857742569565831
Position 469: 0.0005888474640960171
Position 2741: 0.0004991884111647022
Position 933: 0.00046167531061497584
Position 835: 0.00044497553286416226
Position 3494: 0.00039648956512898097
Position 449: 0.00036832297069792224
Position 1427: 0.0002830976319043654
Position 1011: 0.00025161041382614304
Position 1623: 0.00015404408430589293
Position 459: 0.00012732452311083484
Position 606: 9.167905256349551e-05
Position 386: 4.318044178248376e-05
Position 1607: 4.031293194472951e-05
Position 587: 3.31286443606568e-05
Position 870: 3.0241440910103343e-05
Position 815: 2.118322265590411e-05
Position 827: 1.6145103742105772e-05
Position 1885: 1.5420139286849244e-05
Position 924: 1.3806304841508818e-05
Position 1026: 1.096605875788872e-05
Position 278: 1.075827620139303e-05
Position 1064: 9.204849069985333e-06
Position 1378: 8.383419763778455e-06
Position 1390: 8.117218143411402e-06
Position 1018: 4.825325157631334e-06
Position 621: 2.532506919729286e-06
Position 189: 1.7301148520004998e-06
Position 213: 7.572196076328922e-07
Position 274: 2.753193559591352e-07
Position 256: 2.391369134083121e-07
Position 137: 1.1341684021694195e-07
Position 324: 1.0570708945820979e-07
Position 585: 8.390168435802412e-08
Position 611: 5.253526689786744e-08
Position 123: 4.935714439995282e-08
Position 243: 2.5005378365900997e-08
Position 804: 1.8981888228003463e-08
Position 282: 1.363127147019836e-08
Position 103: 1.1771847613772895e-08
Position 613: 7.611436486869991e-09
Position 690: 6.0629164631138345e-09
Position 792: 5.150584601445341e-09
Position 516: 6.900472407240682e-10
Position 374: 2.525466527733173e-10
Position 339: 1.7266940430952383e-10
Position 280: 1.653616791631486e-10
Position 297: 1.6230692673212583e-10
Position 332: 1.5439841716563536e-10
Position 688: 2.991387461180992e-11
Position 643: 2.3314909863241485e-11
Position 661: 4.521976842605603e-12
Position 289: 2.3357875639166714e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 3312: 0.6557653697882997
Position 1459: 0.3257451440004871
Position 308: 0.30091773801204685
Position 1769: 0.20205963502995838
Position 1710: 0.18629363633388832
Position 1537: 0.14643417430218392
Position 348: 0.1458795092050935
Position 2420: 0.14559968109824153
Position 2122: 0.10844072383412555
Position 2423: 0.05168631184883692
Position 1746: 0.051629169877088404
Position 2805: 0.0502518831485117
Position 1593: 0.048843643224169696
Position 1822: 0.03563598045279855
Position 3388: 0.029468566428475177
Position 3420: 0.026140668329931123
Position 1427: 0.023957383198412792
Position 2463: 0.017117885587014575
Position 2662: 0.013342220915526653
Position 2239: 0.011304298631983664
Position 2855: 0.01115677231709502
Position 2373: 0.009314134590260106
Position 2460: 0.007103310412534072
Position 3603: 0.006719044680872392
Position 1950: 0.006700032176870902
Position 2802: 0.006355805331791519
Position 2593: 0.005809964587827686
Position 1553: 0.005651586625434089
Position 709: 0.005592170296583305
Position 261: 0.005247882585523307
Position 686: 0.005131380562786694
Position 913: 0.0042105522218396476
Position 3335: 0.00391182357841411
Position 1501: 0.0036841214284139556
Position 3315: 0.0036399001811816814
Position 500: 0.0036289611289083
Position 3699: 0.0030241943292806097
Position 1464: 0.0027066583001057907
Position 2620: 0.0026542779518046204
Position 2612: 0.00264436792154629
Position 1354: 0.0024101197990008877
Position 2478: 0.00227867546453623
Position 1371: 0.0022567183767147323
Position 2826: 0.002125125436391946
Position 3896: 0.001707682711493266
Position 3011: 0.0016501628293965067
Position 1488: 0.0015323863619707153
Position 476: 0.001526780445926751
Position 3061: 0.0014951587861457198
Position 1511: 0.0014767532595046358
Position 1180: 0.001385347209886119
Position 800: 0.0013681775698710353
Position 624: 0.0012903666932797722
Position 2689: 0.0011748937346334374
Position 1613: 0.0011054645828161083
Position 1265: 0.00108248731279148
Position 565: 0.0010426853991640753
Position 1977: 0.0009422278365412148
Position 1485: 0.0009024563978436811
Position 3194: 0.0007228434443388687
Position 2089: 0.0005903718548122257
Position 2282: 0.0005664705215014143
Position 1602: 0.0005325086056213958
Position 1299: 0.000496786396926099
Position 2342: 0.0004681213559799821
Position 3672: 0.0004669661721807231
Position 3586: 0.00042707057957980786
Position 2749: 0.00042194511481559894
Position 2483: 0.0004052589756454524
Position 1478: 0.00038388648116198027
Position 2073: 0.0003588830268854222
Position 1730: 0.0003570905484238996
Position 1829: 0.00023255131289210267
Position 356: 0.00017861095195277952
Position 1855: 0.00017073704288047965
Position 1653: 0.0001469165424768727
Position 2149: 0.00012373928476497263
Position 1737: 0.0001222550265086857
Position 2187: 0.00012195190368309908
Position 1116: 0.0001164044919498408
Position 753: 9.781124900082635e-05
Position 909: 9.513982667535527e-05
Position 1958: 7.459383415909402e-05
Position 1542: 6.734408743448272e-05
Position 3903: 6.576780525433908e-05
Position 606: 6.306118926074763e-05
Position 363: 6.225523386862245e-05
Position 1616: 5.42028310124291e-05
Position 1637: 4.60125021080306e-05
Position 1466: 3.3880090361082394e-05
Position 1270: 2.578178551471205e-05
Position 267: 2.4056524796104483e-05
Position 1620: 2.3779340136484215e-05
Position 2903: 2.2996061346509637e-05
Position 2427: 2.285320383583036e-05
Position 719: 1.987543911769418e-05
Position 1623: 1.6281581171436228e-05
Position 1662: 1.4841479359398932e-05
Position 835: 1.4332203432929183e-05
Position 611: 1.4234512525908444e-05
Position 919: 1.4142600333006152e-05
Position 1837: 1.3281111695966177e-05
Position 1974: 1.2278170807024202e-05
Position 2030: 1.2123801807489792e-05
Position 449: 1.1102676917239289e-05
Position 995: 1.0922445264790906e-05
Position 767: 7.834513845029784e-06
Position 483: 7.816404108791427e-06
Position 270: 7.286370768252737e-06
Position 1672: 4.112158952398851e-06
Position 1383: 3.2345376204819797e-06
Position 937: 3.0508107755517067e-06
Position 941: 2.9626475207791422e-06
Position 274: 2.9033751799891095e-06
Position 1962: 2.8116031797489894e-06
Position 2252: 2.640744215876013e-06
Position 408: 2.2410997436400884e-06
Position 3344: 1.8041301243519371e-06
Position 815: 1.6585523916061993e-06
Position 1378: 1.1552357258471438e-06
Position 2134: 1.1072972228016704e-06
Position 1141: 7.294582810101926e-07
Position 1879: 6.907484129221424e-07
Position 1046: 6.643496233770686e-07
Position 1860: 3.421786544746483e-07
Position 412: 2.003359811519595e-07
Position 396: 1.0407327921922652e-08
Position 419: 9.926301329733015e-09
Position 243: 4.2641740370026656e-11
Position 216: 5.096300294902938e-12
Position 854: 6.383307983080466e-13
Position 189: 1.7200384362962237e-13
Position 213: 7.493412779991512e-14
Position 184: 3.6650306210131355e-14
