Gene = TRIM42
index = 1484
Annotated 5SS: [  532  5121 10504 13154]
Annotated 3SS: [ 4422  9682 12928 22848]
SMsplice 5SS: [  532 10504 13154 16084]
SMsplice 3SS: [10348 12928 15919 22848]
top_k =  1000
Partition function (log Z): -4.062265953371831

Sorted 5' Splice Sites (High to Low Probability):
Position 10504: 0.9897491997967753
Position 532: 0.8703661211802614
Position 16084: 0.7037604376462482
Position 13154: 0.5714644778977368
Position 2674: 0.29000906454496084
Position 10132: 0.2733140345022874
Position 13196: 0.2688600898555825
Position 11074: 0.16110906626811228
Position 22443: 0.1339348431119572
Position 18044: 0.13106153003423637
Position 3705: 0.12889006945041376
Position 15164: 0.12594141247995216
Position 12804: 0.10678846820800768
Position 14373: 0.08531110404648985
Position 18471: 0.0706841248347257
Position 10810: 0.06232198667661189
Position 4502: 0.05999122643022264
Position 3745: 0.0556732857107906
Position 18475: 0.05142506554477212
Position 417: 0.05090233662335423
Position 13103: 0.04830719766462365
Position 14364: 0.047118941970686556
Position 139: 0.04628695113709554
Position 12822: 0.044086978988890996
Position 5121: 0.042491355251912985
Position 174: 0.03791688325442918
Position 5979: 0.0361135068612252
Position 11493: 0.03555983478528228
Position 9882: 0.033541245948390884
Position 16930: 0.0332935162627204
Position 13694: 0.03264321725397607
Position 13161: 0.03222399009706727
Position 10682: 0.031634814990205
Position 2735: 0.03130812560222398
Position 4463: 0.02960225215775632
Position 19204: 0.02838351391207832
Position 14930: 0.026174719157302285
Position 7023: 0.025828431198998327
Position 16019: 0.02191495285496395
Position 1994: 0.02119730492913472
Position 17378: 0.02070922183006243
Position 4651: 0.020697450966185013
Position 205: 0.02032943570238432
Position 1487: 0.020057064017815318
Position 20105: 0.018775787324838672
Position 16371: 0.017831012791017474
Position 4472: 0.017767902568112545
Position 18746: 0.01629317626472006
Position 23: 0.015855319453969244
Position 8655: 0.012997019135139235
Position 16858: 0.012966029140344329
Position 18036: 0.01204046492512981
Position 11057: 0.011185799800229861
Position 13010: 0.009561843948960858
Position 14885: 0.008784049906608742
Position 4981: 0.007744176647628985
Position 10836: 0.007374318816502907
Position 22976: 0.007168373465167937
Position 4616: 0.00653568176398751
Position 4799: 0.005756593298851793
Position 182: 0.005299520809370142
Position 2196: 0.005198208457330119
Position 8162: 0.004721112750300415
Position 23000: 0.004429191776429336
Position 12785: 0.0036861132134291858
Position 10513: 0.0036029661416550184
Position 18411: 0.0032791137885544593
Position 11447: 0.003077026558023272
Position 2006: 0.0030397099861188613
Position 619: 0.002673550344455234
Position 16015: 0.0026592142368357437
Position 1050: 0.0026015857488611177
Position 1477: 0.0025890162940599318
Position 18073: 0.0019235202046392417
Position 3700: 0.0018748864699550958
Position 3551: 0.001819262647616074
Position 3434: 0.0014161111434641078
Position 10561: 0.0012403903142976607
Position 171: 0.0010952505412316566
Position 3675: 0.0009668101275723635
Position 10294: 0.0009631138409670125
Position 3798: 0.0007058397417254419
Position 2621: 0.0006756548095955982
Position 14402: 0.000675212257392648
Position 682: 0.000616752690730671
Position 10422: 0.0005035675930288539
Position 4190: 0.0004978447272025662
Position 5782: 0.0004875095734485276
Position 10860: 0.0004161518316309344
Position 15937: 0.000405883972217284
Position 1492: 0.00038974697967029503
Position 1068: 0.00027896933326524326
Position 1989: 0.00027225968505275395
Position 702: 0.0002528878024614367
Position 131: 0.0002229310391813147
Position 4576: 0.00021816074983023969
Position 1925: 0.00018283019788295417
Position 4359: 0.00014235583136169787
Position 4525: 0.00012813504568873183
Position 3370: 0.00010638870794234397
Position 2924: 9.391306127524363e-05
Position 3057: 9.211210894996468e-05
Position 4477: 8.637829535346179e-05
Position 17412: 8.3580459635125e-05
Position 797: 6.790119274482382e-05
Position 10733: 6.776340296411865e-05
Position 4649: 6.387565114148705e-05
Position 1743: 5.3381076538143454e-05
Position 250: 4.8995711420866635e-05
Position 1361: 4.760058836000321e-05
Position 909: 4.7089118939003004e-05
Position 1291: 4.232420046843565e-05
Position 1986: 3.666969707412321e-05
Position 2188: 2.3276700687821338e-05
Position 157: 2.2782584004059626e-05
Position 1686: 2.0993600759191722e-05
Position 225: 1.6802367073500803e-05
Position 744: 1.567615163245309e-05
Position 11224: 1.55621787159891e-05
Position 5393: 1.5518278701144766e-05
Position 10485: 1.4098273771544293e-05
Position 43: 1.3922549867271632e-05
Position 343: 1.3607282707498347e-05
Position 3533: 1.3335353244024401e-05
Position 3759: 9.053175491878248e-06
Position 1872: 8.005291841314819e-06
Position 552: 7.23688448115945e-06
Position 222: 4.836855580981589e-06
Position 2207: 4.5274795933986995e-06
Position 4145: 3.3757094350380163e-06
Position 3074: 2.0810003544547867e-06
Position 38: 2.0554747042074343e-06
Position 274: 1.519201778458827e-06
Position 261: 1.0461431928749793e-06
Position 360: 8.815921009525562e-07
Position 240: 8.722070264984474e-07
Position 265: 6.151875981655732e-07
Position 787: 5.026396412162945e-07
Position 209: 3.558236522135117e-07
Position 1242: 1.8113402198684035e-07
Position 1251: 1.603135366982152e-07
Position 243: 8.468982315863414e-08
Position 1770: 6.658148745911401e-08
Position 421: 5.7683616201848314e-08
Position 385: 4.530213758264454e-08
Position 216: 1.27221703822921e-08
Position 914: 5.689442878604213e-09
Position 602: 2.9024857763620284e-09
Position 694: 2.75087535158299e-09
Position 949: 2.4235215153893694e-09
Position 567: 2.0948939473518235e-09
Position 387: 1.156279951228418e-09
Position 597: 6.482997106002453e-11
Position 631: 5.382190514801384e-11
Position 536: 4.998879254438402e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 10348: 0.9886365628331505
Position 12928: 0.9139064252639891
Position 22848: 0.8811121888197134
Position 15919: 0.4558682293243521
Position 15966: 0.2801356283819353
Position 17968: 0.1667246118082941
Position 3607: 0.16603996176808059
Position 10947: 0.1527090351594639
Position 4422: 0.13663970420660682
Position 9936: 0.12358974698502039
Position 2620: 0.11639589491924074
Position 18393: 0.11528129669476184
Position 10603: 0.10925108470560013
Position 9734: 0.10837566719879564
Position 22376: 0.10442180282602544
Position 2553: 0.09731772718184785
Position 2569: 0.09649453197057578
Position 15012: 0.08955910060739751
Position 12665: 0.08441505629505677
Position 12662: 0.06722605354275199
Position 10120: 0.06571060925899347
Position 14204: 0.06277489149371991
Position 16730: 0.05276654581038067
Position 14255: 0.046920683370314284
Position 19172: 0.044558450857653684
Position 14852: 0.04208340131396281
Position 22223: 0.03276453640889197
Position 11303: 0.0315148844162997
Position 4798: 0.029266877594422903
Position 1924: 0.02874021268829167
Position 5853: 0.026874436295857052
Position 14929: 0.024326391874510193
Position 326: 0.023070453088627593
