Gene = SAPCD2
index = 1224
Annotated 5SS: [ 699 4327 5067 5511 5726]
Annotated 3SS: [4213 4919 5402 5608 5800]
SMsplice 5SS: [ 699  885 4327 4847 5067 5511 5726]
SMsplice 3SS: [ 794 4213 4661 4919 5402 5608 5800]
top_k =  100
Partition function (log Z): 5.281182844480738

Sorted 5' Splice Sites (High to Low Probability):
Position 5726: 0.9946353685193328
Position 5511: 0.9933690827099151
Position 4327: 0.9626566522314258
Position 5067: 0.9393062612673376
Position 699: 0.8707819712099127
Position 885: 0.5668950031075757
Position 4847: 0.5214539669419308
Position 2508: 0.10100388940504718
Position 4772: 0.07579136988477242
Position 3979: 0.045189720507229386
Position 1711: 0.03236475218735585
Position 4780: 0.01567869412182555
Position 4758: 0.004373836428056143
Position 7047: 0.003975306062970558
Position 5454: 0.003006634438239548
Position 5984: 0.0018938184159412606
Position 2294: 0.0006431436673880519
Position 5517: 0.000378155108518467
Position 350: 0.0003275037237827252
Position 527: 0.00012888083883252972
Position 286: 7.707020988557855e-05
Position 99: 4.77062234671698e-05
Position 329: 4.406555613865852e-05
Position 25: 2.6038330365034222e-05
Position 557: 2.034007599809375e-05
Position 499: 1.5325491368729217e-05
Position 610: 1.1307930586226296e-05
Position 266: 9.473716164242125e-06
Position 497: 5.207131379889188e-06
Position 73: 4.705980856836798e-06
Position 43: 2.5178836467401385e-06
Position 232: 1.5023903714113367e-06
Position 37: 4.641231008203665e-07

Sorted 3' Splice Sites (High to Low Probability):
Position 5608: 0.9923089715021581
Position 4213: 0.9617354969069181
Position 5402: 0.9421804092660095
Position 4919: 0.6791293200768646
Position 4661: 0.57589643124307
Position 5800: 0.5266345181701575
Position 794: 0.42725473731784175
Position 4846: 0.18894533293656446
Position 2388: 0.10100388940504718
Position 6078: 0.09410017322802125
Position 7462: 0.06343353854523512
Position 7162: 0.05194728991737453
Position 4967: 0.04667241400523038
Position 3800: 0.04611087583173655
Position 4757: 0.042823465295598405
Position 6282: 0.035841842495958044
Position 5288: 0.03461632907659328
Position 5803: 0.034054569340986864
Position 6796: 0.0328281145310958
Position 6255: 0.031847917570429186
Position 7666: 0.024900594838137103
Position 5955: 0.022549018433622104
Position 1519: 0.022518284643064816
Position 7270: 0.018625910731225895
Position 7312: 0.017884894449419594
Position 4928: 0.012390706277558897
Position 6590: 0.010160792000040712
Position 7552: 0.009831807436713543
Position 1604: 0.00924674205586567
Position 769: 0.008591240560574167
Position 4891: 0.007768098858506888
Position 5582: 0.007372605874805312
Position 6908: 0.007153648776571837
Position 5299: 0.007064510964281439
Position 5418: 0.00681041606138369
Position 6897: 0.006190846266267902
Position 5231: 0.004812743197710553
Position 6304: 0.003895886975354438
Position 7370: 0.0034186483442297795
Position 4609: 0.0029783599505288387
Position 6785: 0.002680426303239905
Position 761: 0.002099980371751577
Position 6677: 0.0020408298919225754
Position 5165: 0.0008200153136140242
Position 2208: 0.0006431436673880518
Position 5185: 0.0004989722481695733
Position 6959: 0.0004837266968113175
Position 597: 0.00044262787952100666
Position 1617: 0.00024018107973552912
Position 5677: 0.0001393608975818322
Position 1361: 0.00012510665861380246
Position 5680: 0.00011716128984575247
Position 1411: 0.00011708005568334927
Position 1625: 5.944491470822294e-05
Position 1489: 5.791277968445834e-05
Position 5683: 1.1874619950040538e-05
Position 582: 7.026684443055168e-06
Position 490: 1.9961044095933606e-06
Position 752: 1.4750048903749313e-06
