Gene = SRD5A1
index = 1329
Annotated 5SS: [  527 18666 22837 29624]
Annotated 3SS: [18498 22734 29472 34858]
SMsplice 5SS: [  527 18666 22837 29624]
SMsplice 3SS: [18498 22734 29472 34858]
top_k =  100
Partition function (log Z): -26.82684353083995

Sorted 5' Splice Sites (High to Low Probability):
Position 527: 0.9931745980856833
Position 3011: 0.42579534501352473
Position 344: 0.04379020723227376
Position 146: 0.02406770201081703
Position 131: 0.020919156397515546
Position 2708: 0.007181905508148255
Position 926: 0.0008804109121805681
Position 293: 0.0007814800739147477
Position 118: 0.00042317030239377143
Position 14: 0.0003727471943404268
Position 328: 8.147322581842843e-05
Position 405: 7.764361982344531e-05
Position 381: 7.34256911537583e-05
Position 30: 5.097629738327324e-05
Position 300: 5.0913600186919754e-05
Position 402: 4.598655509896038e-05
Position 312: 2.5766396809492213e-05
Position 252: 7.606890632138914e-06
Position 109: 7.019563994952367e-06
Position 342: 1.3001537668633172e-06
Position 443: 7.832809820842191e-07

Sorted 3' Splice Sites (High to Low Probability):
Position 10612: 0.17407276243982417
Position 8282: 0.1739102226744609
Position 2841: 0.170033754361314
Position 10644: 0.12777146103103015
Position 2860: 0.10045901932865818
Position 9212: 0.07709929393506025
Position 5332: 0.07517602119298555
Position 475: 0.07081260139037412
Position 9047: 0.06391064503115931
Position 2939: 0.06267291742570565
Position 649: 0.049783702664555715
Position 2978: 0.04854068896615944
Position 7887: 0.03878545752381589
Position 1554: 0.03659558071921282
Position 617: 0.03351754679373457
Position 6403: 0.03197320172699929
Position 2942: 0.030463426218624193
Position 5997: 0.02508465495824786
Position 3930: 0.023231455205472377
Position 2811: 0.02132746114674224
Position 443: 0.013873105669560418
Position 4458: 0.008703769223340273
Position 4267: 0.007530098602540342
Position 2580: 0.007181905508148255
Position 1061: 0.006521253087854219
Position 5853: 0.005727002326487867
Position 4204: 0.005369843872391691
Position 1473: 0.0040568635006817556
Position 1498: 0.0037058665283936365
Position 1394: 0.0031934284367234715
Position 631: 0.003155468483167175
Position 838: 0.0027040499980157053
Position 1686: 0.0022197005461523822
Position 293: 0.00209529976077945
Position 3398: 0.0019511813663800894
Position 870: 0.0013412665173353111
Position 1753: 0.0012561620534279198
Position 2733: 0.0009501583988776699
Position 693: 0.0005349265533628552
Position 410: 0.00019877207291788454
Position 373: 0.00017793674391947234
Position 451: 7.868238847376081e-05
Position 332: 1.9710518220406426e-05
Position 823: 1.9026438925607266e-05
Position 367: 1.0814870782911393e-05
Position 225: 6.6066132301863484e-06
Position 213: 2.7543017884454772e-06
Position 263: 1.9531380000824377e-06
Position 260: 1.357524315553786e-07
