Gene = SOX30
index = 1296
Annotated 5SS: [ 1309  3764  5784 14191]
Annotated 3SS: [ 3523  5603 13697 25698]
SMsplice 5SS: [  195  3133  5784 13585 14191 18646 25783]
SMsplice 3SS: [ 2953  5603 13399 13931 18471 25698 25957]
top_k =  100
Partition function (log Z): -12.563529698373365

Sorted 5' Splice Sites (High to Low Probability):
Position 5784: 0.9981778160797232
Position 13585: 0.899343606426721
Position 3133: 0.7988698752192825
Position 14191: 0.711159866566259
Position 195: 0.5024489118278046
Position 96: 0.2363650411921767
Position 175: 0.22049653508280806
Position 13793: 0.19866012193305949
Position 3764: 0.14542338549066527
Position 3360: 0.05743736390256701
Position 4036: 0.025062476877772518
Position 2985: 0.024655182525421846
Position 13590: 0.024583142559233467
Position 230: 0.023198464892041533
Position 3826: 0.02249861740684167
Position 723: 0.01928704215177135
Position 1444: 0.017319563075958996
Position 125: 0.016311129720810266
Position 3672: 0.007962618863487746
Position 785: 0.006237274387128152
Position 4333: 0.0051397201323489195
Position 4389: 0.004197604496093312
Position 6660: 0.0014809635582150426
Position 5744: 0.0011035543755761631
Position 558: 0.0005605762348051019
Position 540: 0.0003552412768229872
Position 6069: 0.00015790332630071833
Position 72: 9.014354883902937e-05
Position 181: 4.7491013072853004e-05
Position 28: 4.726494717081037e-05
Position 242: 4.251734192710615e-05
Position 289: 1.9010100769832284e-05
Position 157: 1.767282095307887e-05
Position 3385: 1.4866232521896134e-05

Sorted 3' Splice Sites (High to Low Probability):
Position 13399: 0.9294477187380612
Position 5603: 0.9152617067979286
Position 2953: 0.8239238114762722
Position 13931: 0.5974443398799977
Position 21821: 0.5770829728626536
Position 13697: 0.5342917375981578
Position 3523: 0.17679180973921158
Position 16803: 0.15930761452345996
Position 5683: 0.08448116342733451
Position 3281: 0.04164248983354947
Position 632: 0.02315177802176195
Position 3945: 0.02180128305409483
Position 6382: 0.014494881672285707
Position 3209: 0.009571235075364837
Position 1302: 0.008433231232972857
Position 7226: 0.00842037763892748
Position 1362: 0.007697155369302125
Position 4220: 0.007082599452474542
Position 7840: 0.004980691419230263
Position 3226: 0.004382666630255048
Position 3545: 0.002435418382643145
Position 4272: 0.0022547251759676835
Position 6429: 0.002068689443243234
Position 6353: 0.001971792016357529
Position 3211: 0.0014570848643527608
Position 1427: 0.0011891764736840268
Position 6403: 0.0011115113374708108
Position 9840: 0.0009751331708062541
Position 557: 0.0007706894574679709
Position 8814: 0.0007447596725422347
Position 647: 0.0007382937964904189
Position 7446: 0.0006998034477292111
Position 8673: 0.0005649454732993756
Position 533: 0.0004363084630326604
Position 674: 0.0004272468001464858
Position 7783: 0.00032855185482822915
Position 5867: 0.00028753917006445445
Position 6761: 0.00022885125319788073
Position 6387: 0.00017481353884471395
Position 6765: 0.000164553796435939
Position 5976: 3.3133436752521955e-05
Position 5874: 1.8280118295589397e-05
