Gene = EBNA1BP2
index = 477
Annotated 5SS: [ 208  375  782 1505 3322 5101 5435 7618]
Annotated 3SS: [ 290  608 1380 3231 5024 5340 7454 7766]
SMsplice 5SS: [ 208  375 1505 3322 5101 7618]
SMsplice 3SS: [ 290 1380 3167 5024 7454 7694]
top_k =  100
Partition function (log Z): 1.71712193434418

Sorted 5' Splice Sites (High to Low Probability):
Position 208: 0.9990574090370797
Position 1505: 0.9354907407505478
Position 375: 0.8985581537515941
Position 5101: 0.8912037877976643
Position 3322: 0.7512299297446093
Position 7618: 0.5532476968342185
Position 5435: 0.35635948830180714
Position 34: 0.1283500383227679
Position 782: 0.11691573611036819
Position 5137: 0.08122833855396894
Position 3523: 0.0809434169256187
Position 7640: 0.03721435526865878
Position 1331: 0.02174387139407394
Position 6480: 0.02076582692361785
Position 5105: 0.013668377593915747
Position 1754: 0.008448638202124676
Position 1800: 0.005988309151718489
Position 28: 0.004898377914243256
Position 4599: 0.0040127228679597325
Position 3273: 0.0035799130848751244
Position 5474: 0.0035268369367650976
Position 15: 0.0032603552514645115
Position 399: 0.002393323485852307
Position 3703: 0.0022192412313554446
Position 392: 0.0018735539855987162
Position 3362: 0.0016267560724503112
Position 8: 0.0010409757034458846
Position 508: 0.0010015928314586378
Position 212: 0.0005038559925289717
Position 5130: 0.00025001752259317306
Position 128: 0.00020053799578001463
Position 214: 0.00011310816988707433
Position 115: 5.8877495596750134e-05
Position 119: 2.569795435108548e-05
Position 227: 4.953735331296393e-06
Position 132: 3.334978464664065e-06
Position 90: 1.6294016567163998e-06
Position 121: 2.0675709567993006e-09
Position 105: 7.119855590855449e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 5024: 0.9921000898466042
Position 290: 0.7919884336649731
Position 7694: 0.6249153603542895
Position 7454: 0.5977601491828377
Position 1380: 0.44887047331933577
Position 1432: 0.4458853887037289
Position 5340: 0.4270463376061627
Position 3167: 0.3968628197354151
Position 3231: 0.37942870771926396
Position 7766: 0.2838115062584421
Position 118: 0.13753372540070244
Position 296: 0.10294029206173955
Position 608: 0.05941904036148526
Position 3447: 0.0547017871913432
Position 633: 0.02628159282808284
Position 6317: 0.023379800803017443
Position 1200: 0.020736965977313254
Position 1222: 0.018367248560521902
Position 1636: 0.012717355917449326
Position 664: 0.011139724691843059
Position 544: 0.011047166001778528
Position 1172: 0.010691257876358056
Position 7720: 0.00806123628841105
Position 1271: 0.006536592836540219
Position 3100: 0.006386701181531081
Position 312: 0.0051787956364732855
Position 1276: 0.005171923874397824
Position 592: 0.005061105602522612
Position 4465: 0.0040127228679597325
Position 695: 0.003509509660694067
Position 3694: 0.002219241231355443
Position 345: 0.002176203289208248
Position 1709: 0.0017195914363938366
Position 323: 0.0014284045188673166
Position 1495: 0.0009747609964260699
Position 460: 0.0004307431565889849
Position 4791: 0.00039024539344515385
Position 327: 9.002232391908887e-05
Position 641: 2.685380737287885e-05
Position 199: 8.304946897414596e-06
Position 203: 9.358546822504434e-07
Position 81: 3.160613093661083e-07
Position 171: 3.084698390865422e-07
Position 141: 2.9486723446470764e-08
Position 205: 6.430535821238371e-09
