Gene = TRMO
index = 1487
Annotated 5SS: [  153  6407  9170 12611]
Annotated 3SS: [ 6231  9011 11953 17577]
SMsplice 5SS: [ 153 6407 9170 9698]
SMsplice 3SS: [ 6231  9011  9594 17577]
top_k =  100
Partition function (log Z): -3.2034671146383307

Sorted 5' Splice Sites (High to Low Probability):
Position 153: 0.9513198707059546
Position 6407: 0.9464098896849029
Position 9170: 0.8299873658604016
Position 9698: 0.6361912327121942
Position 8063: 0.5712169383552007
Position 9933: 0.3691722266208414
Position 10770: 0.33233257281906964
Position 8592: 0.26971372737314875
Position 9163: 0.16430328002616024
Position 764: 0.15098701467540285
Position 9823: 0.10563675095483127
Position 8586: 0.06911126814563207
Position 5618: 0.0639196815266901
Position 13299: 0.03804120518623876
Position 9327: 0.01922003296402982
Position 8581: 0.01917812865025393
Position 8661: 0.01845793774394515
Position 1617: 0.012485262702160136
Position 759: 0.011202448961053298
Position 9693: 0.009558715303704064
Position 3740: 0.009296545921946587
Position 3367: 0.008866272550756903
Position 309: 0.001085910256283603
Position 190: 0.000851122673045659
Position 254: 0.0007731944786974797
Position 52: 0.0005344371189241163
Position 9343: 0.0004888983360830434
Position 314: 0.00013701339308089255
Position 419: 0.00012186597267639582
Position 38: 0.00011759254907789991
Position 479: 0.00011188859883880504
Position 172: 4.121603854767118e-06
Position 121: 3.927268743354288e-06

Sorted 3' Splice Sites (High to Low Probability):
Position 9011: 0.9888943381967871
Position 6231: 0.946409889684903
Position 17577: 0.937494795624784
Position 9594: 0.7135384861897677
Position 9786: 0.3856632728348794
Position 8543: 0.3764610619129799
Position 10581: 0.34122105503682254
Position 8031: 0.2284467258545493
Position 7838: 0.1525586987641273
Position 7893: 0.12442457288302611
Position 630: 0.10970046626996977
Position 7995: 0.065786940853498
Position 5466: 0.0639196815266901
Position 13227: 0.03804120518623878
Position 9801: 0.027605534420443424
Position 9258: 0.02250463460084885
Position 10016: 0.02209585304733707
Position 13988: 0.019486326431754138
Position 3225: 0.011183945600498716
Position 1528: 0.00824461655675412
Position 8944: 0.004384751883188052
Position 1511: 0.0042406461454060195
Position 3346: 0.004006958655199664
Position 691: 0.0031727503867766092
Position 3397: 0.0029719142170051144
Position 632: 0.0027405986098627834
Position 11953: 0.0026420234576974132
Position 522: 0.0016365929890245845
Position 8841: 0.0006668359034024179
Position 9565: 0.0003484480664192777
Position 8873: 0.0003447199031843024
