Gene = DNAAF5
index = 451
Annotated 5SS: [  615  3147 14243 14765 28121 30294 35196 37274 43918 47498 48462 53444]
Annotated 3SS: [ 2961 14117 14645 27887 30080 35051 37104 43769 47346 48304 53251 58815]
SMsplice 5SS: [  615  3147  5121  5427  5792 14243 14765 20289 27782 28121 30294 35196
 37274 43918 45410 47498 48462]
SMsplice 3SS: [ 2961  4999  5299  5682 14117 14645 20178 27687 27887 30080 35051 37104
 43769 45287 47346 48304 58815]
top_k =  100
Partition function (log Z): 12.734618948783082

Sorted 5' Splice Sites (High to Low Probability):
Position 30294: 1.0000000000000022
Position 47498: 1.0000000000000013
Position 28121: 1.000000000000001
Position 14765: 1.0000000000000002
Position 615: 0.9994195924677485
Position 37274: 0.9989632025338585
Position 3147: 0.9966560490654455
Position 35196: 0.990198931772959
Position 43918: 0.9879150553930902
Position 5792: 0.9628553440087693
Position 5121: 0.9377211878135666
Position 48462: 0.8341084069710506
Position 7529: 0.6420045382410504
Position 5427: 0.6366056466713115
Position 20289: 0.5202736905777388
Position 3481: 0.41721666735518687
Position 20374: 0.4101728132557674
Position 45410: 0.33064230254938964
Position 2040: 0.3261971929439943
Position 2861: 0.2505050786987544
Position 3522: 0.23760976727585983
Position 53444: 0.21243443347721896
Position 3859: 0.17894836941884174
Position 45389: 0.1648016813943883
Position 7332: 0.1616955245516941
Position 45402: 0.1605614203488703
Position 3518: 0.1548736124008791
Position 22046: 0.1510387617230511
Position 36557: 0.13721497517683504
Position 45425: 0.12729377728582097
Position 29256: 0.1228488289148357
Position 48075: 0.10423405886591311
Position 1592: 0.10273555968107019
Position 35332: 0.0950291858281462
Position 37987: 0.08927297183752751
Position 5414: 0.08644514145247573
Position 42408: 0.08188888533708236
Position 45419: 0.07869597771039241
Position 44081: 0.0769776574783679
Position 3826: 0.07459328547538699
Position 38362: 0.07375633254724465
Position 51380: 0.061727633500936734
Position 44125: 0.055337062254294495
Position 51985: 0.04054953899109747
Position 29242: 0.03986683463604117
Position 45493: 0.03817149992326545
Position 5444: 0.03808676804430003
Position 2065: 0.036219761685746206
Position 29301: 0.03509830449128473
Position 44257: 0.03214003306450957
Position 36506: 0.030790929999673367
Position 28298: 0.02913207377259
Position 28302: 0.027613686740426056
Position 48011: 0.022898855074898607
Position 47893: 0.01946180947897334
Position 47886: 0.016156670320599368
Position 28637: 0.012801187969725718
Position 43922: 0.012084944606911544
Position 29389: 0.011743617221657711
Position 44553: 0.01157544438154176
Position 27980: 0.00838221537017907
Position 3033: 0.004084524656584215
Position 48241: 0.0035000935437782864
Position 48006: 0.0028469297258038617
Position 1610: 0.0011478956947501505
Position 37351: 0.0004734382272839802
Position 1201: 0.00019362714603516395
