Gene = ISCA1
index = 718
Annotated 5SS: [  152  8341 10523]
Annotated 3SS: [ 8286 10416 16337]
SMsplice 5SS: [  152  8790 10523 11366 16419]
SMsplice 3SS: [ 8696 10416 11306 16337 17293]
top_k =  100
Partition function (log Z): -5.942014001209014

Sorted 5' Splice Sites (High to Low Probability):
Position 10523: 0.9999562844084898
Position 152: 0.9701633264483778
Position 16419: 0.8660609530976706
Position 11366: 0.7893298078210247
Position 1224: 0.328420143695259
Position 4795: 0.32070684202654787
Position 16878: 0.230483011772933
Position 12518: 0.14798916146468627
Position 2829: 0.12441035124522509
Position 107: 0.016403074305243542
Position 561: 0.013433620996324802
Position 16703: 0.0036244178439932264
Position 1462: 2.2223652579801787e-06
Position 787: 1.543110249161853e-08
Position 493: 6.520458772294311e-09
Position 712: 4.370034743213911e-09
Position 429: 2.590037074817986e-11
Position 98: 2.315425775719813e-11
Position 73: 1.0835874760184028e-11
Position 216: 6.2215196422976695e-12
Position 195: 1.7173649226695272e-12
Position 256: 2.62517689149898e-13
Position 156: 2.514678096923026e-13
Position 86: 1.6663024261826908e-13
Position 193: 2.589583070354419e-14

Sorted 3' Splice Sites (High to Low Probability):
Position 10416: 0.9999562844084899
Position 11306: 0.7895261668065758
Position 17293: 0.7217446715501574
Position 16337: 0.66715928673009
Position 4622: 0.26983863660017016
Position 1075: 0.21571874873557495
Position 16718: 0.20537757259656197
Position 16284: 0.20530605332988627
Position 16788: 0.1724054388902618
Position 12371: 0.15262577766953925
Position 2708: 0.07848519068901857
Position 16511: 0.06965804553723819
Position 1009: 0.06419665522498033
Position 4477: 0.050868205426377655
Position 1034: 0.027367340410596925
Position 16494: 0.026020315256686133
Position 2621: 0.02359164214190237
Position 2515: 0.02233351841430415
Position 1109: 0.021136809196579214
Position 16695: 0.007129889563770375
Position 15311: 0.006497763362468628
Position 17146: 0.004597138938816538
Position 16834: 0.0038525770057353894
Position 12710: 0.00272170951793159
Position 12888: 0.0017595235983319597
Position 11697: 0.0006478127241157591
Position 11455: 0.0002450859175683003
Position 10647: 0.00016880741306156863
Position 1608: 2.3388314146588534e-05
Position 1337: 1.4306368327710046e-05
Position 2270: 8.243274294988206e-06
Position 1080: 1.751109140003346e-07
Position 949: 1.2788931115236974e-07
Position 961: 1.1235482014853658e-07
Position 1170: 7.972757867787888e-08
Position 982: 2.995557078848384e-08
Position 617: 2.9887723731098996e-08
Position 387: 1.4696997569710894e-08
Position 815: 1.1746760232789094e-08
Position 899: 1.1279645060525209e-08
Position 860: 1.0807212418433729e-08
Position 972: 1.0509679020417878e-08
Position 290: 9.880236762559467e-09
Position 748: 9.159710781431095e-09
Position 243: 2.74798214048254e-09
Position 584: 8.709283225543068e-10
Position 595: 6.288107255193219e-10
Position 498: 4.732850069832948e-10
Position 501: 3.2046710208252086e-10
Position 416: 2.1997028241049827e-10
