Gene = HMHB1
index = 657
Annotated 5SS: [144]
Annotated 3SS: [8318]
SMsplice 5SS: [144]
SMsplice 3SS: [8318]
top_k =  100
Partition function (log Z): -9.964980739289867

Sorted 5' Splice Sites (High to Low Probability):
Position 144: 0.9959982750386449
Position 1029: 0.09912759523786126
Position 2489: 0.04876781987913178
Position 3294: 0.023857639617377187
Position 3289: 0.009382897949011624
Position 3510: 0.006524188400393446
Position 250: 0.003948375468289279
Position 487: 0.0034454418454081736
Position 475: 0.003337583191630757
Position 1498: 0.003168147112851995
Position 1510: 0.001006526967003468
Position 1298: 0.0007611968945960503
Position 686: 0.00013286447891051748
Position 285: 1.119258864629201e-05
Position 338: 3.2255862608704173e-07
Position 224: 7.218134486952503e-08
Position 448: 1.0280808453418232e-08
Position 92: 7.993107084865892e-09
Position 332: 4.099891440451538e-09
Position 299: 1.0536603814481528e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 8318: 0.260508681516323
Position 1662: 0.14862373624122313
Position 3206: 0.10891995212132748
Position 3381: 0.09423550609168764
Position 2336: 0.09097369804670831
Position 4062: 0.06253729400583928
Position 869: 0.05734962875709381
Position 2205: 0.051291686762647004
Position 837: 0.04376257319456589
Position 8400: 0.041258182127635046
Position 373: 0.03956636328014365
Position 1677: 0.024442797929887815
Position 1126: 0.018665330279203345
Position 576: 0.013067737349038355
Position 1094: 0.011727220515226382
Position 6386: 0.011380421064752396
Position 6018: 0.010452982282547688
Position 3086: 0.010072993982061218
Position 1834: 0.009649700919044598
Position 755: 0.008280166442019522
Position 1600: 0.007950943658310906
Position 985: 0.007731230754355816
Position 2820: 0.00676315506731287
Position 4351: 0.006374510651247794
Position 3559: 0.005767030985535552
Position 1438: 0.005523648105985748
Position 894: 0.0041702185661868976
Position 2753: 0.004079260643002027
Position 1174: 0.003876043253907979
Position 4730: 0.0038428091896518467
Position 4259: 0.00380230420781409
Position 1952: 0.0031223382110763887
Position 2635: 0.002924041593628504
Position 3976: 0.0028145805129426073
Position 1157: 0.0025552701714249846
Position 3920: 0.0021241538472656354
Position 670: 0.002049290375417404
Position 3405: 0.0019528328658901099
Position 351: 0.0010877878041655432
Position 316: 0.0009230189820855284
Position 1210: 0.0008503952714029457
Position 1253: 0.0007331077472139275
Position 621: 0.0004923397171030466
Position 1314: 0.0003818252211548184
Position 927: 0.00034789597586792046
Position 839: 0.00020954257444294236
Position 1399: 0.0002024922383582371
Position 708: 1.9480678912960653e-05
Position 872: 1.814655227361848e-05
Position 380: 8.03758921599254e-06
Position 388: 3.481333828277133e-06
Position 531: 9.989445106533626e-07
Position 249: 4.3427712434145507e-07
Position 332: 2.882740860106254e-07
Position 390: 1.37978935771693e-07
Position 337: 1.0982088085587736e-07
Position 485: 1.0583017921524733e-07
Position 394: 9.125648456615494e-08
Position 259: 4.493726776971036e-08
Position 406: 4.3287913365376085e-08
Position 397: 4.097385198253665e-08
