Gene = TCEANC2
index = 1384
Annotated 5SS: [  158   924 15297 35190]
Annotated 3SS: [  779 15154 34995 42683]
SMsplice 5SS: [  158   924 15297 25683 35190 42768 48927]
SMsplice 3SS: [  779 15154 25572 34995 42683 48822 50555]
top_k =  100
Partition function (log Z): -29.39115059854019

Sorted 5' Splice Sites (High to Low Probability):
Position 924: 0.9807656711423762
Position 158: 0.7555892893583902
Position 395: 0.12614071045640726
Position 269: 0.09318074850050868
Position 2032: 0.02497333559191082
Position 400: 0.008034113683130135
Position 2074: 0.005986967172077475
Position 265: 0.005498091217251194
Position 2199: 0.004764094364349426
Position 319: 0.004236091998234992
Position 169: 0.002477441304913494
Position 345: 0.001568396274866368
Position 2638: 0.0014067621439527844
Position 109: 0.0012329786487772138
Position 162: 0.0011343155704898198
Position 891: 0.0010253843976687613
Position 185: 0.0008508215028314173
Position 432: 0.0005480728381143047
Position 351: 0.0004919853226298947
Position 1159: 0.0003684863950168016
Position 274: 0.0003205044395283036
Position 293: 0.00028367349819953834
Position 480: 0.0002785114719754974
Position 974: 0.00024650156808082873
Position 207: 1.168565599263868e-06
Position 986: 9.948323067084449e-07
Position 63: 9.124256823348941e-07
Position 802: 4.319785979902282e-07
Position 230: 3.6751799590365575e-07
Position 240: 1.3087498480028658e-07
Position 355: 8.071685830354756e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 779: 0.9764050245588333
Position 14730: 0.4755801305959604
Position 15154: 0.189722469183148
Position 5457: 0.08053450770229
Position 8023: 0.0673632591236148
Position 1397: 0.03242458991099564
Position 2728: 0.02819487681444916
Position 1903: 0.02680620370704811
Position 3645: 0.022410275041433177
Position 1074: 0.020904858682882155
Position 1927: 0.01814012582422909
Position 8487: 0.017649955331782985
Position 2143: 0.011448830952355903
Position 8442: 0.008917902955434154
Position 1979: 0.00755394112229164
Position 3774: 0.004239858454783212
Position 850: 0.004232747666892793
Position 756: 0.0037364617719401207
Position 4646: 0.002778307394117721
Position 4974: 0.0026755263028130343
Position 1401: 0.0025507959232800087
Position 2448: 0.00248216022666971
Position 2565: 0.0022105322152465626
Position 303: 0.0019374118726869702
Position 1628: 0.0013873436564451477
Position 3665: 0.0013439577611170793
Position 1310: 0.0011691608876857667
Position 1039: 0.0010859217853263976
Position 3981: 0.00104253143854094
Position 293: 0.000959989924256914
Position 2362: 0.0007336878757541178
Position 3192: 0.0007094388424369898
Position 1957: 0.0005887574932551895
Position 253: 0.0004975536697596189
Position 2387: 0.00040720380065589003
Position 452: 0.00029173625617289313
Position 801: 0.00013405101063837312
Position 369: 5.8310553794582406e-05
Position 290: 1.8882468426400655e-05
Position 605: 1.8424190092525927e-05
Position 696: 1.3838748591951032e-05
Position 637: 1.3787768771606702e-05
Position 622: 9.419167246861192e-06
Position 255: 9.175021609135943e-06
Position 670: 7.968276620814095e-06
Position 738: 3.0887441719989678e-06
Position 542: 1.9724610030931265e-06
