Gene = SEC61B
index = 1239
Annotated 5SS: [  66  343 5700]
Annotated 3SS: [ 244 5597 8035]
SMsplice 5SS: [  66  343 5700]
SMsplice 3SS: [ 244 5597 8035]
top_k =  100
Partition function (log Z): -4.996560295673328

Sorted 5' Splice Sites (High to Low Probability):
Position 5700: 0.9485074027102058
Position 343: 0.8909977487381328
Position 66: 0.7337369474308681
Position 1870: 0.5720539432843011
Position 1688: 0.292131804879058
Position 2883: 0.08710799713785966
Position 6178: 0.03332573873905681
Position 2892: 0.026992778220784594
Position 2148: 0.013548779753900505
Position 170: 0.009099710855534817
Position 2442: 0.00845048033264223
Position 631: 0.004885453146776922
Position 6501: 0.0031413567382021917
Position 142: 0.0016421639982266755
Position 172: 0.0013963636847848166
Position 14: 0.00035383102408132383
Position 34: 0.00011898596397217918
Position 176: 9.003069936871906e-05
Position 28: 1.3029633489450421e-05
Position 427: 3.515411538263631e-06
Position 178: 2.8571600762878306e-06
Position 129: 1.892040785020056e-06
Position 358: 1.8409745836840814e-06
Position 249: 1.923802777193994e-09
Position 272: 4.4126908112837957e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 5597: 1.0000000000000004
Position 8035: 0.7784441613282442
Position 244: 0.5588878820842902
Position 1590: 0.3920574566689877
Position 1768: 0.18122995847533777
Position 1790: 0.14228307662359632
Position 1687: 0.08623672124413395
Position 2575: 0.08096849543507208
Position 1648: 0.054334811043478495
Position 7962: 0.046030806022573825
Position 6318: 0.037841225974581956
Position 2865: 0.03313227992357213
Position 183: 0.022344085404887103
Position 261: 0.01981341080903562
Position 6076: 0.01975686871963703
Position 163: 0.016073717826443464
Position 7042: 0.014569614960529336
Position 145: 0.014527251560751131
Position 6474: 0.013773597632140328
Position 2071: 0.013548779753900493
Position 6332: 0.011039290768149631
Position 6296: 0.010723658461029751
Position 2358: 0.00845048033264222
Position 6524: 0.007685066353741884
Position 7720: 0.007620795482641203
Position 6820: 0.0074836006227607926
Position 1556: 0.006169346268817674
Position 7068: 0.005322162728276105
Position 6087: 0.0047180953869296865
Position 6055: 0.0043611897665929225
Position 5869: 0.004324726304322061
Position 6132: 0.004241525488038462
Position 201: 0.0034868879260112912
Position 527: 0.00290531545116135
Position 284: 0.0027576174302700826
Position 6806: 0.002613807037362941
Position 5778: 0.0026125472360625608
Position 5781: 0.0018117579138504235
Position 297: 0.0012078331338023693
Position 1831: 0.0006714296294099086
Position 1482: 0.0006106027404612601
Position 1613: 0.000592345469135832
Position 302: 0.0001811688227281896
Position 532: 0.00015840276377738824
Position 340: 7.442362473826124e-07
Position 305: 5.567788571052133e-08
