Gene = CPT2
index = 405
Annotated 5SS: [  667  4371  6001 14891]
Annotated 3SS: [ 4289  5893 13585 16834]
SMsplice 5SS: [ 667 4371 6001 7645 8167]
SMsplice 3SS: [ 4289  5893  7520  8093 13585]
top_k =  100
Partition function (log Z): -0.44058795840317755

Sorted 5' Splice Sites (High to Low Probability):
Position 667: 0.9571954060378564
Position 6001: 0.9342176962678356
Position 8167: 0.8630011440890694
Position 4371: 0.7875680954576528
Position 7645: 0.6992002422800176
Position 13848: 0.35552993733348337
Position 1723: 0.27482671537692527
Position 57: 0.24362056148131456
Position 1079: 0.23531410524330448
Position 4391: 0.2096489149434405
Position 22: 0.19832671181184378
Position 6142: 0.15277606948013767
Position 1385: 0.13717882342282908
Position 5414: 0.1335060795279677
Position 5283: 0.07642652846775626
Position 4731: 0.07613160086126786
Position 2139: 0.06722879277795217
Position 6005: 0.0653429246773956
Position 7677: 0.025056459350886802
Position 8288: 0.019630346203032202
Position 13872: 0.01660710267638948
Position 7711: 0.01566183109226052
Position 8456: 0.014562765902215143
Position 14891: 0.01368529728874861
Position 7539: 0.010446424683057452
Position 317: 0.00757598899890084
Position 1039: 0.005452332246680127
Position 71: 0.001557299924751145
Position 401: 0.0009951261987686136
Position 313: 0.0009651926925962128
Position 224: 0.0009568476015009761
Position 412: 0.0006057742006472857
Position 560: 0.00045597740791544935
Position 6021: 0.0004393790547690767
Position 382: 0.0003086931590961476
Position 124: 0.00021129703021830328
Position 300: 0.00016296871671294498
Position 345: 1.3711234274725359e-08
Position 90: 8.249307166964056e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 4289: 0.9972170104010932
Position 5893: 0.9670085870335814
Position 8093: 0.7826340644164353
Position 13585: 0.5932098310239803
Position 7520: 0.48202701103157564
Position 502: 0.39014547533281574
Position 1586: 0.2744039155960439
Position 16181: 0.2559596091082866
Position 16834: 0.2431245909977368
Position 7488: 0.18845809938112823
Position 16351: 0.16148760056176142
Position 873: 0.15424942924179433
Position 6086: 0.15300157286182806
Position 5282: 0.13350607952796767
Position 14445: 0.11765427749567989
Position 8038: 0.10768119996804494
Position 7628: 0.0693941022742545
Position 5154: 0.06765386839428386
Position 1956: 0.06287480005649786
Position 1183: 0.047459833756971055
Position 1153: 0.04050295068276075
Position 4627: 0.03755649850135011
Position 5778: 0.032991412966418915
Position 4624: 0.031049419932459257
Position 894: 0.02805769193651805
Position 947: 0.02488008116292317
Position 1296: 0.021339037514409
Position 919: 0.018496885779835926
Position 462: 0.013455478539486719
Position 8019: 0.011037424947897008
Position 1328: 0.010823786863048893
Position 7374: 0.01080638165821683
Position 1376: 0.010553491111321355
Position 5126: 0.008772660073472436
Position 591: 0.007436150726408573
Position 4479: 0.006919660269550552
Position 1002: 0.006619292587607278
Position 838: 0.0058828571539347885
Position 1871: 0.00435399272145431
Position 8419: 0.0036870445705706294
Position 11735: 0.003025889368865582
Position 10330: 0.0022422250517803778
Position 372: 0.002038469546091107
Position 338: 0.001968214126339845
Position 1341: 0.0019374186882221954
Position 1128: 0.001519559859733569
Position 986: 0.001429477273334027
Position 579: 0.0006769357850051753
Position 4665: 0.0006060221579079213
Position 9799: 0.0004341914515656654
Position 1603: 0.00042279978088137217
Position 613: 0.00036597027713973436
Position 7064: 0.0002925042096902609
Position 239: 0.0002574689568875183
Position 177: 0.00023134225479838562
Position 469: 0.00017150214594909845
Position 951: 0.0001304515929530851
Position 341: 7.306111300179008e-05
Position 622: 5.558556930983465e-05
Position 199: 4.305412462812623e-05
Position 652: 3.75082258969247e-05
Position 843: 2.7691009078294577e-05
Position 300: 6.791909994100365e-06
Position 345: 5.8332709424730064e-06
Position 151: 4.268341703688878e-06
Position 317: 4.097504986038408e-08
Position 131: 4.069958292318746e-08
