Gene = CPTP
index = 406
Annotated 5SS: [ 336 2266]
Annotated 3SS: [2068 2473]
SMsplice 5SS: [336]
SMsplice 3SS: [2473]
top_k =  100
Partition function (log Z): -6.404802821216949

Sorted 5' Splice Sites (High to Low Probability):
Position 336: 0.8484816468994033
Position 2266: 0.4431947523640075
Position 2673: 0.1782842140959294
Position 1197: 0.17527307250654905
Position 3060: 0.12735566477986818
Position 221: 0.09446199881395906
Position 111: 0.06203131139464976
Position 3269: 0.04493662316280247
Position 2186: 0.03697884428405807
Position 829: 0.0319642048515753
Position 1926: 0.017199760372641048
Position 1726: 0.015608460415550949
Position 2293: 0.010106771178291056
Position 62: 0.006408724373570525
Position 3120: 0.004430395847424316
Position 3162: 0.004090649672297031
Position 2222: 0.0027154813489685976
Position 2859: 0.002589996613255873
Position 2163: 0.002115167627474261
Position 1686: 0.0006525265505174512
Position 1844: 0.0002823985523040034
Position 682: 0.00021450524122415706
Position 23: 3.0464912996536244e-05
Position 364: 2.4178155791095896e-05
Position 119: 2.129508435025115e-05
Position 1183: 2.0176432413732172e-05
Position 516: 1.8813719660436608e-05
Position 311: 1.95825488524713e-06
Position 149: 1.0620999888915612e-08
Position 295: 5.73494651182048e-09
Position 274: 1.1214224457439589e-09
Position 369: 4.3734967926278186e-10
Position 345: 2.4942784134274e-10
Position 306: 1.485507465297333e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 2473: 0.6236365969337617
Position 2068: 0.4396436359845581
Position 3861: 0.30236988130572595
Position 3035: 0.23613341575427269
Position 3590: 0.11170441231853696
Position 1081: 0.0963496455390265
Position 2162: 0.05688767522097396
Position 1595: 0.0520814000073715
Position 1090: 0.03518490079097419
Position 2516: 0.034042355889470174
Position 2376: 0.02694637128358715
Position 1033: 0.024604507203091125
Position 202: 0.01980955695965794
Position 565: 0.014178336918737187
Position 455: 0.007112590533097319
Position 1142: 0.0068552638286658455
Position 306: 0.005150396069375615
Position 656: 0.004804976945830833
Position 1132: 0.003989875901041653
Position 424: 0.0033381160221778393
Position 2357: 0.001369234765298963
Position 1703: 0.0009127960377068734
Position 591: 0.0005556590300509273
Position 282: 0.0005024728013564918
Position 1160: 0.0004300998397697239
Position 898: 0.0004024644787079262
Position 799: 0.0003072074930693956
Position 693: 4.544414266971558e-05
Position 624: 3.371276855021734e-05
Position 598: 2.484647291128268e-05
Position 220: 1.837522261241742e-05
Position 824: 1.3482297103805634e-05
Position 604: 1.2821940059997254e-05
Position 793: 1.184405390208183e-05
Position 726: 1.0685137260958295e-05
Position 279: 9.529245498445457e-06
Position 703: 6.689539499611519e-06
Position 158: 2.79914315068846e-06
