Gene = UBIAD1
index = 1520
Annotated 5SS: [855]
Annotated 3SS: [12437]
SMsplice 5SS: [  116  2107 12527]
SMsplice 3SS: [ 2043 12437 14357]
top_k =  100
Partition function (log Z): -11.66105458680131

Sorted 5' Splice Sites (High to Low Probability):
Position 2107: 0.954626760476756
Position 12527: 0.6097744179460391
Position 855: 0.5093579930840358
Position 116: 0.4212412488675616
Position 230: 0.2845076520032508
Position 944: 0.10969801414010762
Position 618: 0.10328558359003119
Position 280: 0.059556427314299956
Position 578: 0.03203786976118647
Position 123: 0.01073699906297771
Position 724: 0.010266520270102065
Position 341: 0.007100125290070163
Position 5533: 0.0037384304059628016
Position 157: 0.002437877308242286
Position 555: 0.0006983318399900017
Position 755: 0.0003595059903531326
Position 2574: 4.4558068225165496e-05
Position 126: 6.332054857445374e-07
Position 70: 5.425122327763047e-07
Position 460: 4.0646500743847556e-07
Position 150: 1.4756547887679465e-09
Position 155: 1.3612572840811915e-09
Position 173: 7.6150729257947e-11
Position 206: 4.5948995836187286e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 2043: 0.9550365760874094
Position 12437: 0.7278019646888754
Position 14357: 0.4005367928266945
Position 652: 0.3221040005646436
Position 13354: 0.2092376251193444
Position 851: 0.13506959558816836
Position 5431: 0.10733686506240162
Position 884: 0.0492901529608267
Position 8799: 0.040984655328804534
Position 712: 0.03638800318193163
Position 5650: 0.023851229019571655
Position 4465: 0.022413277095833753
Position 7897: 0.014674091151397626
Position 5683: 0.01237377392077552
Position 7795: 0.011547148054263049
Position 6242: 0.00975299169021876
Position 546: 0.009260006863954699
Position 7381: 0.008748176405635851
Position 4486: 0.004920285759875071
Position 7361: 0.0036134481101649887
Position 5470: 0.0033317562721195083
Position 3165: 0.002615470955919099
Position 570: 0.002614287994277745
Position 340: 0.0017039605419539832
Position 3209: 0.0010787772466555041
Position 1012: 0.000914900328999705
Position 298: 0.000747282696450906
Position 1428: 0.0003701098186587446
Position 531: 0.00033191419911614663
Position 428: 0.00028940403471176807
Position 201: 0.00018788053924794588
Position 457: 0.0001232052330489143
Position 486: 9.752064611248116e-05
Position 2424: 4.4558068225165496e-05
Position 432: 3.0727048687712464e-05
Position 453: 2.3025722472870335e-05
Position 355: 1.3143072351133181e-05
Position 501: 9.419395818757283e-06
Position 670: 1.8972653098340167e-06
