Gene = COX7C
index = 402
Annotated 5SS: [ 227 1593]
Annotated 3SS: [1448 2763]
SMsplice 5SS: [ 227  569 1593]
SMsplice 3SS: [ 484 1448 2763]
top_k =  100
Partition function (log Z): -3.7576604582769537

Sorted 5' Splice Sites (High to Low Probability):
Position 569: 0.6695755225523125
Position 1593: 0.5813906184118591
Position 227: 0.5506942480458206
Position 150: 0.3683511776082771
Position 1539: 0.22762203183455365
Position 1975: 0.22543618726851397
Position 2449: 0.1098174696994931
Position 522: 0.0547149561688121
Position 191: 0.030912392286743154
Position 518: 0.02806567115867409
Position 1802: 0.025542520718111975
Position 604: 0.018683978205057284
Position 195: 0.011868747237658303
Position 235: 0.00987331039197494
Position 1596: 0.009179248300665277
Position 2929: 0.008512271984784077
Position 88: 0.007662925546109881
Position 548: 0.007269304561362279
Position 2894: 0.0041014997069606885
Position 175: 0.003969781206946295
Position 809: 0.0032322493608248275
Position 763: 0.0026883588617557697
Position 93: 0.0022711702123027256
Position 2384: 0.002184009727382005
Position 67: 0.002143407291146055
Position 427: 0.0020250064481580742
Position 379: 0.001815923876975408
Position 770: 0.001723868011186955
Position 638: 0.001582176940676827
Position 82: 0.0014304919017421593
Position 664: 0.001397322128429739
Position 862: 0.00111813542172286
Position 645: 0.001009054353344353
Position 1282: 0.0005338853013009014
Position 1177: 0.0005127444693726994
Position 1139: 0.0004815592781045035
Position 687: 0.00031975216264105023
Position 231: 5.3181223012140165e-05
Position 44: 1.9129665893297952e-06
Position 404: 1.1897397052715225e-06
Position 154: 5.251749851695716e-07
Position 3: 3.600286247927667e-07
Position 188: 1.1081824579227611e-07
Position 70: 5.055277035080613e-10
Position 110: 4.049780994212194e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 1448: 0.8943680533616502
Position 2763: 0.8883276695542291
Position 484: 0.7833708535840551
Position 1834: 0.1428115658131137
Position 2276: 0.11104416120256845
Position 1801: 0.06766869582547393
Position 2081: 0.02863104356346047
Position 3009: 0.021984698290984424
Position 1661: 0.013401303342367363
Position 1690: 0.00627299714803501
Position 1400: 0.0061915706974157375
Position 1397: 0.00429625090315381
Position 1464: 0.0033646031690241027
Position 1955: 0.0020801708495466293
Position 686: 0.0012619382417565455
Position 135: 0.001246747482784435
Position 1138: 0.0010466297706736016
Position 488: 0.001027835254403354
Position 294: 0.0008157076384427792
Position 964: 0.00048155927810450373
Position 198: 6.746502878058583e-05
Position 521: 3.900686156933095e-06
Position 163: 2.2756343743859834e-06
Position 137: 1.3456528672539887e-06
Position 426: 7.41690928291042e-07
Position 454: 3.987127102681082e-07
Position 367: 7.676188310484775e-08
