Gene = BOLA1
index = 138
Annotated 5SS: [  234 11786]
Annotated 3SS: [11572 11955]
SMsplice 5SS: [234]
SMsplice 3SS: [12235]
top_k =  100
Partition function (log Z): -13.534462867238574

Sorted 5' Splice Sites (High to Low Probability):
Position 234: 0.97433760228111
Position 1429: 0.05774027677348914
Position 1434: 0.02633720705387553
Position 1230: 0.02295640016310942
Position 7030: 0.021356146828441495
Position 465: 0.019858737741451745
Position 95: 0.019757716369381745
Position 121: 0.0016276125956203456
Position 238: 0.0011246481415651312
Position 158: 0.0007892297129490143
Position 198: 0.0005291701750408303
Position 512: 0.0003001859746644286
Position 660: 0.00028689047400170576
Position 1134: 0.00021502492372321963
Position 561: 0.00015607591842627358
Position 72: 5.688173258673412e-06
Position 131: 3.2917956361433877e-06
Position 43: 3.117934668213083e-07
Position 349: 2.8110622504472993e-07
Position 134: 9.96814651049453e-09
Position 326: 6.562445257227272e-09
Position 17: 7.554832222349221e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 384: 0.2802576961324854
Position 12235: 0.2621794006599634
Position 6763: 0.17456934121442721
Position 1327: 0.12384750288182414
Position 8866: 0.07454567524084768
Position 4827: 0.04417336375830596
Position 952: 0.027184954941835343
Position 2529: 0.021576884781536465
Position 2330: 0.020943844395590806
Position 920: 0.017316127366626063
Position 5639: 0.012176008141896184
Position 6631: 0.011327348257409985
Position 1125: 0.01095655005833973
Position 4852: 0.00699730932328389
Position 1161: 0.006680504895998256
Position 5635: 0.0062757843158720685
Position 391: 0.00589375685286804
Position 1206: 0.005653809010354749
Position 537: 0.005623762710118177
Position 1895: 0.004068283233917848
Position 1510: 0.003576516116777062
Position 1487: 0.002915141307584861
Position 707: 0.002861704208389582
Position 4221: 0.0021760878122277674
Position 3783: 0.001739902643871716
Position 2727: 0.001681756065127558
Position 2731: 0.0016448951933154088
Position 601: 0.0015179140839819
Position 2590: 0.0013211895873486753
Position 2418: 0.0012506699280791951
Position 1702: 0.0010334816584246908
Position 168: 0.0009919920202469848
Position 872: 0.0007595574710243446
Position 923: 0.0006443763185943793
Position 418: 0.0006233397993075865
Position 1083: 0.0001980442577051146
Position 1072: 0.00012199987876172698
Position 175: 3.6381542569662785e-05
Position 218: 2.2477612251723846e-05
Position 183: 9.473018945530951e-06
Position 1295: 6.0373023036925335e-06
Position 150: 8.076864754266224e-07
Position 180: 2.921412313644898e-07
Position 343: 2.3243140012190212e-07
Position 341: 1.80373914521717e-07
Position 187: 5.4491240919729204e-08
Position 288: 4.765469021672659e-08
Position 427: 2.4297626900747462e-08
Position 440: 2.0129970530575674e-08
Position 106: 9.32669273232537e-09
