Gene = PDPN
index = 1008
Annotated 5SS: [  636 23842 27052 30261 30947]
Annotated 3SS: [23707 26921 30221 30834 32439]
SMsplice 5SS: [  636 23842 27052 30947]
SMsplice 3SS: [23707 26921 30834 33261]
top_k =  100
Partition function (log Z): -24.213207371238475

Sorted 5' Splice Sites (High to Low Probability):
Position 636: 0.989954911211262
Position 2250: 0.5445340289981877
Position 398: 0.283845641731446
Position 376: 0.11425144818421902
Position 1730: 0.10817255601176728
Position 1250: 0.07989189732599686
Position 2274: 0.06062312340505964
Position 383: 0.05892913567660429
Position 211: 0.04497750563881557
Position 77: 0.03880772396869039
Position 361: 0.014571995569896926
Position 877: 0.008299829570783221
Position 1295: 0.0020439133188915226
Position 39: 0.001781594576441785
Position 112: 0.0005037099736896835
Position 715: 0.0002477590605442002
Position 754: 0.00011918736055511073
Position 578: 0.00010789365930871139
Position 724: 0.00010231012492657778
Position 463: 5.613263658598261e-05
Position 144: 3.200400051472464e-05
Position 123: 2.489467084584909e-05
Position 126: 2.1225841051389026e-05
Position 182: 1.6221284332097457e-05
Position 496: 1.6051079030668136e-06

Sorted 3' Splice Sites (High to Low Probability):
Position 2127: 0.43900935838553207
Position 5238: 0.4272076139680219
Position 544: 0.42160980271757253
Position 1541: 0.1355947457471791
Position 517: 0.13498650631162154
Position 2174: 0.11823485061757924
Position 2490: 0.09693899109453356
Position 1201: 0.09272785451959777
Position 8062: 0.07095437907767167
Position 2042: 0.059667435882978195
Position 7497: 0.05606070090722085
Position 3821: 0.054287719225915805
Position 2154: 0.05204379347438452
Position 4928: 0.03925806194848951
Position 2603: 0.033574940959420096
Position 991: 0.028613702099856298
Position 5708: 0.021620697890549715
Position 1557: 0.020216622325209023
Position 1885: 0.01162546251741939
Position 768: 0.010214079864251558
Position 1157: 0.00791699772057988
Position 1908: 0.007222420267219294
Position 1127: 0.005926104798672822
Position 2458: 0.004427357224793489
Position 522: 0.001078197789657527
Position 1986: 0.0007046742668786437
Position 477: 0.00012420638417045133
Position 968: 2.6043235712616832e-05
Position 547: 1.445540647168059e-05
Position 732: 1.0574045593956584e-05
Position 815: 9.44548918198433e-06
Position 629: 3.1704975740900195e-06
Position 396: 2.2245491055765975e-06
Position 606: 1.5500103568732567e-06
Position 824: 1.0314240042205219e-06
Position 797: 8.734770236304572e-07
Position 723: 8.709278608782408e-07
Position 577: 2.0420757717318033e-07
Position 152: 2.0186048272361126e-07
Position 549: 1.1135469567713727e-07
Position 584: 9.364238463091842e-08
Position 632: 7.453602681713026e-08
Position 182: 3.959333940814997e-08
Position 791: 6.663948023377332e-09
