Gene = GKAP1
index = 593
Annotated 5SS: [  226   747 11441 18558 29142 33028 37361 48925 64485 69434 75213 75791]
Annotated 3SS: [  614 11181 18413 29063 32903 37337 48771 64382 69369 75141 75712 77997]
SMsplice 5SS: [  226   747 11441 18558 28395 33028 51118 57723 64485 69434 75213 75791]
SMsplice 3SS: [  614 11181 18413 28292 32903 51014 57642 64382 69369 75141 75712 77997]
top_k =  100
Partition function (log Z): -34.41843518933144

Sorted 5' Splice Sites (High to Low Probability):
Position 747: 0.9999871812238469
Position 18558: 0.9969416228171637
Position 226: 0.9417559386163742
Position 11441: 0.5558446310858174
Position 11325: 0.44408010757879235
Position 19731: 0.3266082714529664
Position 24792: 0.30731793672747965
Position 20048: 0.09454022924838111
Position 25533: 0.03891566752858047
Position 511: 0.02963154038873205
Position 282: 0.009094192524393538
Position 46: 0.008622134856615107
Position 230: 0.004782886091117532
Position 142: 0.004752359907038007
Position 20526: 0.002942318299952387
Position 327: 0.0006121288282746062
Position 22: 0.0005377516605278819
Position 257: 9.188623804920237e-05
Position 259: 5.313286186824895e-05
Position 61: 4.0650079548694264e-05
Position 489: 2.5279617174032183e-05
Position 1478: 1.4957403939034544e-05
Position 874: 9.981083619281755e-07
Position 895: 1.2629056329672608e-08
Position 615: 3.909984951204023e-09
Position 703: 1.8277459557384435e-09
Position 640: 9.564308629823528e-10
Position 645: 8.273678387728742e-10
Position 718: 8.213847027583524e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 11181: 0.9999247386646066
Position 18413: 0.9997998313816665
Position 614: 0.9714720979189924
Position 25402: 0.6856319231771639
Position 24643: 0.3908235586092459
Position 19643: 0.3152568119508677
Position 19857: 0.11623899789806388
Position 25836: 0.07216077736144308
Position 22588: 0.06427772804359512
Position 26933: 0.0547186850670413
Position 19653: 0.029478533513806103
Position 644: 0.028517154520175548
Position 23577: 0.017589828554441963
Position 21779: 0.008623804754106741
Position 19694: 0.005548858194530181
Position 20421: 0.002942318299952387
Position 18815: 0.0028155429894547884
Position 18754: 0.0011586776608083023
Position 11632: 0.00012490728293872229
Position 6073: 1.901982928055589e-05
Position 1382: 1.5052941658217396e-05
Position 5085: 1.3835914071937132e-05
Position 1219: 6.588868097990517e-06
Position 3039: 4.116512306772573e-06
Position 1580: 3.710074639421282e-06
Position 2232: 3.4485722269652103e-06
Position 972: 3.3698672826028107e-06
Position 2597: 2.483419325196494e-06
Position 4752: 1.914208216881761e-06
Position 3835: 1.8217602119590493e-06
Position 1930: 1.7999226239596078e-06
Position 4616: 1.674220740317781e-06
Position 796: 1.6600046716696794e-06
Position 858: 1.511414208089594e-06
Position 2177: 1.2937216841926878e-06
Position 2578: 1.207133778730375e-06
Position 3650: 1.1210617600377043e-06
Position 1725: 9.229145652848333e-07
Position 838: 8.863993963149392e-07
Position 3174: 8.722309108095099e-07
Position 1194: 5.813874948081853e-07
Position 458: 7.648685974341496e-08
Position 773: 3.948574076010987e-08
Position 640: 2.0594352305954437e-08
Position 1300: 1.0336634368877271e-08
Position 510: 5.574242227277883e-09
Position 560: 1.897850746280071e-09
Position 623: 6.692230457259707e-10
Position 689: 6.459379099564418e-10
Position 419: 1.5073173612348915e-10
Position 655: 2.9178017213013124e-11
Position 710: 2.415034462339085e-11
