Gene = LZTFL1
index = 810
Annotated 5SS: [  178  4240  6577  7929  9117 11094 11254 13728 14811]
Annotated 3SS: [ 4114  6381  7867  9044 11027 11175 13550 14706 15833]
SMsplice 5SS: [  178  6577  7929  9117 11094 11254 13728 14811]
SMsplice 3SS: [ 6381  7867  9044 11027 11175 13607 14706 15833]
top_k =  100
Partition function (log Z): -3.9826661716403846

Sorted 5' Splice Sites (High to Low Probability):
Position 11094: 0.9845566675759948
Position 13728: 0.975384085255625
Position 14811: 0.8645712128795724
Position 6577: 0.8510422703240226
Position 7929: 0.7491680085503755
Position 9117: 0.6553548613885294
Position 11254: 0.6335137061760966
Position 4240: 0.514093160899813
Position 178: 0.5019071226024191
Position 472: 0.457460978700516
Position 9196: 0.34464513861146934
Position 12999: 0.3370203276754022
Position 5656: 0.09648991643220012
Position 17538: 0.09406634954808406
Position 2539: 0.08538782079835155
Position 1850: 0.023730462053793453
Position 250: 0.02175121437537352
Position 709: 0.018043007903763824
Position 7287: 0.010312479313153136
Position 15494: 0.010105920373161551
Position 6535: 0.00989627395149596
Position 1716: 0.00359387261930506
Position 2699: 0.003037246518580744
Position 508: 0.0003473876770187954
Position 367: 0.00034485870014980524
Position 998: 0.00014543004075646553

Sorted 3' Splice Sites (High to Low Probability):
Position 11027: 0.9845566675759944
Position 9044: 0.9822663700355955
Position 7867: 0.7491680085503759
Position 14706: 0.7106230965185841
Position 11175: 0.6360433922466202
Position 6381: 0.6225279947772028
Position 13607: 0.5552108804959797
Position 4114: 0.463739742912614
Position 15833: 0.4319138634898967
Position 13550: 0.4201732047596455
Position 12903: 0.33702032767540213
Position 18820: 0.24973186522843382
Position 17298: 0.14318160157837304
Position 6332: 0.12923415861161275
Position 6357: 0.10917639088670308
Position 5514: 0.09648991643220013
Position 2410: 0.0884250673169323
Position 14703: 0.07936814020735788
Position 17123: 0.07406540946076791
Position 17369: 0.0630138326780184
Position 14678: 0.06179854522137803
Position 4118: 0.05035341798719907
Position 18333: 0.02483037381156907
Position 1627: 0.02306695307132212
Position 14416: 0.017814406204150722
Position 9020: 0.017733629964402545
Position 14727: 0.017620103572619537
Position 15004: 0.015116881044533821
Position 16623: 0.014721280164259939
Position 14578: 0.013558815261686395
Position 15377: 0.013118358321051623
Position 7029: 0.010312479313153136
Position 14879: 0.009499893004426059
Position 16955: 0.007783202846821581
Position 12569: 0.00478550481280177
Position 13849: 0.003795520498826006
Position 1527: 0.003718710961535699
Position 13961: 0.0035792187667099675
Position 14038: 0.003161865730077052
Position 13979: 0.0031320183079503964
Position 1759: 0.0005386706402407133
