Gene = SPINK14
index = 1315
Annotated 5SS: [  67 1241 4638]
Annotated 3SS: [1196 4500 5619]
SMsplice 5SS: [  67 4638]
SMsplice 3SS: [4500 5619]
top_k =  100
Partition function (log Z): -8.371654747750064

Sorted 5' Splice Sites (High to Low Probability):
Position 67: 0.8587311685867077
Position 1241: 0.4974707750521663
Position 4638: 0.3840813211252293
Position 2355: 0.22971699140319102
Position 599: 0.12601703635381967
Position 4669: 0.1060569332852549
Position 2385: 0.08913130229289598
Position 816: 0.04108924483433075
Position 2447: 0.014567063607749313
Position 2473: 0.010204377283585652
Position 4623: 0.00946396871912567
Position 4850: 0.008315249549726934
Position 279: 0.001807563546114478
Position 71: 0.001153765193310127
Position 586: 0.00045376129326710934
Position 1022: 0.00039305815025557204
Position 730: 0.00028342179182155614
Position 805: 0.0001613966759698575
Position 606: 2.9411545055548574e-05
Position 612: 7.591052292966747e-06
Position 83: 2.3091188028892117e-06
Position 185: 2.0943202009719847e-06
Position 110: 1.729350115375985e-06
Position 298: 1.6741691388557147e-06
Position 18: 1.6356028968834458e-06
Position 224: 1.471008149398941e-06
Position 370: 1.4038413417370234e-06
Position 96: 1.862168714308268e-08
Position 54: 1.0405825974481619e-08
Position 153: 2.188202610343508e-10
Position 32: 4.239456475009466e-11
Position 56: 2.626089978277872e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 5619: 0.8420382390273418
Position 4500: 0.6077301236841285
Position 1139: 0.4190759317987004
Position 2267: 0.22979245497701797
Position 2318: 0.07443190946123009
Position 2147: 0.045075733510511265
Position 1196: 0.04437102154106471
Position 717: 0.043308042767114883
Position 4144: 0.013695371592834243
Position 1159: 0.009797176588416955
Position 1117: 0.009278607294596378
Position 4849: 0.006415564842618069
Position 4715: 0.006304270417725675
Position 900: 0.00599574559652817
Position 4688: 0.003127492921550801
Position 3964: 0.0026193002037960076
Position 1202: 0.002571553149050698
Position 220: 0.0024937548507645685
Position 4168: 0.0024826890029404297
Position 1267: 0.0019729861943887476
Position 1971: 0.0017779213161336009
Position 3457: 0.0016506084351024823
Position 3826: 0.0008363819005137044
Position 1621: 0.000705999588882266
Position 482: 0.0007014917879933381
Position 1332: 0.0003640975478882784
Position 1019: 0.00019680260040443008
Position 517: 0.0001150291090345791
Position 722: 7.17493138221745e-05
Position 259: 5.97338472895797e-05
Position 661: 3.627239372029383e-05
Position 298: 3.140949578541475e-05
Position 719: 1.2185975929234642e-05
Position 423: 9.96892743484721e-06
Position 982: 7.094335493909651e-08
Position 795: 1.610614229037647e-08
Position 570: 8.804906191437619e-09
Position 278: 8.042664300838195e-09
Position 222: 6.628698468189398e-09
Position 519: 6.518043966108458e-09
Position 490: 5.931470371369491e-09
Position 556: 3.429970006496091e-09
