Gene = AMT
index = 77
Annotated 5SS: [ 393  650 1262 2543 3044 3494 3783 4936]
Annotated 3SS: [ 481 1180 2410 2964 3347 3601 4779 5034]
SMsplice 5SS: [ 315  650 1262 3044 3494 3783 4936 5139]
SMsplice 3SS: [ 495 1180 2964 3347 3601 4779 5034 5523]
top_k =  100
Partition function (log Z): -1.0347576240584868

Sorted 5' Splice Sites (High to Low Probability):
Position 3044: 0.9090139523430699
Position 650: 0.8034419843130968
Position 315: 0.7983845229265415
Position 3494: 0.7462817647084831
Position 1262: 0.7179719724607135
Position 3783: 0.6661543509558967
Position 4936: 0.5829255170704957
Position 5139: 0.5827168365352176
Position 2543: 0.2700168053033904
Position 393: 0.12849922434713051
Position 1062: 0.07452128248054883
Position 3139: 0.06879177544675479
Position 3662: 0.05493941233971006
Position 4016: 0.04791519623852414
Position 2098: 0.03603393104177385
Position 5265: 0.031859940708094336
Position 3365: 0.027881434886236123
Position 2707: 0.025760134765614645
Position 3486: 0.010720282446803031
Position 2491: 0.006116581197207928
Position 2092: 0.005350511343451726
Position 1012: 0.0052369183182364686
Position 794: 0.003043631594872574
Position 4821: 0.0026996502812819717
Position 3820: 0.002174494764238689
Position 1028: 0.0012381361291728937
Position 90: 0.0012022454207600685
Position 131: 0.000822334637517481
Position 121: 0.0007911663549752714
Position 956: 0.0007715611392678001
Position 124: 0.000749466640910458
Position 1076: 0.0006505553070070108
Position 273: 0.0005496477292951784
Position 10: 0.0004797842524299115
Position 405: 0.00019842930220315038
Position 421: 0.00017889455830179675
Position 772: 0.00014482457235808993
Position 382: 6.28606492477036e-05
Position 25: 8.157569638993283e-06
Position 216: 1.0183849780833436e-06
Position 42: 6.451436771682881e-07
Position 552: 6.129405703434695e-08
Position 261: 4.642898019638132e-08
Position 264: 4.391702351755861e-08
Position 259: 2.597339820611034e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 2964: 0.977805727789825
Position 3601: 0.7411411867202848
Position 5034: 0.6444986907615919
Position 1180: 0.6307252232444625
Position 495: 0.6026899852237046
Position 4779: 0.5931432274906082
Position 3347: 0.5354845024621109
Position 5523: 0.5175632936057637
Position 2410: 0.27613338650059843
Position 5072: 0.26634484307297746
Position 3243: 0.16855763911074143
Position 481: 0.11163977947935576
Position 5385: 0.10167026836380821
Position 1142: 0.07071304649904828
Position 892: 0.06402364478519473
Position 3417: 0.05632751667865654
Position 5075: 0.043874148024376766
Position 1969: 0.03470961639034784
Position 3934: 0.031813231231592284
Position 3909: 0.018050614821954584
Position 3359: 0.015568326866370073
Position 2588: 0.01438421127054935
Position 5244: 0.011681723248749453
Position 484: 0.01166658050848027
Position 1127: 0.011378706654048897
Position 951: 0.010444533632020667
Position 3283: 0.008945496923643515
Position 2564: 0.007801281660297703
Position 847: 0.007565374699392422
Position 1952: 0.006651292744277185
Position 466: 0.005328180717652553
Position 703: 0.003812478418070692
Position 2614: 0.0035746418347676018
Position 191: 0.0030907969820808162
Position 3617: 0.0016041715517507047
Position 649: 0.0006391296370991644
Position 448: 0.000617859218824155
Position 1048: 0.0005860712405080534
Position 939: 0.0004878008071860413
Position 984: 0.00045718692965663986
Position 997: 0.0004390198517842633
Position 382: 0.0003471668001553251
Position 613: 0.00030552536547963604
Position 225: 0.00026660921248221814
Position 1103: 0.0002480840097007318
Position 1186: 0.00023893033104043242
Position 471: 0.00023269972137533962
Position 571: 0.00022807975736165403
Position 973: 0.00021439133041208674
Position 566: 0.00015722561554838463
Position 259: 0.00011253402430504817
Position 296: 0.00010143096971215084
Position 211: 8.06354949988168e-05
Position 392: 2.9259203757727273e-05
Position 793: 2.3589714537280737e-05
Position 1924: 2.35332506005525e-05
Position 207: 1.6536892029691922e-05
Position 159: 1.4724232077383898e-05
Position 683: 7.831793285153756e-06
Position 558: 6.792684346879034e-06
Position 350: 3.919490279201675e-06
Position 434: 3.7787966732837537e-06
Position 227: 2.866476252620034e-06
Position 209: 1.4076423566588114e-06
Position 222: 2.3759602170295668e-08
