Gene = RBM8A
index = 1124
Annotated 5SS: [ 177  519  728 1055 1496]
Annotated 3SS: [ 458  649  917 1358 1608]
SMsplice 5SS: [ 177  519  752 1055 1496]
SMsplice 3SS: [ 458  649  917 1358 1608]
top_k =  100
Partition function (log Z): 9.34502356223926

Sorted 5' Splice Sites (High to Low Probability):
Position 1055: 0.9920525495806098
Position 1496: 0.9807890247471962
Position 519: 0.969906567379671
Position 177: 0.8869125313409799
Position 728: 0.48600275753105987
Position 752: 0.4770034393733754
Position 1658: 0.3100762815758889
Position 1674: 0.2118172767118888
Position 215: 0.07847670673569458
Position 747: 0.021057923488755338
Position 383: 0.016916410401032724
Position 3592: 0.01456068950126954
Position 767: 0.00776683217468031
Position 2170: 0.006230321729762358
Position 2134: 0.0050857373324674476
Position 365: 0.004817188078474419
Position 199: 0.004049551140734175
Position 371: 0.0038527951877025597
Position 263: 0.0036870544427277732
Position 732: 0.0035447575444455823
Position 1763: 0.0034394857139344558
Position 2628: 0.0032156417332099385
Position 1260: 0.0030944372627265903
Position 1525: 0.002855863055997454
Position 1102: 0.002294437445828313
Position 1771: 0.0021737923232532847
Position 63: 0.0017394549537134074
Position 367: 0.001519809823506627
Position 1242: 0.0008551787319183979
Position 539: 0.0008010307307521152
Position 388: 0.0006094021519471112
Position 1216: 0.0004092046654110828
Position 760: 0.0003813437900407624
Position 552: 0.00035243617420311523
Position 1227: 0.00031197225462992
Position 770: 0.00012542579183290572
Position 773: 9.608998156823847e-05
Position 1474: 7.828857732021188e-05
Position 1460: 6.618482578621323e-05
Position 792: 4.911920740503988e-05
Position 260: 3.950113321799399e-05
Position 674: 3.929160049816907e-05
Position 802: 3.72775808449106e-05
Position 1467: 3.6639271368080546e-05
Position 1452: 2.0783856458724552e-05
Position 635: 1.5038710173660019e-05
Position 335: 1.5028780381090092e-05
Position 525: 1.4568621115268366e-05
Position 1728: 1.3895115840889571e-05
Position 764: 1.3866598785821013e-05
Position 1519: 1.212644695441406e-05
Position 1782: 7.21193374166334e-06
Position 1361: 3.7534387971383158e-06
Position 1869: 2.762019875686711e-06
Position 1774: 2.5490589739779813e-06
Position 18: 1.5020860976047436e-07
Position 119: 7.62812967748867e-08
Position 186: 6.825074590384445e-08
Position 3: 1.3167959429476936e-08
Position 1064: 1.136050513644002e-10
Position 53: 5.323685661033059e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 917: 0.9936689037032472
Position 1608: 0.9810852618820837
Position 1358: 0.9678282433156206
Position 649: 0.9213490911048785
Position 458: 0.84137371636076
Position 1941: 0.18736342208340726
Position 2894: 0.0836220541478279
Position 5318: 0.08235363683474052
Position 267: 0.07862362880071999
Position 596: 0.06336054605041938
Position 3570: 0.037528265298840464
Position 5701: 0.03618159280066024
Position 2465: 0.03048471787252122
Position 321: 0.028085610542749464
Position 1937: 0.023952743453809534
Position 2358: 0.02389478487132065
Position 427: 0.014964183590463174
Position 4868: 0.014955673044477567
Position 1371: 0.011498543146142053
Position 3700: 0.0110900649441354
Position 2374: 0.01003401137872885
Position 1610: 0.010021610312287278
Position 652: 0.009961626349948877
Position 2427: 0.008094636236064708
Position 5854: 0.006068747330514293
Position 303: 0.0050927654913025455
Position 1391: 0.0041717532214397696
Position 1961: 0.0028819537130563215
Position 386: 0.0025672174824277203
Position 3962: 0.0024953562922890348
Position 1774: 0.0018045248463348178
Position 926: 0.0017803120384278343
Position 1140: 0.0017394899749074097
Position 327: 0.001533243531436333
Position 2778: 0.0013794610929141558
Position 324: 0.0010982888994216888
Position 950: 0.0007214952276540334
Position 1142: 0.0006858259199321995
Position 1185: 0.0006367833858565873
Position 689: 0.0006202731609828753
Position 1323: 0.00042161767406444
Position 462: 0.00040783450831883357
Position 1442: 0.0003119248169737738
Position 1427: 0.00029591757241568644
Position 460: 0.0002462693515869036
Position 1395: 0.0002456152009985323
Position 280: 0.00016915744871499332
Position 479: 0.00011463419093024431
Position 346: 6.640147778201937e-05
Position 305: 6.568493784921688e-05
Position 612: 6.371243387086777e-05
Position 1485: 5.838774379830667e-05
Position 1283: 3.5083712842131266e-05
Position 1260: 3.050808802799305e-05
Position 654: 2.7414250951721587e-05
Position 485: 2.6730789149259492e-05
Position 331: 2.2531009997479757e-05
Position 874: 2.1669333123788285e-05
Position 2040: 1.853704828644668e-05
Position 995: 1.6549538420499077e-05
Position 615: 1.5391560602901603e-05
Position 1035: 1.3908884161294482e-05
Position 1657: 5.608035451487346e-08
