Gene = ARHGEF39
index = 95
Annotated 5SS: [ 256  532  916 1280 1966 2342 2776 3109]
Annotated 3SS: [ 436  794 1160 1894 2212 2545 3019 3284]
SMsplice 5SS: [ 256  532  916 1280 3109]
SMsplice 3SS: [ 436  794 1160 2864 3284]
top_k =  100
Partition function (log Z): 1.1496161703311283

Sorted 5' Splice Sites (High to Low Probability):
Position 532: 0.9950546545975343
Position 1280: 0.9423620504959191
Position 256: 0.907545050990017
Position 916: 0.8791437760605199
Position 3109: 0.8427869023345683
Position 1966: 0.6390848678638149
Position 2342: 0.4162693232952773
Position 3575: 0.23397797139456047
Position 2776: 0.21881556271001837
Position 2048: 0.13967640129800268
Position 1027: 0.11577278931900617
Position 327: 0.03811208562047979
Position 323: 0.022843202212213896
Position 2762: 0.015846291253633092
Position 2194: 0.014731613787014814
Position 137: 0.008356139054524942
Position 247: 0.0075999449571263235
Position 302: 0.0034175975433737324
Position 1193: 0.0032111090381739126
Position 341: 0.0022436151700216075
Position 897: 0.0020188400213267477
Position 1498: 0.0012445781123400744
Position 698: 0.001090751962188296
Position 151: 0.0005170566275743719
Position 60: 0.00039301883276542717
Position 1322: 0.0002785768851924254
Position 144: 0.00025128851496316424
Position 312: 0.000156008058763674
Position 613: 0.00014963372221059974
Position 96: 0.00011420378849271101
Position 1970: 9.606408159106825e-05
Position 367: 4.722015176218572e-05
Position 304: 1.584717105891623e-05
Position 633: 1.2502428983590465e-05
Position 98: 4.502037564042124e-06
Position 625: 9.965624559948936e-09
Position 164: 2.71565328975203e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 794: 0.9681449563158085
Position 1160: 0.9322715573065659
Position 436: 0.8271293027448238
Position 3284: 0.5729774394371175
Position 2864: 0.5168408775955123
Position 1894: 0.4659929997771265
Position 1872: 0.3278210633258916
Position 3059: 0.24992858855594666
Position 2139: 0.23397418536790565
Position 5503: 0.21126248261262323
Position 4404: 0.17722014414019469
Position 2545: 0.16291882570716784
Position 406: 0.1588761930880256
Position 2109: 0.15181270250768797
Position 2942: 0.09016495049129375
Position 2478: 0.0469066691691896
Position 4407: 0.04522599654376575
Position 4319: 0.03656172600028712
Position 3869: 0.03451176839601266
Position 2512: 0.03001774643757132
Position 4259: 0.025922602989512673
Position 3287: 0.02360378608740573
Position 3854: 0.022548715917765628
Position 3411: 0.019141864482551958
Position 2112: 0.018707639626944883
Position 2212: 0.018280871486053153
Position 817: 0.014385927826142435
Position 3223: 0.011129866625767378
Position 2080: 0.010523298281203556
Position 1001: 0.009838966705444718
Position 4226: 0.005504339223468316
Position 1019: 0.004252761258045033
Position 3129: 0.003179512562771939
Position 1163: 0.002934841985495213
Position 1958: 0.002614018995917318
Position 915: 0.002455047874658176
Position 892: 0.002429941064304116
Position 1932: 0.0023080957289576013
Position 763: 0.002148788063682109
Position 1166: 0.0019094086985569183
Position 1914: 0.00167922851446837
Position 1041: 0.0016530364370910887
Position 458: 0.0014304425128064233
Position 1099: 0.0006485560340128408
Position 1208: 0.000582303934095219
Position 1031: 0.0004879073074559718
Position 1318: 0.00040556780453996407
Position 1062: 0.0003102934735343688
Position 390: 0.0002933294952914242
Position 1238: 0.00029197612248621046
Position 1836: 0.00027047454002432304
Position 659: 0.0001519349736889564
Position 1703: 0.00011798320507705637
Position 969: 8.03134534525669e-05
Position 864: 7.360980741492995e-05
Position 344: 7.033027300701477e-05
Position 412: 6.348546788145314e-05
Position 820: 5.664119856621722e-05
Position 835: 3.281392912154791e-05
Position 463: 2.4290199287339275e-05
Position 704: 2.214254120383155e-05
Position 798: 2.0572952326839355e-05
Position 742: 1.924764583621533e-05
Position 490: 1.6599683755865656e-05
Position 322: 1.5669600098924032e-05
Position 1992: 7.0895455091988735e-06
Position 357: 7.0643021730866155e-06
Position 286: 6.12182955637689e-06
Position 1003: 5.9007725290052746e-06
Position 511: 3.7100481329561682e-06
Position 484: 3.481267269768913e-06
Position 528: 3.0466421238296944e-06
Position 337: 2.8104671728713855e-06
Position 633: 1.0175280216063427e-06
Position 157: 6.092763938053409e-07
Position 162: 5.287188495791084e-07
Position 625: 1.349545536871631e-07
Position 765: 1.1769085165070448e-07
Position 204: 5.1346923575211586e-08
Position 716: 4.591345605335585e-08
Position 894: 2.9067200927287257e-08
Position 211: 2.8500395112851368e-08
Position 667: 1.5875096531423993e-08
Position 177: 1.2144390074241579e-08
Position 159: 7.994466982892724e-09
Position 237: 4.804526571040076e-09
Position 291: 4.019749367478965e-10
Position 123: 1.821008171331031e-10
