Gene = MRTO4
index = 883
Annotated 5SS: [ 325 3302 4513 5607 5983 6446 7015]
Annotated 3SS: [3242 4408 5524 5914 6293 6937 7141]
SMsplice 5SS: [ 325 4513 5607 6018 6446 7015]
SMsplice 3SS: [4408 5524 5914 6293 6937 7141]
top_k =  100
Partition function (log Z): 7.926216717518692

Sorted 5' Splice Sites (High to Low Probability):
Position 4513: 0.994571052435422
Position 7015: 0.98697380769568
Position 5607: 0.981531273608361
Position 325: 0.9630640004950721
Position 6446: 0.9365419008398593
Position 6018: 0.5492362473591423
Position 3302: 0.22318973983654378
Position 6185: 0.2037773267773166
Position 5843: 0.11325594087733706
Position 7311: 0.10210036706402494
Position 5983: 0.096122390939118
Position 3350: 0.0854175291502167
Position 710: 0.08198882362836118
Position 6845: 0.03271824791360286
Position 386: 0.026462067334823196
Position 4701: 0.017943054631298055
Position 6355: 0.017020216150688793
Position 6335: 0.014333501232365894
Position 500: 0.009495921433766269
Position 8314: 0.008784876916303835
Position 2090: 0.008730210954179665
Position 5975: 0.0085798267659455
Position 6471: 0.007706937446009262
Position 555: 0.006680767956045696
Position 7493: 0.005355494658027683
Position 7509: 0.005131175075749004
Position 5939: 0.00426511391371826
Position 5402: 0.004210922050375963
Position 7175: 0.004123615753289993
Position 6819: 0.0038470294245422643
Position 8338: 0.0034565122170728026
Position 7153: 0.0024930712926279023
Position 6817: 0.001855732058730941
Position 5284: 0.001853090139173096
Position 5934: 0.0014146921378154266
Position 5338: 0.0012267440332671654
Position 5044: 0.0012204807150195168
Position 6152: 0.000408506175480311
Position 5342: 0.0003358717698467419
Position 5915: 0.00020223921934568753
Position 6967: 9.840607400047081e-05
Position 514: 8.260949589715359e-05
Position 7213: 7.976033223689577e-05
Position 440: 7.028215426307405e-05
Position 519: 3.485697526871278e-05
Position 6911: 3.177466637925851e-05
Position 191: 3.129972878617972e-05
Position 72: 1.2059515107102e-05
Position 485: 3.4443263089956783e-06
Position 577: 3.042219140636821e-06
Position 283: 4.562916230854827e-07
Position 340: 2.64209896464462e-07
Position 262: 3.482446660304417e-08
Position 119: 3.181382470668926e-08
Position 251: 1.0058309863233699e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 6937: 0.9847273222737327
Position 6293: 0.9745707597309158
Position 4408: 0.9673750051214507
Position 5524: 0.9673644096710751
Position 7141: 0.9484917885532378
Position 5914: 0.7100758108295495
Position 3135: 0.2542632492198891
Position 6147: 0.14136935629209332
Position 8210: 0.12435190558721355
Position 5765: 0.0790882731087344
Position 3242: 0.04485636553426617
Position 6723: 0.04199687534027792
Position 8406: 0.036491211799134976
Position 554: 0.03337117725756179
Position 4386: 0.027017780061960393
Position 414: 0.020672782980247363
Position 704: 0.01966166911125094
Position 4603: 0.01916353534631757
Position 5697: 0.01889760550867191
Position 5500: 0.01433164058402996
Position 548: 0.012393561975280194
Position 7394: 0.011412779467199128
Position 5677: 0.01053494064448932
Position 3098: 0.009487654232604911
Position 5546: 0.008326916799617343
Position 1927: 0.007273725075978473
Position 7144: 0.005416400520092324
Position 5231: 0.003584268731826838
Position 5272: 0.002852162883408664
Position 7204: 0.002792896944298723
Position 6096: 0.002702789603356213
Position 6077: 0.0019323719634610115
Position 6112: 0.0018545879327197911
Position 5199: 0.0015353390239258365
Position 1975: 0.0014564858782011925
Position 6876: 0.0011485263180262542
Position 567: 0.0009753060642648124
Position 588: 0.0007665103670166026
Position 5733: 0.0007380834557860741
Position 5687: 0.0006968153580465114
Position 5771: 0.0005889177397881398
Position 5774: 0.00036678485395491084
Position 5379: 0.0002745282293578423
Position 4136: 0.0001747388374022935
Position 5331: 0.00014684835389609484
Position 7398: 0.00012849766865347836
Position 5704: 0.00011225508630835932
Position 7002: 9.166667040202075e-05
Position 462: 8.896470534147395e-05
Position 5968: 7.076473752121298e-05
Position 5242: 6.510312630660635e-06
Position 4004: 1.8265234658440244e-06
Position 3933: 1.7018911431600184e-06
