Gene = ECM1
index = 478
Annotated 5SS: [ 195 1497 1678 1918 2098 3114 3747 4488 4728]
Annotated 3SS: [1445 1575 1836 2016 2790 3371 4266 4639 5151]
SMsplice 5SS: [ 195 1497 1678 1918 2098 3114 3747 4488 4728]
SMsplice 3SS: [1445 1575 1836 2016 2790 3371 4266 4596 4873]
top_k =  100
Partition function (log Z): 12.421464140035667

Sorted 5' Splice Sites (High to Low Probability):
Position 4488: 0.9873923714766294
Position 1918: 0.9847345065924041
Position 1497: 0.9832783843023761
Position 1678: 0.9818701540176002
Position 195: 0.8978857181433317
Position 3114: 0.8787990597101988
Position 4728: 0.8721960263089158
Position 3747: 0.7515981213775348
Position 2098: 0.5728841939974211
Position 2213: 0.40632725137700226
Position 2481: 0.13541158169159317
Position 110: 0.09108284624967983
Position 3025: 0.04538569815786651
Position 3119: 0.03797946121056987
Position 2576: 0.034818020722228116
Position 1019: 0.029713815992856874
Position 3846: 0.028615084308796404
Position 2970: 0.02438333950330443
Position 2178: 0.024128957417974443
Position 452: 0.021289304534119712
Position 1275: 0.017636107667831143
Position 2589: 0.012761815591278446
Position 1041: 0.007887128660937343
Position 5245: 0.007318164901512911
Position 1315: 0.005956333158728436
Position 5086: 0.004914045439650804
Position 1683: 0.002250913782297493
Position 5404: 0.0022357362029487063
Position 1750: 0.002182823128984188
Position 1718: 0.001531985105520134
Position 1178: 0.0012907998138757505
Position 3161: 0.0007140508332854767
Position 1011: 0.0007104715323008755
Position 865: 0.0006556525143416669
Position 2870: 0.0005800093182799094
Position 465: 0.0005662784800534885
Position 1806: 0.0005420223205582338
Position 1062: 0.0005114024998483488
Position 4972: 4.0694979060423175e-05
Position 225: 2.3809479828357383e-06
Position 28: 7.626387767395798e-07
Position 246: 4.6760380134869255e-07
Position 100: 3.9379164502900587e-07
Position 327: 3.5849283447684327e-07
Position 152: 3.5138802218746835e-07
Position 102: 2.917128780692596e-07
Position 199: 2.0576801257202659e-07
Position 252: 1.0778463284221904e-07

Sorted 3' Splice Sites (High to Low Probability):
Position 1575: 0.9754549876917467
Position 2790: 0.8977759902107934
Position 1445: 0.7692065542738135
Position 2016: 0.6935948852424345
Position 4266: 0.5834094182903033
Position 4873: 0.4824929854079123
Position 3371: 0.4247880309694947
Position 4349: 0.3994506107101288
Position 1836: 0.3191589704426433
Position 4596: 0.29275410515802724
Position 1877: 0.26635975467906303
Position 4639: 0.25766197915840905
Position 2036: 0.25450298347544725
Position 1856: 0.22604191888400132
Position 4593: 0.20033274364329098
Position 1374: 0.19373145412331366
Position 5028: 0.1796294510458256
Position 3476: 0.14790897935430308
Position 3642: 0.12529824982322985
Position 5509: 0.11647228103736929
Position 5151: 0.11263471594139202
Position 4701: 0.0981473362714663
Position 1749: 0.09082576370916719
Position 3661: 0.07271270756359158
Position 2446: 0.04911728155960067
Position 1787: 0.045344631620525475
Position 3023: 0.04519483653449986
Position 2075: 0.04011506500534989
Position 2379: 0.037293884230775017
Position 5611: 0.03519990713486751
Position 4914: 0.031032634594692986
Position 853: 0.02942708184348117
Position 2426: 0.02861167602408495
Position 2361: 0.02718102929783179
Position 2963: 0.023862186017434506
Position 1841: 0.023559286556733842
Position 2519: 0.019453056749163457
Position 4811: 0.017471945422364566
Position 1395: 0.01713252271544239
Position 4959: 0.01607834029456928
Position 2709: 0.014583498769841108
Position 1197: 0.013509980758697688
Position 319: 0.013187121219688359
Position 4038: 0.01268609885554199
Position 4706: 0.011519723740140536
Position 2423: 0.011257891255839744
Position 1615: 0.010643077552962137
Position 3818: 0.010241963082943015
Position 1859: 0.01002217582920469
Position 890: 0.008094572778764002
Position 2337: 0.007957933056208549
Position 1084: 0.007928265903156196
Position 4558: 0.006685064129191493
Position 5656: 0.00629588866050578
Position 4844: 0.005631842445521128
Position 2058: 0.005052301742392176
Position 2198: 0.004472615693748113
Position 2150: 0.004037772299595977
Position 5541: 0.004024249812820221
Position 2928: 0.003488123781024275
Position 5244: 0.003159909219866327
Position 762: 0.0021562099037758767
Position 2278: 0.0021050805629114627
Position 1088: 0.0020489159560109047
Position 3079: 0.0014945133261440686
Position 316: 0.0013164252714303218
Position 1460: 0.0012721232748333514
Position 1883: 0.0012594239366544452
Position 830: 0.0007624956571739953
Position 1274: 0.0007095996384369045
Position 1587: 0.000691859873575431
Position 807: 0.0006764316813988162
Position 281: 0.0006544769887833464
Position 2631: 0.0006531211225884435
Position 4000: 0.0005343962563530241
Position 1804: 0.0005130530036539822
Position 2728: 0.0004536429609689694
Position 2816: 0.0003357060102093651
Position 1797: 0.0003317867357537577
Position 1646: 0.0003120394092757948
Position 2090: 0.00026877487958837593
Position 2040: 0.00026345072626608886
Position 1913: 0.00011914226937295438
Position 1706: 0.00011280847485231473
Position 898: 6.063937626042825e-05
Position 3449: 5.468697092603269e-05
Position 1670: 2.4148765095921673e-06
Position 1975: 1.4071233508500547e-07
