Gene = NUPL2
index = 979
Annotated 5SS: [  380  3472  5320 14089 14940 17716]
Annotated 3SS: [ 3242  5224 14011 14852 17630 18340]
SMsplice 5SS: [  380  3472  5320 14940 17716]
SMsplice 3SS: [ 3242  5224 14852 17630 18340]
top_k =  100
Partition function (log Z): -2.975767571398081

Sorted 5' Splice Sites (High to Low Probability):
Position 5320: 0.99999559651632
Position 3472: 0.9919083352020148
Position 17716: 0.9864113827327164
Position 14940: 0.9179116456317751
Position 380: 0.5477346034015088
Position 110: 0.38012869269118943
Position 18485: 0.330929962488486
Position 4766: 0.30189831788747606
Position 11092: 0.2716541356316481
Position 11225: 0.2521838807390975
Position 11327: 0.20317121420918594
Position 663: 0.10789429700221936
Position 15820: 0.10667494958419747
Position 309: 0.0317683694232965
Position 405: 0.029720925078420047
Position 1222: 0.015565525581124555
Position 1832: 0.014916994942627385
Position 711: 0.013926524070626074
Position 659: 0.010999894982221326
Position 291: 0.01037356550741521
Position 423: 0.009374269510776153
Position 18052: 0.008800016142241357
Position 329: 0.006841125669616646
Position 54: 0.004006874139452264
Position 856: 0.003145958928731214
Position 3751: 0.0015206865494239437
Position 563: 0.0014288145079884625
Position 467: 0.0010694898902850706
Position 219: 0.000647829341371964
Position 158: 0.0005511899643823325
Position 179: 0.00041458605588093437
Position 202: 0.00013145897180713673
Position 84: 7.150622736057773e-05
Position 69: 5.1285889295030296e-05
Position 45: 4.2154159033955245e-05
Position 8: 1.9295857600119233e-05
Position 92: 4.794791853848722e-06
Position 152: 4.6503353611496225e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 5224: 0.9936623220916884
Position 3242: 0.9907161498154057
Position 17630: 0.9904020291666301
Position 14852: 0.9179116456317747
Position 18340: 0.9036299260176979
Position 11149: 0.34729582977648465
Position 10872: 0.2988543794341132
Position 4654: 0.17076232192381596
Position 286: 0.1482379996634774
Position 18769: 0.10834257763826748
Position 15671: 0.10712599773021178
Position 18598: 0.10330370296655764
Position 4598: 0.09996237980344479
Position 11277: 0.06302516680084372
Position 18505: 0.06193726480091902
Position 18622: 0.03894284476970592
Position 18568: 0.029364452296002885
Position 4625: 0.02364904356474645
Position 18560: 0.023625360486196106
Position 18815: 0.01895564564243678
Position 11303: 0.01783385456849028
Position 18720: 0.011178012062235818
Position 208: 0.009862863800589676
Position 18793: 0.009753741962126854
Position 18302: 0.009120693877676198
Position 17838: 0.008800016142241357
Position 18746: 0.0073450178939686184
Position 5144: 0.006337659515176763
Position 1750: 0.006245116635510721
Position 202: 0.005911090573046618
Position 4563: 0.005123341695818045
Position 578: 0.004415398083305277
Position 245: 0.004016191465490732
Position 224: 0.0034258757211156014
Position 1657: 0.0026004032267686814
Position 4450: 0.0024012308996508424
Position 1395: 0.001922998777005118
Position 1435: 0.0017593402968096377
Position 3616: 0.0015206865494239465
Position 188: 0.0012403149592408542
Position 536: 0.0011924380340582368
Position 3438: 0.001192185386609813
Position 12552: 0.0005662926205606223
Position 15345: 0.0004091561460196613
Position 5799: 9.175244506532577e-06
Position 5090: 9.66199745262585e-09
Position 5295: 8.731138349916183e-09
