Gene = NCAPG2
index = 915
Annotated 5SS: [  106  3008 11520 11987 14261 15010 17481 18657 21529 24108 24869 29352
 33315 40301 40645 42635 46491 48277 48569 49490 49711 50234 52536 53997
 58369 59310 60540]
Annotated 3SS: [ 2890 11330 11871 14105 14874 17385 18586 21441 24011 24742 29171 33161
 40077 40531 42460 46419 48122 48394 49372 49569 50133 52347 53855 58264
 59208 60439 73110]
SMsplice 5SS: [  106  3008 11466 11987 15010 17481 18657 18940 21529 24108 24869 29352
 33315 33608 40301 40645 42635 46491 48277 48569 49164 49490 49711 50234
 53997 59310 67471]
SMsplice 3SS: [ 2890 11330 11871 14874 17385 18586 18887 21441 24011 24742 29171 33161
 33472 40077 40531 42460 46419 48122 48394 49003 49372 49569 50133 53855
 59208 67359 73110]
top_k =  100
Partition function (log Z): 33.49185402111049

Sorted 5' Splice Sites (High to Low Probability):
Position 17481: 1.000000000000002
Position 3008: 1.0000000000000009
Position 24869: 0.9999999999999998
Position 40645: 0.9999999999999996
Position 21529: 0.9999999999999992
Position 50234: 0.9999797795802824
Position 48569: 0.9985306374073956
Position 59310: 0.9919894159519542
Position 42635: 0.9870663168884144
Position 11987: 0.9820105798122198
Position 33315: 0.9579100967055127
Position 29352: 0.9492667128559115
Position 106: 0.9463243443516179
Position 15010: 0.9315484364178872
Position 49490: 0.930860639379046
Position 11466: 0.9160584964523799
Position 24108: 0.8650498705132985
Position 33608: 0.708609209509202
Position 18657: 0.6868105661620973
Position 49711: 0.6487358146255303
Position 46491: 0.6131887297050536
Position 49164: 0.6083077884801666
Position 18940: 0.5608039785149562
Position 48277: 0.5161393018019022
Position 53997: 0.4872552538366808
Position 42348: 0.39305214608650324
Position 48308: 0.3080522193401244
Position 42967: 0.2991990510900492
Position 46510: 0.23698371236882762
Position 3479: 0.2361370434021932
Position 49291: 0.2317581384273794
Position 8551: 0.1978401595444765
Position 43017: 0.16592742791311574
Position 48217: 0.1435032762796977
Position 18946: 0.14077006497529157
Position 9300: 0.12767774090164097
