Gene = IQCG
index = 715
Annotated 5SS: [  175   491 14400 16242 21472 27846 33996 46139 47345 67392 68574]
Annotated 3SS: [  299 14332 15967 21238 27716 33913 45976 47269 67259 68471 70304]
SMsplice 5SS: [  175  9820 14400 21029 21472 27846 33996 46139 47345 60185 68574 70402]
SMsplice 3SS: [ 9686 14332 20920 21238 27716 33913 45976 47269 60062 68471 70304 70634]
top_k =  100
Partition function (log Z): -33.98072791955539

Sorted 5' Splice Sites (High to Low Probability):
Position 175: 0.9842269900650434
Position 9820: 0.9494969890457615
Position 14400: 0.6745411655696977
Position 491: 0.3412186452700486
Position 16242: 0.3025753877453294
Position 16214: 0.11518726190466182
Position 10181: 0.11179216385490674
Position 2244: 0.08977071883674384
Position 14373: 0.034128297829229035
Position 42: 0.0032046139521338373
Position 114: 0.0011612930803986037
Position 107: 0.000352511623217028
Position 165: 0.00023286150468325223
Position 46: 0.00022468369281946493
Position 1485: 4.2927076873734935e-05
Position 2248: 3.589481144378674e-05
Position 155: 1.148322253152276e-05
Position 124: 4.332796037166062e-06
Position 50: 3.859806730742079e-06
Position 89: 2.3911071069180245e-06
Position 116: 2.381030146032044e-06
Position 380: 2.069390714260396e-06
Position 1186: 5.59763564980691e-07
Position 610: 3.621824913539268e-07
Position 1325: 1.0432985076295465e-07
Position 440: 7.368838094667501e-08
Position 1031: 5.987531123526364e-08
Position 655: 6.195188786309e-10
Position 593: 2.6373434950526855e-11
Position 10: 4.511464015395658e-12
Position 71: 3.647442721992995e-12
Position 158: 1.9409622614820597e-12
Position 207: 1.1972460396000546e-12
Position 52: 8.202970028921499e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 9686: 0.9503034821714249
Position 14332: 0.82216746148669
Position 15967: 0.6207895408720441
Position 16387: 0.4795893312447548
Position 299: 0.31869704265953247
Position 16137: 0.1421259117708554
Position 2116: 0.07923154517659566
Position 10004: 0.0496575144780414
Position 10084: 0.0437384335988575
Position 14546: 0.019569588688590427
Position 9891: 0.018776832951916345
Position 15847: 0.017940650440093776
Position 17128: 0.011541059668403145
Position 2164: 0.010637971870165104
Position 306: 0.009881047695921729
Position 16622: 0.008641417469105994
Position 354: 0.002130788939500504
Position 10229: 0.00180561382518222
Position 2769: 0.000427680084499613
Position 1377: 0.00022116914059681328
Position 816: 0.0001955179549426217
Position 1412: 7.205112921236399e-05
Position 1484: 4.070036062656687e-05
Position 2987: 1.964748782552173e-05
Position 684: 1.32047790593353e-05
Position 490: 4.179256299953964e-06
Position 377: 2.3109526985862733e-07
Position 311: 1.3753760032682467e-07
Position 1058: 1.2857721658269682e-07
Position 1030: 6.406414516336529e-08
Position 1166: 2.7568285375547427e-08
Position 335: 2.5299816695092874e-08
Position 420: 2.5242284584538714e-08
Position 330: 2.5031606695011632e-08
Position 1072: 2.182158465706349e-08
Position 384: 1.1647458289471543e-08
Position 153: 3.419498127158083e-10
Position 437: 2.859215266959843e-10
