Gene = AIMP2
index = 44
Annotated 5SS: [ 254 6108 8801]
Annotated 3SS: [ 5900  8568 14057]
SMsplice 5SS: [ 134 8801]
SMsplice 3SS: [ 8568 14057]
top_k =  100
Partition function (log Z): -10.680194533651996

Sorted 5' Splice Sites (High to Low Probability):
Position 8801: 0.8076199920672238
Position 134: 0.6858990739015464
Position 254: 0.3143834699296911
Position 11809: 0.28574057416089604
Position 11488: 0.2671689141729676
Position 6108: 0.1853168854809437
Position 12822: 0.0497171230396876
Position 2543: 0.04469740890427695
Position 1527: 0.00023939033518368552
Position 1133: 0.00011645317978336245
Position 1482: 0.00011280300649839302
Position 24: 3.2934855823219296e-06
Position 36: 2.504874538637104e-06
Position 525: 1.619634219316392e-06
Position 570: 1.3666153333091446e-06
Position 65: 4.688797285634735e-07
Position 493: 2.3508492903390212e-07
Position 646: 7.065296482846656e-08
Position 346: 5.921717424559726e-08
Position 127: 5.689125207113462e-08
Position 43: 4.782750632124567e-08
Position 111: 2.7746712281052015e-08
Position 565: 2.6937833343289734e-08
Position 52: 2.6340041047124687e-08
Position 279: 1.1391727375133428e-08
Position 75: 5.275282097534398e-10
Position 49: 5.153402252527956e-12
Position 168: 2.5120435978938826e-14

Sorted 3' Splice Sites (High to Low Probability):
Position 14057: 0.9081457790526064
Position 8568: 0.81848107167514
Position 11624: 0.30296028049440077
Position 11359: 0.289109847332196
Position 5900: 0.1853168854809437
Position 12736: 0.06552420437328206
Position 2419: 0.02342421227483167
Position 2366: 0.012800021748270657
Position 8926: 0.010975642472743333
Position 2471: 0.00600106100211676
Position 2424: 0.0036846095254442547
Position 763: 0.0032453311520797413
Position 1225: 0.0021930463409018967
Position 7246: 0.002151017312856084
Position 3337: 0.0011590526618739645
Position 6231: 0.0009735403750103464
Position 1740: 0.0009339899983624094
Position 216: 0.0006550153019263777
Position 1582: 0.0006331000088497186
Position 5495: 0.0005928544195412415
Position 5033: 0.00047986487941336807
Position 1117: 0.00039454933912878013
Position 2669: 0.0002654941543522034
Position 1657: 0.00024089725284561845
Position 966: 0.0001804804496822693
Position 1388: 0.0001699740650174307
Position 1299: 0.00012439230532637312
Position 253: 9.07960616911799e-05
Position 321: 9.021490878577496e-05
Position 1390: 7.5627596434365185e-06
Position 133: 4.98026188854992e-06
Position 986: 4.873499490780901e-06
Position 968: 2.880867269899247e-06
Position 1275: 2.4051299547776496e-06
Position 993: 1.8817642252954168e-06
Position 230: 9.358885711950702e-08
