Gene = SNRPE
index = 1292
Annotated 5SS: [  99  608 2111 3505]
Annotated 3SS: [ 580 2047 3425 8261]
SMsplice 5SS: [ 612 3505]
SMsplice 3SS: [3425 8261]
top_k =  100
Partition function (log Z): -7.355513192343214

Sorted 5' Splice Sites (High to Low Probability):
Position 3505: 0.7389283643031885
Position 612: 0.6285406817569449
Position 341: 0.37081375805214917
Position 99: 0.1139866650572951
Position 608: 0.10028248585650346
Position 129: 0.05986215447356831
Position 7651: 0.05495896730555949
Position 2231: 0.04900149224032099
Position 2111: 0.04793075270195764
Position 1670: 0.04641318764875816
Position 495: 0.027520229938053486
Position 244: 0.02320755287866389
Position 261: 0.01510130796314184
Position 135: 0.010483850722690253
Position 269: 0.006921442265487196
Position 462: 0.005014545319532583
Position 148: 0.0035065756708734077
Position 1681: 0.0034295991368699366
Position 81: 0.002388854177971999
Position 64: 0.0019928034823748445
Position 188: 0.001533170441236815
Position 1059: 0.0007076970244300821
Position 650: 0.0006057772706684503
Position 1345: 0.0005946888073315948
Position 1005: 0.000290146489447212
Position 1161: 0.00024364843158676642
Position 367: 0.00012210126570550317
Position 817: 8.740043824293356e-05
Position 115: 1.7920023678252042e-06
Position 21: 1.1645703374201797e-06
Position 87: 8.150104432820403e-07
Position 15: 6.598547619975203e-08
Position 72: 4.896593531539669e-08
Position 50: 1.3442075460230658e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 8261: 0.9435864373145175
Position 3425: 0.7421911552114567
Position 528: 0.3036886697127395
Position 2047: 0.09729031025095856
Position 7496: 0.060361980759425914
Position 1615: 0.056252002630948164
Position 566: 0.04807537658514157
Position 6921: 0.029954448015095586
Position 442: 0.007483769350027673
Position 304: 0.007091126176651313
Position 466: 0.005048321809720192
Position 6330: 0.002984444567291615
Position 953: 0.0026853427991440316
Position 5266: 0.0016152212981545278
Position 5036: 0.001214291003153045
Position 3873: 0.0010503430743157623
Position 6469: 0.001047504766317994
Position 4515: 0.0008510312929656939
Position 2384: 0.0006451874855764486
Position 1205: 0.00038093968303456636
Position 413: 0.0003393722398053289
Position 3780: 0.00028274960163229596
Position 1160: 0.00010515433546225909
Position 699: 7.939804514778864e-05
Position 485: 6.025688846839089e-05
Position 472: 5.5252080462750035e-05
Position 532: 5.219497381092007e-05
Position 423: 7.224357819078153e-07
Position 580: 4.938739341995838e-07
Position 383: 3.0283604900508425e-07
