Gene = MRRF
index = 882
Annotated 5SS: [  283  6420 15943 20632 27185 48731]
Annotated 3SS: [ 6207 15786 20512 27092 48570 57883]
SMsplice 5SS: [  283  1125  6420 20632 26976 27185 29707 48731]
SMsplice 3SS: [  805  6296 20512 26892 27092 29602 48570 57883]
top_k =  100
Partition function (log Z): -32.394413487721906

Sorted 5' Splice Sites (High to Low Probability):
Position 283: 0.9979122509670572
Position 6420: 0.7847002579209398
Position 1125: 0.5140520175175745
Position 7070: 0.22569289224396
Position 1045: 0.1547185253685482
Position 12484: 0.13854735433115306
Position 8280: 0.0881519951806381
Position 5436: 0.06768688540888458
Position 1373: 0.047170360439840194
Position 4700: 0.036183337156886555
Position 5401: 0.025126477397816732
Position 1491: 0.009538963991604915
Position 3460: 0.0051202240961826856
Position 6490: 0.003809846328985775
Position 618: 0.0011078357803636178
Position 1032: 0.0008188319590087006
Position 842: 0.0005951379673844856
Position 264: 0.00047580793341390137
Position 890: 0.00041372527733353573
Position 118: 0.00025892456765499707
Position 1052: 0.0002535631862263347
Position 104: 0.00015276811723734525
Position 1015: 0.00014125843686783535
Position 458: 8.646159476588808e-05
Position 648: 8.646079340574079e-05
Position 180: 2.5876305960295617e-05
Position 640: 2.265525413713631e-05
Position 30: 2.182044654398845e-05
Position 220: 1.0023934949410569e-05
Position 287: 8.686465925363271e-06
Position 398: 1.9478296858483e-06
Position 392: 1.692167595532309e-08
Position 139: 1.4536953239153611e-08
Position 253: 2.2585409918469533e-09
Position 235: 1.831897998473146e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 12919: 0.8969474925461164
Position 805: 0.6692989973526112
Position 6207: 0.41730357769736404
Position 6296: 0.38082583918622154
Position 6753: 0.2301274185036985
Position 12233: 0.13854735433115306
Position 8199: 0.10267134637600783
Position 5248: 0.0963482964790472
Position 1216: 0.04980844435279929
Position 4616: 0.03732615026768755
Position 6858: 0.01944662648406063
Position 12915: 0.014059247960508586
Position 1018: 0.012000186140110142
Position 948: 0.007795000680226595
Position 11679: 0.00702189602756358
Position 7302: 0.005798502495312426
Position 1239: 0.00440481220100673
Position 3360: 0.0043233573151601375
Position 6678: 0.0034100200910840966
Position 1282: 0.003262880602628357
Position 3202: 0.000796866781022515
Position 3459: 0.0006883720306864101
Position 1188: 0.000376665888704587
Position 366: 0.00010223520125504727
Position 482: 7.64698182484309e-05
Position 956: 5.41493693323097e-05
Position 486: 2.2513301019348407e-05
Position 556: 1.2846484878314173e-05
Position 841: 9.85215395086497e-06
Position 783: 9.246155823444147e-06
Position 416: 3.963806988526354e-06
Position 403: 2.7295455247031537e-06
Position 494: 2.648277757875066e-06
Position 569: 1.6720976151845708e-06
Position 524: 1.430329929838068e-06
Position 599: 9.031994879887807e-07
Position 346: 8.050912702997911e-07
Position 550: 7.57711139573542e-07
Position 519: 7.133079359738077e-07
Position 398: 5.485800728686407e-07
Position 374: 2.0832615359719656e-07
Position 506: 1.371673846260975e-07
Position 1106: 2.803344894104728e-08
