Gene = ICMT
index = 674
Annotated 5SS: [ 224 1055 2467 4039]
Annotated 3SS: [  965  2296  3820 10677]
SMsplice 5SS: [ 224  441 1055 4039]
SMsplice 3SS: [  314   965  3820 14017]
top_k =  100
Partition function (log Z): -9.869086448483948

Sorted 5' Splice Sites (High to Low Probability):
Position 4039: 0.9312216666034617
Position 224: 0.8357921094232469
Position 1055: 0.7999907467135304
Position 441: 0.6505989745509423
Position 3627: 0.3793708238734227
Position 1536: 0.1592948739136269
Position 2467: 0.10509413163647939
Position 1357: 0.08089604636823036
Position 901: 0.03891118388692572
Position 719: 0.01541503611792413
Position 493: 0.010723333128810563
Position 544: 0.0070740808309207705
Position 405: 0.006498303285330455
Position 353: 0.0060825662960813315
Position 660: 0.004781939181438496
Position 457: 0.0034451496444899213
Position 524: 0.002595353938145267
Position 804: 0.0019288264629473727
Position 3978: 0.0017824566484817084
Position 879: 0.0016342353409888068
Position 1109: 0.00098812999286596
Position 723: 0.0009656540493086786
Position 107: 0.00011707605883790184
Position 269: 6.045651835936021e-06
Position 12: 1.0074401049026522e-06
Position 409: 5.860266000820569e-07
Position 72: 4.436760401206658e-07
Position 287: 2.8751627019321625e-07
Position 347: 1.257762303009588e-07
Position 170: 1.0523029887412003e-07

Sorted 3' Splice Sites (High to Low Probability):
Position 3820: 0.9724297362113964
Position 965: 0.766447950065359
Position 14017: 0.6732819284502009
Position 314: 0.5556626188486596
Position 3500: 0.3499084538203299
Position 10677: 0.16342785825175365
Position 1288: 0.14849791780849375
Position 2296: 0.10865360993775001
Position 1428: 0.054104047143269905
Position 854: 0.044714533583349744
Position 6200: 0.04223624932522346
Position 10460: 0.036534996975207436
Position 3516: 0.03443991021951505
Position 3741: 0.016951742613059033
Position 1203: 0.014064195784777273
Position 1487: 0.012384537627933834
Position 745: 0.012234428681348974
Position 6196: 0.007253396826296133
Position 523: 0.00697219639772331
Position 1452: 0.006927018915498153
Position 8753: 0.005885109152266946
Position 1257: 0.0026406870023327387
Position 1304: 0.0023499871484918746
Position 4192: 0.0017335833580717015
Position 4283: 0.0016776783396012897
Position 352: 0.0011334488053183513
Position 4906: 0.0009733225733224521
Position 593: 0.0007119538319667756
Position 826: 0.0003495707547211904
Position 1218: 0.00021790890466756157
Position 1154: 0.00020355659624670262
Position 969: 9.857997337483513e-05
Position 900: 9.515777482312552e-05
Position 423: 9.431869419360163e-06
Position 492: 3.637594688987399e-06
Position 347: 2.1500039017752918e-07
Position 432: 6.045794557442513e-08
Position 402: 4.820770373136412e-08
Position 359: 2.027495482921394e-08
Position 437: 7.831214323263884e-09
Position 405: 6.3251504727619015e-09
