Gene = F3
index = 520
Annotated 5SS: [ 264 1544 5836 8711 9480]
Annotated 3SS: [ 1431  5635  8531  9319 11203]
SMsplice 5SS: [ 264 1544 5836 8711]
SMsplice 3SS: [ 1431  5635  8531 11203]
top_k =  100
Partition function (log Z): -3.9292251072047746

Sorted 5' Splice Sites (High to Low Probability):
Position 264: 0.9760740842377462
Position 8711: 0.9715288921952705
Position 5836: 0.961251378490663
Position 1544: 0.8264714348378366
Position 9480: 0.4889391492693455
Position 6043: 0.14779438308818207
Position 6135: 0.13715323160040607
Position 3145: 0.07583395281003973
Position 2649: 0.06829071144093471
Position 1229: 0.05287705812393424
Position 9888: 0.04336311958277222
Position 9443: 0.0385782216944533
Position 909: 0.018957224202774715
Position 931: 0.015609591368905778
Position 6103: 0.012825085365020906
Position 6446: 0.011554498213900314
Position 5956: 0.008142381932207303
Position 6089: 0.008083084541622551
Position 7586: 0.007717922926134026
Position 588: 0.0074043130028157485
Position 248: 0.007291615459657093
Position 1352: 0.005516723289536079
Position 3014: 0.004719718595172739
Position 5993: 0.004682580582572395
Position 2710: 0.004114379534494774
Position 1824: 0.003780818257107747
Position 5779: 0.0037472780338085733
Position 2545: 0.0033582577080767543
Position 786: 0.0025199540342839286
Position 8570: 0.0003136673547959473
Position 651: 0.00025690757833518986
Position 8975: 0.00018811803894893398
Position 427: 3.459142838052209e-05
Position 158: 3.215019977296777e-05
Position 520: 2.9119510639610613e-05
Position 1553: 1.5838142403635704e-05
Position 1574: 6.396115989315851e-06
Position 188: 1.4444721127229602e-07
Position 514: 1.1837192681614433e-07

Sorted 3' Splice Sites (High to Low Probability):
Position 8531: 0.9971001143651584
Position 1431: 0.8122069151232328
Position 11203: 0.6864268984562185
Position 5635: 0.6815957896943751
Position 9319: 0.4543656964429605
Position 5949: 0.24212739346627485
Position 5679: 0.23760682685764486
Position 9715: 0.12713011757643025
Position 12133: 0.07987675462435746
Position 3041: 0.07336589488846283
Position 5987: 0.07079729295391406
Position 2388: 0.07038784874281308
Position 9075: 0.05361105048383609
Position 5760: 0.04615118839856504
Position 9368: 0.046030304914285586
Position 733: 0.03219398359712093
Position 1153: 0.02941137961801109
Position 11729: 0.021559660113816666
Position 9416: 0.017662365127579602
Position 10603: 0.01707957106665312
Position 9253: 0.012865065476807012
Position 10138: 0.01194338163103619
Position 1015: 0.011597846477212882
Position 6334: 0.011554498213900324
Position 5910: 0.008031438460700027
Position 1452: 0.007949531519429209
Position 7373: 0.007717922926134029
Position 2876: 0.007187776516749626
Position 9712: 0.005450840866152024
Position 1351: 0.005443591661637715
Position 819: 0.004852808575056199
Position 9589: 0.004801707206865571
Position 1649: 0.003870973245276247
Position 1200: 0.003508909144011172
Position 2450: 0.003139591444971221
Position 8799: 0.002920288035522958
Position 775: 0.00279133583770179
Position 2628: 0.0021543461076287645
Position 1104: 0.0018344798264133353
Position 8916: 0.0012589997481248095
Position 1255: 0.0005185641021301614
Position 1109: 0.00040218584147909994
Position 785: 0.00026566413324598004
Position 2604: 8.156238809322268e-05
Position 1524: 8.080345224372521e-05
Position 8802: 5.622547722123093e-05
Position 6070: 5.144533740113321e-05
Position 1306: 3.926544322120933e-05
