Gene = ANKRD61
index = 84
Annotated 5SS: [ 216 1561]
Annotated 3SS: [1462 4067]
SMsplice 5SS: [ 216 1561]
SMsplice 3SS: [1462 4067]
top_k =  100
Partition function (log Z): -5.570701908952136

Sorted 5' Splice Sites (High to Low Probability):
Position 1561: 0.9883469295396149
Position 216: 0.6379102728840159
Position 135: 0.36100589875064243
Position 3245: 0.2196886307620998
Position 1115: 0.08560325132008381
Position 2531: 0.05750625739938977
Position 1056: 0.021023300803328385
Position 1151: 0.01029725261371507
Position 1119: 0.006999423881542248
Position 1309: 0.006426194370193893
Position 3542: 0.005660812894556826
Position 968: 0.005611536169520666
Position 1350: 0.004531645259819924
Position 1238: 0.0032915554973968475
Position 567: 0.0023731041429718787
Position 585: 0.0010705305756041777
Position 947: 0.0008359089839865799
Position 1542: 7.071496826090395e-05
Position 740: 3.251013514564513e-05
Position 252: 1.822952076458607e-05
Position 288: 1.191070035680054e-05
Position 36: 2.0051307419436695e-07
Position 430: 7.937230266415439e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 1462: 0.9476139020054705
Position 4067: 0.3188182654188822
Position 3103: 0.19443884350731538
Position 4884: 0.16031237624375325
Position 2239: 0.1600197323149736
Position 941: 0.1276810693399667
Position 3012: 0.10073728845716341
Position 4039: 0.06408879715747902
Position 3334: 0.060363617861423156
Position 1637: 0.038404007130210034
Position 4016: 0.02605626313958599
Position 4713: 0.02578560482352914
Position 1469: 0.022438112267930518
Position 3337: 0.02035960073694921
Position 3162: 0.01686356935471625
Position 1308: 0.015545089044866612
Position 3387: 0.013074608667421505
Position 1427: 0.012368758297365324
Position 2235: 0.01221115975311524
Position 1011: 0.010591152455326155
Position 3226: 0.010087493854889823
Position 4300: 0.00881444627874343
Position 3037: 0.008506018005701405
Position 2527: 0.00696305673138655
Position 2018: 0.0054616842659600245
Position 2259: 0.005281866152605155
Position 981: 0.0039281129137446625
Position 3083: 0.0030987276675607006
Position 2376: 0.0030735606820259916
Position 2446: 0.002908669039259628
Position 2470: 0.0020200199770812276
Position 2379: 0.0018765944273293283
Position 521: 0.0017571628643824897
Position 1129: 0.0016060167246178254
Position 1947: 0.0014173793594768188
Position 1173: 0.0011961411925419444
Position 1049: 0.0008881300089139299
Position 475: 0.000665502295423622
Position 1015: 0.0003028161583478727
Position 1501: 0.0001866894180723406
Position 2312: 0.00016746668913996163
Position 1342: 0.00014335851695030787
Position 1264: 0.00011421533416101123
Position 2982: 6.262786624497856e-05
Position 1238: 9.27950192215881e-06
Position 901: 3.990545615804128e-06
Position 1055: 2.4012669039457492e-06
Position 1210: 8.33906870544263e-07
