Gene = SEPP1
index = 1247
Annotated 5SS: [ 244 3929 5184 7424]
Annotated 3SS: [ 3712  4970  7305 10747]
SMsplice 5SS: [244]
SMsplice 3SS: [332]
top_k =  100
Partition function (log Z): -10.527122086140688

Sorted 5' Splice Sites (High to Low Probability):
Position 244: 0.9654341645389287
Position 415: 0.42292249377499663
Position 3929: 0.1697680533123714
Position 2738: 0.1662634747297836
Position 5184: 0.09912573847582629
Position 3808: 0.07044557536577833
Position 142: 0.027776500514061834
Position 419: 0.01420722087529372
Position 726: 0.012273198687775306
Position 590: 0.0073120492664331795
Position 410: 0.007290615256615541
Position 137: 0.0032776355234126115
Position 248: 0.0021663884674432794
Position 2320: 0.0017540509402629348
Position 1389: 0.0007987572380886164
Position 292: 0.000754571293663796
Position 443: 0.0006049967938846801
Position 686: 0.0005518563944711546
Position 201: 0.0003495520548979644
Position 93: 7.672638058913571e-05
Position 236: 6.80418921432002e-05
Position 239: 2.5431966521901732e-05
Position 431: 2.1008238620590544e-05
Position 75: 1.0436597436801893e-05
Position 169: 6.534304103508308e-06
Position 171: 1.621694822014352e-06
Position 229: 1.474540458530206e-06
Position 53: 3.882476082311497e-07

Sorted 3' Splice Sites (High to Low Probability):
Position 332: 0.5522318694127262
Position 3712: 0.4293849109218737
Position 4970: 0.41893627176131526
Position 2577: 0.28761480989958577
Position 5834: 0.10458573990190567
Position 3166: 0.04559872872318402
Position 5525: 0.02309929099345439
Position 5870: 0.018764452786447474
Position 477: 0.01826129474672669
Position 4828: 0.018110172053255054
Position 583: 0.014052817669035796
Position 2290: 0.009018742859308444
Position 337: 0.007862529624238897
Position 951: 0.005501549263524137
Position 3111: 0.004787289109672084
Position 1090: 0.0037092784339889055
Position 2519: 0.003391111539604209
Position 1116: 0.002761651118340017
Position 1180: 0.0026834848748994466
Position 543: 0.0008640864860592674
Position 2195: 0.0005908451098966268
Position 1300: 0.0005069123912092993
Position 637: 0.0004396603134549359
Position 632: 0.00040292435551705984
Position 660: 0.00011516599876088565
Position 307: 8.058119973268688e-06
Position 287: 2.9110787741771657e-06
Position 358: 8.541708664797463e-07
Position 343: 4.4708204394738497e-07
Position 360: 4.0562914671934896e-07
Position 409: 1.5131005458576247e-07
Position 447: 5.390622593490555e-08
Position 379: 3.769938359676691e-08
Position 387: 2.5612135912536064e-08
Position 418: 2.2409702458492844e-08
