Gene = APOD
index = 92
Annotated 5SS: [  328  4867 10356 12929]
Annotated 3SS: [ 4709 10233 12839 15069]
SMsplice 5SS: [  328  1139  4867 10356]
SMsplice 3SS: [ 1002  4709 10233 15069]
top_k =  100
Partition function (log Z): -0.5985631974630592

Sorted 5' Splice Sites (High to Low Probability):
Position 10356: 0.9998349000815575
Position 328: 0.9972619311611094
Position 4867: 0.7923556506362723
Position 1139: 0.7359696947671934
Position 5081: 0.5869955048028724
Position 12929: 0.3004584428216253
Position 8242: 0.23999600826021145
Position 4790: 0.19740081608925591
Position 494: 0.1725261522550005
Position 8074: 0.15943347705583655
Position 5283: 0.13631033029170367
Position 5113: 0.10440300722987904
Position 5338: 0.039597403642235574
Position 6637: 0.03846593824920475
Position 11795: 0.03628838184036514
Position 13407: 0.025719269450870233
Position 658: 0.012574197048350853
Position 5445: 0.011480572586864992
Position 12180: 0.011164588078228599
Position 2745: 0.010541025539940132
Position 684: 0.005748156840949506
Position 5147: 0.005118154477301804
Position 11701: 0.003721503563318362
Position 12933: 0.0035320331599614616
Position 900: 0.002498656129545873
Position 5073: 0.00242453222678142
Position 723: 0.002173086328019241
Position 498: 0.0014793764770098493
Position 15282: 0.001303475811092197
Position 1589: 0.0012606546416309276
Position 2413: 0.0012520578381472612
Position 209: 4.5052925818577985e-05
Position 332: 3.7845547935720926e-05
Position 337: 2.461589904001161e-05
Position 1079: 1.083684932470679e-05
Position 135: 8.64912451930884e-07
Position 449: 6.292171845393455e-08
Position 88: 3.783512235033249e-08
Position 133: 6.543266593269714e-09
Position 340: 5.910051770226111e-09
Position 259: 3.6781671563101033e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 10233: 0.9948184610459218
Position 4709: 0.9514156737301488
Position 15069: 0.8970615952332801
Position 1002: 0.5497287355541791
Position 5004: 0.420371250039414
Position 7834: 0.3995945852344907
Position 12839: 0.3260201248496368
Position 5007: 0.2771089797071671
Position 412: 0.19095931559510387
Position 5207: 0.18131629864283244
Position 975: 0.0872753692635005
Position 13267: 0.05178461121806329
Position 6554: 0.03846593824920475
Position 11581: 0.03723040955368149
Position 4715: 0.03176090283722635
Position 890: 0.025061606782392234
Position 13589: 0.02115657004704892
Position 12065: 0.021044958550143964
Position 1047: 0.018091308207517823
Position 919: 0.017340779607939692
Position 10644: 0.014240523160888323
Position 1010: 0.013594105629740501
Position 2630: 0.010541025539940125
Position 981: 0.009903617125029806
Position 11652: 0.009439852626599597
Position 854: 0.009110932693999426
Position 4667: 0.008087066415827992
Position 5405: 0.005980172036214912
Position 964: 0.005215155617433489
Position 10144: 0.005016439035635911
Position 1051: 0.002159638626444344
Position 15490: 0.0013034758110921994
Position 1465: 0.0012606546416309267
Position 10712: 0.0012284284400308361
Position 657: 0.0009423586932611036
Position 2254: 0.0008905559689940605
Position 11158: 0.0006610483997086913
Position 10597: 0.0005093712454232417
Position 521: 0.00041795695426633146
Position 2290: 0.0003615018691532016
Position 11517: 0.00034162567142083464
Position 578: 0.00024186355606284734
Position 873: 0.00012197292456114848
Position 562: 4.9115069818141435e-05
Position 493: 4.7774479590435345e-05
Position 5145: 4.562857433510864e-05
Position 594: 4.1766074815506756e-05
Position 529: 4.0404819924021454e-05
Position 452: 2.5630383717187293e-06
Position 458: 1.838979552607626e-06
Position 549: 9.613130406420955e-07
Position 1125: 7.416775200200121e-07
Position 439: 7.017460103598626e-07
