Gene = NOL8
index = 949
Annotated 5SS: [  251  1534  2116  3889  6336  6939 11290 14411 15004 15386 18671 19804
 24006 25667 26673 27300]
Annotated 3SS: [ 1346  2052  3809  6199  6869  9417 14296 14880 15294 18531 19725 23733
 25539 26601 27219 27669]
SMsplice 5SS: [ 1534  2116  3889  6336 14411 15004 15386 19804 26673 27300]
SMsplice 3SS: [ 2052  3809  6199 14296 14880 15294 19725 26601 27219 27669]
top_k =  100
Partition function (log Z): 15.743589497636396

Sorted 5' Splice Sites (High to Low Probability):
Position 15386: 1.000000000000002
Position 19804: 0.9999999999999997
Position 15004: 0.9641153848866428
Position 14411: 0.9522732570095042
Position 27300: 0.9386249249245873
Position 6336: 0.9090350263867848
Position 2116: 0.8915776219546847
Position 1534: 0.7486920503485847
Position 3889: 0.6751199453304995
Position 26673: 0.4857367727086278
Position 26713: 0.4602777147999754
Position 7273: 0.45171693456590817
Position 251: 0.31615321620789577
Position 2321: 0.22772292683063294
Position 3934: 0.2070501839499601
Position 377: 0.2021407475700222
Position 131: 0.12766722515094467
Position 5614: 0.11821471494595416
Position 16652: 0.10633122878586496
Position 8723: 0.09322363118801553
Position 6253: 0.09019911714868202
Position 7159: 0.07847663779278352
Position 24006: 0.07521473216628384
Position 613: 0.0713486797866603
Position 18671: 0.06951447069345745
Position 19036: 0.06591655002622339
Position 25667: 0.05562343894211321
Position 6041: 0.04827652892237553
Position 21238: 0.04654881494449766
Position 26760: 0.03683076645602243
Position 83: 0.03441394034492411
Position 651: 0.03270807621956768
Position 2272: 0.02812070402750025
Position 15174: 0.027413730409206378
Position 24624: 0.02654548530444835
Position 23249: 0.023610064046383175
Position 5756: 0.01597804117973669
Position 5517: 0.01597249108330243
Position 4083: 0.013719090677875528
Position 23892: 0.010971042106439658
Position 346: 0.010964513669979758
Position 62: 0.010134251876186766
Position 15073: 0.00989762569631112
Position 239: 0.009323827260862567
Position 15128: 0.00884407689782215
Position 917: 0.00848874648374044
Position 6727: 0.007347443671732486
Position 1029: 0.006755504603858094
Position 2307: 0.00591297504403541
Position 26730: 0.004818299225544824
Position 16274: 0.004498243768158407
Position 948: 0.004474306229334593
Position 27391: 0.0042446079195622745
Position 1581: 0.0038943002936827065
Position 16351: 0.003499902074826528
Position 258: 0.0023078580385466545
Position 27304: 0.001392805186022671
Position 166: 0.0013889999653434741
Position 26825: 0.0012626703224945432
Position 913: 0.001203327115315355
Position 6599: 0.0010992278271024843
Position 14954: 0.0007079859355003992
Position 27585: 0.000636885854521893
Position 1278: 0.0006106078309541243
Position 1142: 0.0006072478189429339
Position 210: 0.0005220171605241459
Position 342: 0.0003909762626479179
Position 20751: 0.00038698955336031077
Position 423: 0.00030808705231096705
Position 495: 0.0003048533635173487
Position 248: 0.0002810811975501551
Position 2155: 0.00019990727073769272
Position 20668: 0.00011952698917018201
Position 154: 2.3846068156003632e-06
Position 262: 1.4213043754165525e-06
Position 200: 1.253118086670162e-06
Position 5: 5.64551820171109e-07
Position 128: 1.2565360870228734e-08
Position 73: 8.992803057152299e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 19725: 1.000000000000001
Position 6199: 0.9989611794660118
Position 14880: 0.9910777201198523
Position 26601: 0.9899567490361088
Position 2052: 0.972692255920004
Position 15294: 0.963924915890425
Position 27219: 0.9599496866394363
Position 14296: 0.952273257009505
Position 27669: 0.9288649972042095
Position 3809: 0.8858392480969467
Position 6869: 0.2647533127338019
Position 1441: 0.2481655227563755
Position 1346: 0.2122257616996457
Position 7056: 0.1946840056458554
Position 5418: 0.14613831279096198
Position 1461: 0.11837792658569458
Position 2224: 0.09980206999247652
Position 8642: 0.09322363118801542
Position 23733: 0.08618577427272345
Position 2204: 0.0776140043870678
Position 16442: 0.07332348833461018
Position 7023: 0.07075625397903457
Position 18531: 0.0695144706934575
Position 18977: 0.06591655002622339
Position 25318: 0.05562343894211321
Position 20980: 0.042798155628586666
Position 5916: 0.029893371416189356
Position 24586: 0.02654548530444835
Position 23100: 0.023610064046383175
Position 6002: 0.018656121575641643
Position 15309: 0.01738175691789444
Position 16497: 0.016051982263112597
Position 27095: 0.015498933365737615
Position 15105: 0.014831764392405529
Position 27566: 0.013381910260165015
Position 27550: 0.011922175804003622
Position 15332: 0.010825467083880361
Position 16419: 0.009712191179324177
Position 15358: 0.00785402994984606
Position 3666: 0.007260913586387616
Position 6531: 0.007123921820426241
Position 27390: 0.006925727138247019
Position 973: 0.006161305084686746
Position 15082: 0.005077043835226531
Position 326: 0.004652639411791459
Position 5580: 0.004026934418031362
Position 21055: 0.0037873204959756675
Position 16521: 0.0036406227326941185
Position 16151: 0.0036103074250610056
Position 16524: 0.003602944276123876
Position 16170: 0.0032106347088003808
Position 27939: 0.0029036807058377373
Position 896: 0.002616693162266291
Position 27652: 0.0021803859071254815
Position 1975: 0.001640086181664697
Position 2226: 0.0016074334146966803
Position 4051: 0.0015301236335634968
Position 6503: 0.0013227496784087348
Position 800: 0.001306952731245122
Position 4011: 0.0012529590297475838
Position 16252: 0.0011772037091235487
Position 730: 0.0010629439592793183
Position 28080: 0.0008276006666087796
Position 27902: 0.000544834401658222
Position 571: 0.0005192720043366536
Position 27576: 0.0005122496779146066
Position 20553: 0.0003428354505285642
Position 28103: 0.0003198554102394953
Position 1908: 0.00017828523168195832
Position 20469: 0.00016368109200192858
Position 15205: 6.105635956669823e-06
Position 3585: 5.975611689080172e-06
Position 997: 1.0695958299630205e-06
